n	congress_session	chamber	roll	vote_date	measure_id	class	result	tally	status
1	117-1	senate	4	2021-01-21	H.R. 335	passage	Bill Passed	69-27	unjudged
2	117-1	house	31	2021-02-05	H R 447	passage	Passed	247-173	unjudged
3	117-1	house	39	2021-02-25	H R 5	passage	Passed	224-206	batch-01
4	117-1	house	45	2021-02-26	H R 803	passage	Passed	227-200	batch-01
5	117-1	house	49	2021-02-27	H R 1319	passage	Passed	219-212	unjudged
6	117-1	house	60	2021-03-03	H R 1280	passage	Passed	220-212	batch-01
7	117-1	house	62	2021-03-03	H R 1	passage	Passed	220-210	unjudged
8	117-1	senate	110	2021-03-06	H.R. 1319	passage	Bill Passed	50-49	batch-01
9	117-1	house	70	2021-03-09	H R 842	passage	Passed	225-206	unjudged
10	117-1	house	72	2021-03-10	H R 1319	concur_senate_amendment	Passed	220-211	batch-01
11	117-1	house	75	2021-03-11	H R 8	passage	Passed	227-203	batch-01
12	117-1	house	77	2021-03-11	H R 1446	passage	Passed	219-210	batch-01
13	117-1	house	82	2021-03-17	H J RES 17	passage	Passed	222-204	batch-01
14	117-1	house	86	2021-03-17	H R 1620	passage	Passed	244-172	batch-01
15	117-1	house	91	2021-03-18	H R 6	passage	Passed	228-197	batch-01
16	117-1	house	93	2021-03-18	H R 1603	passage	Passed	247-174	batch-01
17	117-1	house	96	2021-03-19	H R 1868	passage	Passed	246-175	batch-01
18	117-1	house	108	2021-04-15	H R 7	passage	Passed	217-210	batch-01
19	117-1	house	118	2021-04-16	H R 1195	passage	Passed	254-166	unjudged
20	117-1	house	120	2021-04-19	H R 1996	suspension	Passed	321-101	unjudged
21	117-1	house	127	2021-04-21	H R 1333	passage	Passed	218-208	batch-01
22	117-1	house	129	2021-04-21	H R 1573	passage	Passed	217-207	batch-01
23	117-1	house	132	2021-04-22	H R 51	passage	Passed	216-208	unjudged
24	117-1	senate	175	2021-04-28	S.J.Res. 14	passage	Joint Resolution Passed	52-42	batch-01
25	117-1	house	134	2021-05-11	H R 1629	suspension	Failed	250-168	batch-01
26	117-1	senate	183	2021-05-11	S.J.Res. 15	passage	Joint Resolution Passed	52-47	batch-01
27	117-1	house	141	2021-05-13	H R 2547	passage	Passed	215-207	batch-01
28	117-1	house	142	2021-05-13	H R 2877	suspension	Passed	323-93	unjudged
29	117-1	house	143	2021-05-14	H R 1065	passage	Passed	315-101	batch-01
30	117-1	house	154	2021-05-19	H R 3233	passage	Passed	252-175	unjudged
31	117-1	senate	195	2021-05-19	S.J.Res. 13	passage	Joint Resolution Passed	50-48	unjudged
32	117-1	house	156	2021-05-20	H R 3237	passage	Passed	213-212	unjudged
33	117-1	senate	226	2021-06-08	S. 1260	passage	Bill Passed	68-32	unjudged
34	117-1	house	160	2021-06-15	H R 239	suspension	Failed	240-188	unjudged
35	117-1	house	162	2021-06-15	H R 1443	suspension	Failed	248-177	unjudged
36	117-1	house	169	2021-06-16	H R 1187	passage	Passed	215-214	batch-01
37	117-1	house	172	2021-06-17	H R 256	passage	Passed	268-161	batch-01
