chamber	roll	vote_date	measure_id	result	tally	disposition	detail
house	6	2025-01-07	H R 29	Passed	264-159	judged	pilot-119-1
house	7	2025-01-09	H R 23	Passed	243-140	judged	batch-01
house	8	2025-01-13	H R 192	Passed	407-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	9	2025-01-13	H R 152	Passed	405-5	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	10	2025-01-14	H R 153	Passed	426-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	12	2025-01-14	H R 28	Passed	218-206	judged	pilot-119-1
house	13	2025-01-15	H R 164	Passed	419-2	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	14	2025-01-15	H R 144	Passed	423-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	15	2025-01-15	H R 33	Passed	423-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	17	2025-01-16	H R 30	Passed	274-145	judged	batch-01
house	18	2025-01-21	H R 186	Passed	414-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	19	2025-01-21	H R 187	Passed	413-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	22	2025-01-22	H R 165	Passed	416-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	23	2025-01-22	S 5	Passed	263-156	judged	pilot-119-1
house	24	2025-01-23	H R 375	Passed	359-62	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	25	2025-01-23	H R 471	Passed	279-141	judged	batch-01
house	27	2025-01-23	H R 21	Passed	217-204	judged	pilot-119-1
house	28	2025-02-04	H R 43	Passed	412-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	29	2025-02-04	H R 776	Passed	361-56	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	33	2025-02-06	H R 27	Passed	312-108	judged	pilot-119-1
house	35	2025-02-07	H R 26	Passed	226-188	judged	batch-01
house	36	2025-02-10	H R 692	Passed	388-7	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	37	2025-02-10	H R 736	Passed	408-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	41	2025-02-12	H R 77	Passed	212-208	pending	enables bulk CRA disapproval resolutions; procedural, no research area fits without inventing a direction
house	42	2025-02-13	H R 35	Passed	264-155	judged	batch-01
house	43	2025-02-24	H R 825	Passed	405-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	44	2025-02-24	H R 832	Passed	396-15	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	45	2025-02-24	H R 818	Passed	384-25	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	48	2025-02-25	H R 788	Passed	427-3	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	49	2025-02-25	H R 804	Passed	415-8	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	51	2025-02-26	H R 695	Passed	424-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	52	2025-02-26	H J RES 35	Passed	220-206	judged	batch-01
house	53	2025-02-27	H J RES 20	Passed	221-198	judged	batch-01
house	54	2025-03-03	H R 856	Passed	417-0	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	55	2025-03-03	H R 758	Passed	402-16	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	58	2025-03-05	H J RES 61	Passed	216-202	judged	batch-02
house	59	2025-03-05	H J RES 42	Passed	222-203	judged	batch-02
house	61	2025-03-06	S J RES 11	Passed	221-202	judged	batch-02
house	63	2025-03-10	H R 495	Passed	402-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
house	64	2025-03-10	H R 901	Passed	410-1	pending	trivia: lopsided commemorative, administrative, or minor bill with no research area of interest
