bill	chamber	roll	date	tally	question	title	bill_outcome	disposition	reason
HB10	house	1567843	2025-05-07	23-17	passage	Add Faculty Member Univ Board Of Regents	enrolled in the dataset; both were vetoed before 2026-09-04	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
HB10	house	1699350	2026-05-16	26-14	concurrence	Add Faculty Member Univ Board Of Regents	enrolled in the dataset; both were vetoed before 2026-09-04	batch-02	imported
HB125	house	1572962	2025-05-17	22-17	passage	Board Of Fisheries Membership	passed one chamber only	dropped	two strands: mandating interest-group seats on the Board of Fisheries, and deleting the rural-domicile requirement from the subsistence definitions
HB133	house	1687789	2026-04-22	27-10	passage	Payment Of Contracts	vetoed	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
HB133	senate	1699364	2026-05-17	15-5	passage	Payment Of Contracts	vetoed	batch-02	imported
HB133	house	1700368	2026-05-19	22-18	concurrence	Payment Of Contracts	vetoed	batch-02	imported
HB133	house	1700369	2026-05-19	22-18	concurrence	Payment Of Contracts	vetoed	not-selected	LegiScan filed this concurrence vote twice; the fetch stored the identical twin 1700368, which is the roll imported (see CODE-FINDINGS.md section 7)
HB16	house	1559317	2025-04-28	22-18	passage	Campaign Finance;contribution Limits;apoc	vetoed	dropped	raises contribution limits and repeals the foreign-money provisions in AS 15.13.068(b) and (c), while adding an in-state address rule and ethics-commission deadlines - opposite directions of comparable weight inside anti_corruption
HB16	senate	1700422	2026-05-19	12-8	passage	Campaign Finance;contribution Limits;apoc	vetoed	dropped	raises contribution limits and repeals the foreign-money provisions in AS 15.13.068(b) and (c), while adding an in-state address rule and ethics-commission deadlines - opposite directions of comparable weight inside anti_corruption
HB16	house	1701439	2026-05-20	21-19	concurrence	Campaign Finance;contribution Limits;apoc	vetoed	dropped	raises contribution limits and repeals the foreign-money provisions in AS 15.13.068(b) and (c), while adding an in-state address rule and ethics-commission deadlines - opposite directions of comparable weight inside anti_corruption
HB194	senate	1670361	2026-03-25	12-7	passage	Oil/gas Corp. Income Tax; Royalty Sale	passed one chamber only	dropped	two unrelated halves: a new income tax on non-corporate oil and gas producers, and ratification of one named Marathon royalty-oil contract the bill does not reproduce
HB194	house	1681390	2026-04-13	17-23	concurrence	Oil/gas Corp. Income Tax; Royalty Sale	passed one chamber only	dropped	two unrelated halves: a new income tax on non-corporate oil and gas producers, and ratification of one named Marathon royalty-oil contract the bill does not reproduce
HB20	house	1653447	2026-03-04	26-14	passage	Prohibit Fees For Paper Documents	passed one chamber only	batch-03	imported
HB25	house	1686658	2026-04-21	25-15	passage	Disposable Food Service Ware	vetoed	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
HB25	senate	1699783	2026-05-18	13-7	passage	Disposable Food Service Ware	vetoed	batch-02	imported
HB25	house	1700405	2026-05-19	26-14	concurrence	Disposable Food Service Ware	vetoed	batch-02	imported
HB26	house	1592106	2025-05-02	22-17	passage	Statewide Public & Community Transit Plan	vetoed	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
HB26	senate	1691681	2026-04-29	16-4	passage	Statewide Public & Community Transit Plan	vetoed	batch-02	imported
HB26	house	1692486	2026-05-01	22-14	concurrence	Statewide Public & Community Transit Plan	vetoed	batch-02	imported
HB261	house	1697300	2026-05-12	31-9	passage	Education Funding	passed one chamber only	dropped	moves both ways on the same question - adds a greater-of-three-counts cushion and mid-year catch-up payments, and repeals the five-percent enrollment-decline hold-harmless and the year-end recomputation
HB280	house	1675330	2026-04-01	22-17	passage	Apportion Taxable Income	vetoed	not-selected	an earlier roll on a text the chamber later replaced; the batch uses the roll on the enrolled text
HB280	house	1701704	2026-05-20	28-11	concurrence	Apportion Taxable Income	vetoed	batch-02	imported
HB381	senate	1710625	2026-06-19	12-8	passage	Oil & Gas Property Tax; Muni Tax; Agdc	passed one chamber only	dropped	eight strands and openly opposite tax directions; the House roll is also a failed conference report at 19-19
HB381	house	1710464	2026-06-20	12-28	concurrence	Oil & Gas Property Tax; Muni Tax; Agdc	passed one chamber only	dropped	eight strands and openly opposite tax directions; the House roll is also a failed conference report at 19-19
HB381	house	1715874	2026-07-16	19-19	conference_report	Oil & Gas Property Tax; Muni Tax; Agdc	passed one chamber only	dropped	eight strands and openly opposite tax directions; the House roll is also a failed conference report at 19-19
HB381	senate	1715872	2026-07-16	11-8	conference_report	Oil & Gas Property Tax; Muni Tax; Agdc	passed one chamber only	dropped	eight strands and openly opposite tax directions; the House roll is also a failed conference report at 19-19
