bill	type	chamber	date	roll	yea	nay	status	qclass	roll_number_in_history	disposition	desc	title
HB111	B	house	2024-04-11	1425563	77	24	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 523	Sex-based terms, defined;  vital statistics, report sex as male or female at birth required, legislative policy regarding sex and gender identity established
HB129	B	house	2024-02-27	1396245	69	34	4	passage			Passed House Of Origin	Creating Hope and Opportunity for Our Students’ Education (CHOOSE) Act of 2024, established to provide education savings accounts (ESAs) for parents of children
HB129	B	senate	2024-03-07	1404666	23	9	4	passage			Passed Second House	Creating Hope and Opportunity for Our Students’ Education (CHOOSE) Act of 2024, established to provide education savings accounts (ESAs) for parents of children
HB130	B	house	2024-04-23	1432866	74	25	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 734	Education, instruction about gender identity and sexual orientation in public K-12 schools, prohibited
HB151	B	house	2024-02-15	1385853	70	32	2	passage			Passed House Of Origin	Proposed constitutional amendment; Alabama Gaming Commission, established to regulate, license, and tax certain limited forms of gaming activity and stop unlawf
HB151	B	senate	2024-03-07	1405619	22	11	2	passage			Passed Second House	Proposed constitutional amendment; Alabama Gaming Commission, established to regulate, license, and tax certain limited forms of gaming activity and stop unlawf
HB151	B	senate	2024-04-30	1437113	20	15	2	conference_report			Albritton to Concur In and Adopt Conf Rpt	Proposed constitutional amendment; Alabama Gaming Commission, established to regulate, license, and tax certain limited forms of gaming activity and stop unlawf
HB151	B	house	2024-04-30	1437151	72	29	2	conference_report	yes		Blackshear Concur In and Adopt Conference Committee Report - Roll Call 941	Proposed constitutional amendment; Alabama Gaming Commission, established to regulate, license, and tax certain limited forms of gaming activity and stop unlawf
HB152	B	house	2024-02-15	1385386	67	31	2	passage			Passed House Of Origin	Alabama Gaming Commission, established, duties provided for; casino-style games, sports wagering, and lottery games, regulated; gambling offenses, further provi
HB152	B	senate	2024-03-07	1405649	22	11	2	passage			Passed Second House	Alabama Gaming Commission, established, duties provided for; casino-style games, sports wagering, and lottery games, regulated; gambling offenses, further provi
HB152	B	house	2024-04-30	1437155	70	29	2	conference_report	yes		Blackshear Concur In and Adopt Conference Committee Report - Roll Call 942	Alabama Gaming Commission, established, duties provided for; casino-style games, sports wagering, and lottery games, regulated; gambling offenses, further provi
HB16	B	house	2024-04-23	1433219	71	26	1	passage	yes		Motion to Read a Third Time and Pass - Roll Call 757	Alabama Bail Reform Act of 1993, definition of cash bail revised to allow the court to accept less than the total sum ordered
HB195	B	house	2024-04-30	1436817	72	22	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 950	Public K-12 schools, sex education curriculum further provided for, sexual risk avoidance established as exclusive sex education curriculum, local boards of edu
HB22	B	house	2024-04-02	1419812	66	18	4	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 353	Public k-12 assistant principals, role further provided for
HB229	B	house	2024-04-04	1420942	63	22	1	passage	yes		Motion to Read a Third Time and Pass - Roll Call 431	State symbols; designate Little Bluestem as the official State Grass of Alabama.
HB356	B	house	2024-04-30	1437008	75	28	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 966	Income tax, tax credit for voluntary cash contributions to pregnancy center or residential maternity facility
HB36	B	house	2024-04-30	1436740	60	38	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 946	Firearms, to prohibit parts converting a firearm into a machine gun
HB363	B	house	2024-04-11	1425650	76	21	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 520	Crimes and offenses; murder and manslaughter further provided for
HB385	B	house	2024-04-25	1434894	72	28	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 795	Crimes and offenses, provided that the use of any premises to distribute material that is harmful to minors is a public nuisance and further provided for the de
HB63	B	house	2024-04-23	1432637	60	34	2	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 745	Criminal procedure; split sentence authorized for 30 year sentence
SB1	B	senate	2024-02-13	1383756	26	8	4	passage			Passed House Of Origin	Absentee voting; prohibit assistance in preparation of; exceptions provided
SB1	B	house	2024-03-07	1404902	75	28	4	passage			Passed Second House	Absentee voting; prohibit assistance in preparation of; exceptions provided
SB10	B	senate	2024-02-14	1384609	25	7	2	passage			Passed House Of Origin	Libraries, provides that county & municipal library boards serve at the pleasure of their appointing authorities
SB129	B	senate	2024-02-22	1392591	26	7	4	passage			Passed House Of Origin	Diversity, equity, and inclusion; certain public entities prohibited from maintaining office that promotes diversity, equity, and inclusion programs; certain pr
SB129	B	house	2024-03-07	1405149	75	28	4	passage			Passed Second House	Diversity, equity, and inclusion; certain public entities prohibited from maintaining office that promotes diversity, equity, and inclusion programs; certain pr
SB186	B	house	2024-05-02	1438138	74	28	4	passage	yes		Motion to Read a Third Time and Pass - Roll Call 1092	Prohibit the use of any ranked-choice voting method in elections except for electors who vote by absentee ballot pursuant to the Uniformed and Overseas Citizens
SB231	B	house	2024-04-23	1432551	72	30	4	passage	yes		Motion to Read a Third Time and Pass as Amended - Roll Call 729	Labor organizations, employer's eligibility for economic development incentives conditioned upon employer refraining from certain practices relating to labor or
SB231	B	house	2024-05-07	1441138	73	29	4	conference_report	yes		Stadthagen Concur In and Adopt Concurrence Request for Conference Committee - Roll Call 1158	Labor organizations, employer's eligibility for economic development incentives conditioned upon employer refraining from certain practices relating to labor or
SB81	B	senate	2024-02-15	1385507	15	9	1	passage			Passed House Of Origin	Boards of registrars, further providing for the membership of each board, increasing the salary of each registrar, and providing for the employment status of ea
