bill	roll	date	chamber	yea	nay	enacted	roll_number_in_history	title	disposition	reason
HB95	1614139	2026-01-15	H	69	25	yes	yes	Elections; post election audit required	batch-01	imported
SB71	1622181	2026-02-03	S	27	7	yes	yes	Administrative rules; adopting environmental protection criteria stricter than federal requirements prohibited	batch-01	imported
SB71	1635385	2026-02-17	H	67	34	yes	yes	Administrative rules; adopting environmental protection criteria stricter than federal requirements prohibited	batch-01	imported
HB86	1643558	2026-02-24	H	77	22	yes	yes	Parole; criteria for parole consideration revised	batch-01	imported
HB2	1643628	2026-02-24	H	73	30	yes	yes	Gulf of Mexico, renamed, observation and implementation by state and local entities and state and local employees required where practicable	batch-01	imported
HB95	1674032	2026-03-31	S	22	7	yes	yes	Elections; post election audit required	batch-01	imported
HB593	1674185	2026-03-31	H	71	21	yes	no	Small Craft Alcoholic Beverage Producers; licensing of small craft distilleries, small craft wineries, and small craft alcoholic beverage producers authorized	dropped	misfiled roll: its printed number (Roll Call 1040) belongs to HB 631 and does not appear in HB 593 history
HB593	1675846	2026-03-31	H	61	35	yes	yes	Small Craft Alcoholic Beverage Producers; licensing of small craft distilleries, small craft wineries, and small craft alcoholic beverage producers authorized	dropped	filter 5: HB 593 expands alcohol licences for small craft producers, no research area fits
HB568	1675914	2026-03-31	H	72	25	yes	yes	Department of Workforce; certain child labor law fees, boiler and pressure vessel exceptions and fees,  and elevator safety standards, provided for; license renewal period extended; alterations to conveyances prohibited	dropped	filter 5: HB 568 is a multi-subject fee and inspection bill (child labour certificates, boilers, elevators), no single nameable subject
HB631	1676015	2026-03-31	H	71	21	yes	yes	Etowah County, obsolete laws repealed	dropped	filter 3: HB 631 repeals obsolete Etowah County laws, a local act
HB475	1675418	2026-04-01	H	72	26	yes	yes	Public Service Commission; number of commissioners expanded to represent congressional districts, phase-in by election provided, term of office revised, position of Secretary of Energy established as cabinet member, calculation of electric utility rates revised; rate hearings authorized	batch-01	imported
SB254	1677871	2026-04-07	H	69	27	yes	yes	Board of Pardons and Paroles; discretion whether to grant or deny parole, further provided; review of parole violations, procedure further provided to require consideration of totality of circumstances; penalties for certain parole-violations, increased	dropped	filter 5: SB 254 both mandates revocation for one class of parolee and grants discretion for others, so it runs two ways inside public safety
SB361	1678708	2026-04-08	H	69	23	yes	yes	Dogs; tethering and confinement requirements provided; persons and activities exempted; criminal penalties for, animal control officer enforcement of, violations established	dropped	filter 5: SB 361 sets dog tethering standards, and no research area covers animal welfare
SB57	1678764	2026-04-08	H	75	27	yes	yes	Public assistance; Department of Human Resources required to request waiver to prohibit the purchase of soda and candy with SNAP benefits, implementation of prohibition provided for	superseded	SB 57: the batch imports the later House vote on the conference report, which is the enacted text
HB580	1679865	2026-04-09	S	27	7	yes	yes	Public institutions of higher education; faculty senates limited to advisory role, tenure policy required, review and dismissal of tenured faculty authorized, governing board authority over courses and curriculum provided	batch-01	imported
SB57	1679896	2026-04-09	H	77	22	yes	yes	Public assistance; Department of Human Resources required to request waiver to prohibit the purchase of soda and candy with SNAP benefits, implementation of prohibition provided for	batch-01	imported
SB5	1679940	2026-04-09	H	75	27	yes	yes	Public K-12 schools, broadcast of the Star-Spangled Banner required weekly, proposed statewide constitutional amendment	batch-01	imported
SB341	1679974	2026-04-09	H	76	23	yes	yes	Alabama Work Zone Safety Act; pilot program to establish photographic speed enforcement system in a work zone on interstate highway, provided; civil penalties for violations, provided	batch-01	imported
HB56	1617605	2026-01-27	H	62	24	no	yes	Motor vehicles; autocycles, headgear equipment required for operation	deferred	measure did not become law; one-chamber scope is a separate user decision
HB168	1617831	2026-01-27	H	71	27	no	yes	Crimes and offenses; crime of loitering, exceptions further provided; mask usage policies on school campuses, authorized	deferred	measure did not become law; one-chamber scope is a separate user decision
HB360	1642547	2026-02-24	H	72	29	no	yes	2nd Amendment Sales Tax Holiday created; to exempt certain items from sales tax during the last weekend of August	deferred	measure did not become law; one-chamber scope is a separate user decision
HB363	1643046	2026-02-24	H	74	27	no	yes	Crimes; crime of disruption of a worship service, established; criminal penalty, provided	deferred	measure did not become law; one-chamber scope is a separate user decision
SB91	1665062	2026-03-17	S	17	5	no	yes	County and municipal authorities; withdrawal from multi-jurisdiction authority authorized, taxes and distribution of monies from taxes further provided for	deferred	measure did not become law; one-chamber scope is a separate user decision
HB541	1666488	2026-03-19	H	63	35	no	yes	Primary Elections; require political party registration to vote in primary or primary runoff elections	deferred	measure did not become law; one-chamber scope is a separate user decision
SB298	1673654	2026-03-31	S	28	7	no	yes	Class 3 Municipalities; minimum staffing requirements for law enforcement agencies, mandated; grace period, established; state assumption of oversight for violations, provided	deferred	measure did not become law; one-chamber scope is a separate user decision
HB169	1674596	2026-03-31	H	61	35	no	no	Department of Archives and History; composition of board and method of filling board vacancies further provided for, retroactive effect	dropped	misfiled roll: HB 169 carries Roll Call 1073, which belongs to HB 593; the measure also did not become law
SB303	1677758	2026-04-07	H	43	44	no	yes	Motor vehicles; off-road vehicles, operation requirements for use on public roads, provided	deferred	measure did not become law; one-chamber scope is a separate user decision
