bill	chapter	striker	title	origin	second_chamber_amended	chamber	roll	date	tally	divided_rolls	later_kept	version	disposition	reason
HB2001	118	SE	Behavioral health; graduates; license exemption	H	yes	house	1491236	2025-02-17	36-23	1	1	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
HB2001	118	SE	Behavioral health; graduates; license exemption	H	yes	senate	1539509	2025-04-08	19-9	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2009	78		Vehicle license tax; exemption; military	H	no	house	1500915	2025-02-26	46-12	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2015	261		EORP; CORP; funded ratio	H	no	senate	1595836	2025-06-27	21-8	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2054	222		DIFI; financial enterprises; insurance; compact	H	yes	house	1593082	2025-06-19	39-16	1	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
HB2066	48		Child care facilities; program providers	H	no	house	1499058	2025-02-25	41-19	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2068	191	SE	Assistance animals; landlord tenant	H	yes	house	1567279	2025-05-07	39-19	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
HB2068	191	SE	Assistance animals; landlord tenant	H	yes	senate	1566351	2025-05-06	21-7	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2074	129		School safety; proposals; assessments; plans	H	no	house	1478874	2025-02-03	35-24	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2074	129		School safety; proposals; assessments; plans	H	no	senate	1560390	2025-04-29	17-12	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2076	121		Life insurance; illustrations	H	yes	house	1559902	2025-04-29	41-14	1	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
HB2104	122	SE	Emissions; voluntary vehicle repair; timeline	H	yes	house	1560292	2025-04-29	43-12	1	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
HB2109	130		Forced organ harvesting; insurance; prohibition	H	no	house	1495087	2025-02-20	38-20	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2109	130		Forced organ harvesting; insurance; prohibition	H	no	senate	1560222	2025-04-29	18-11	1	0	enacted_text	candidate:batch-02	on the enacted text, not yet read
HB2110	41		Development; adaptive reuse; rezoning; prohibition	H	no	house	1494778	2025-02-20	42-16	1	0	enacted_text	batch-01	imported
HB2111	123		License plates; special	H	yes	house	1559258	2025-04-28	32-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
HB2112	193		Internet pornography; minors; age verification	H	yes	house	1567432	2025-05-07	35-23	2	0	earlier_draft	not-selected	filter 4: this chamber voted an earlier draft; the other chamber amended the bill and Arizona publishes no member list for the concurrence vote
