bill	striker	title	origin	second_chamber_amended	veto_date	chamber	roll	date	tally	divided_rolls	later_kept	version	disposition	reason
HB2004		Voter registration cards; mailing limitation	H	no	2025-04-15	house	1487586	2025-02-12	32-27	1	0	vetoed_text	batch-03	imported
HB2004		Voter registration cards; mailing limitation	H	no	2025-04-15	senate	1539490	2025-04-08	17-11	1	0	vetoed_text	batch-03	imported
HB2006		Election mailings; third-party disclosures	H	no	2025-04-18	house	1483092	2025-02-06	37-19	1	0	vetoed_text	batch-03	imported
HB2006		Election mailings; third-party disclosures	H	no	2025-04-18	senate	1543990	2025-04-10	16-12	1	0	vetoed_text	batch-03	imported
HB2007		Voter registrations; payment prohibited	H	no	2025-04-18	house	1483044	2025-02-06	34-23	1	0	vetoed_text	batch-03	imported
HB2007		Voter registrations; payment prohibited	H	no	2025-04-18	senate	1543723	2025-04-10	17-12	1	0	vetoed_text	batch-03	imported
HB2012		Emergency use products; employers; prohibition	H	no	2025-04-07	house	1499958	2025-02-26	32-27	1	0	vetoed_text	deferred:direction-call	bans employers, government and health care entities requiring an emergency use product; vaccine-adjacent, so the fluoride rule says escalate rather than assume a direction
HB2012		Emergency use products; employers; prohibition	H	no	2025-04-07	senate	1532649	2025-04-01	17-12	1	0	vetoed_text	deferred:direction-call	bans employers, government and health care entities requiring an emergency use product; vaccine-adjacent, so the fluoride rule says escalate rather than assume a direction
HB2017		Voting centers ban; precinct size	H	no	2025-05-06	house	1486183	2025-02-11	32-26	1	0	vetoed_text	batch-03	imported
HB2017		Voting centers ban; precinct size	H	no	2025-05-06	senate	1560518	2025-04-29	17-12	1	0	vetoed_text	batch-03	imported
HB2046		Audits; precincts; voting centers	H	no	2025-05-06	senate	1560413	2025-04-29	17-12	1	0	vetoed_text	batch-03	imported
HB2050		Provisional ballots; cure data	H	no	2025-05-06	house	1483128	2025-02-06	36-23	1	0	vetoed_text	dropped	daily provisional-ballot list to the political parties during the cure period; helps voters fix ballots but also hands voter data to parties, so it runs both ways
