measure	chamber	roll	date	yeas	nays	status	title	disposition
HB1004	H	1563942	2025-05-01	42	21	divided	No Pricing Coordination Between Landlords	imported in batch-11
HB1004	S	1558937	2025-04-28	22	12	divided	No Pricing Coordination Between Landlords	imported in batch-11
HB1011	H	1506064	2025-03-05	38	23	divided	Private Equity Acquisition of Child Care Centers	imported in batch-11
HB1011	S	1539510	2025-04-08	16	18	divided	Private Equity Acquisition of Child Care Centers	imported in batch-11
HB1026	H	1563979	2025-05-01	43	22	divided	Repeal Copayment for Department of Corrections Inmate Health Care	imported in batch-11
HB1026	S	1561745	2025-04-30	23	12	divided	Repeal Copayment for Department of Corrections Inmate Health Care	imported in batch-11
HB1065	H	1561793	2025-04-30	50	14	divided	Jury Duty Opt-Out for Certain People	dropped: court administration. It would have let people 70 or older, and students or workers out of state, opt out of jury service. No research area fits.
HB1065	S	1565971	2025-05-06	23	12	divided	Jury Duty Opt-Out for Certain People	dropped: court administration. It would have let people 70 or older, and students or workers out of state, opt out of jury service. No research area fits.
HB1069	H	1547353	2025-04-14	63	1	superseded	Increase Stakeholder Participation	superseded: this chamber's last floor vote was not divided
HB1078	H	1559053	2025-04-28	37	27	divided	Forestry & Firefighter Workforce & Education	dropped: a workforce program with an appropriation, not a policy a voter takes a side on.
HB1079	H	1559492	2025-04-28	41	23	divided	Independent Ethics Commission Jurisdiction	imported in batch-11
HB1088	H	1551047	2025-04-17	63	0	superseded	Costs for Ground Ambulance Services	superseded: this chamber's last floor vote was not divided
HB1088	S	1563484	2025-05-01	35	0	superseded	Costs for Ground Ambulance Services	superseded: this chamber's last floor vote was not divided
HB1122	H	1555502	2025-04-23	55	9	superseded	Automated Driving System Commercial Motor Vehicle	superseded: this chamber's last floor vote was not divided
HB1122	S	1565818	2025-05-06	27	8	divided	Automated Driving System Commercial Motor Vehicle	imported in batch-11
HB1123	H	1559043	2025-04-28	39	26	divided	Homeowners' Association Alternative Dispute Resolution	dropped: runs both ways. Requiring an internal process and mediation before a homeowner can sue their association both cuts cost and delays access to court.
HB1147	H	1555160	2025-04-23	41	22	divided	Fairness & Transparency in Municipal Court	imported in batch-11
HB1147	S	1537260	2025-04-04	24	11	divided	Fairness & Transparency in Municipal Court	imported in batch-11
HB1151	H	1502271	2025-02-28	40	21	divided	Arbitration of Health Insurance Claims	dropped: a technical change to how out-of-network insurance claims are grouped for arbitration.
HB1158	H	1547497	2025-04-14	31	33	divided	Digital Education Materials	imported in batch-11
HB1169	H	1518352	2025-03-17	40	23	divided	Housing Developments on Faith and Educational Land	imported in batch-11
