measure	chamber	roll_call_id	vote_date	yea	nay	disposition	title
HB05004	house	1564141	2025-05-01	98	47	batch-01	An Act Concerning The Protection Of The Environment And The Development Of Renewable Energy Sources And Associated Job Sectors.
HB05004	senate	1584618	2025-06-04	26	10	batch-01	An Act Concerning The Protection Of The Environment And The Development Of Renewable Energy Sources And Associated Job Sectors.
HB06863	house	1578026	2025-05-19	98	46	appropriations	An Act Concerning Deficiency Appropriations For The Fiscal Year Ending June 30, 2025, And Compensation Paid To Injured Employees And The Parents Of A Deceased Employee Under The Workers' Compensation Act.
HB06863	senate	1578027	2025-05-19	24	10	appropriations	An Act Concerning Deficiency Appropriations For The Fiscal Year Ending June 30, 2025, And Compensation Paid To Injured Employees And The Parents Of A Deceased Employee Under The Workers' Compensation Act.
HB06913	senate	1576161	2025-05-22	26	10	batch-01	An Act Prohibiting Long-term Care Facilities From Discriminating Against Long-term Care Facility Residents.
HB06930	house	1561505	2025-04-28	114	30	candidate:unbatched	An Act Concerning The Social Equity Council's Recommendations Regarding Social Equity Plans, Strategic Planning, Ethics, License Renewal Fees, Financial Assistance Applications And Policies And Procedures.
HB07042	house	1562360	2025-04-30	100	46	batch-01	An Act Concerning Implementation Of The Firearm Industry Responsibility Act, Firearms Permits And Eligibility Certificates And Self-defense.
HB07042	senate	1581993	2025-05-30	25	11	batch-01	An Act Concerning Implementation Of The Firearm Industry Responsibility Act, Firearms Permits And Eligibility Certificates And Self-defense.
HB07066	house	1498074	2025-02-24	94	49	batch-01	An Act Concerning Interactions Between School Personnel And Immigration Authorities, The Purchase And Operation Of Certain Drones, Grants To Certain Nonprofit Organizations, And Student Athlete Compensation Through Endorsement Contracts And Revenue Sharing Agreements.
HB07066	senate	1498834	2025-02-25	25	9	batch-01	An Act Concerning Interactions Between School Personnel And Immigration Authorities, The Purchase And Operation Of Certain Drones, Grants To Certain Nonprofit Organizations, And Student Athlete Compensation Through Endorsement Contracts And Revenue Sharing Agreements.
HB07163	senate	1506539	2025-03-05	26	7	candidate:unbatched	An Act Concerning Emergency Grants To Municipalities For Special Education.
HB07231	house	1580681	2025-05-28	101	45	candidate:unbatched	An Act Authorizing Sunday Hunting On Private Lands.
HB07259	house	1575083	2025-05-21	96	51	candidate:unbatched	An Act Concerning Revisions To Various Statutes Concerning Criminal Justice.
HB07259	senate	1579372	2025-05-27	25	11	candidate:unbatched	An Act Concerning Revisions To Various Statutes Concerning Criminal Justice.
HB07283	house	1582903	2025-05-31	112	32	local/narrow: conveys one parcel of state land	An Act Conveying A Parcel Of State Land To The Capital Region Development Authority.
HB07283	senate	1584843	2025-06-04	27	9	local/narrow: conveys one parcel of state land	An Act Conveying A Parcel Of State Land To The Capital Region Development Authority.
HB07287	house	1583635	2025-06-02	99	49	appropriations	An Act Concerning The State Budget For The Biennium Ending June 30, 2027, And Making Appropriations Therefor, And Provisions Related To Revenue And Other Items Implementing The State Budget.
HB07287	senate	1584487	2025-06-03	25	11	appropriations	An Act Concerning The State Budget For The Biennium Ending June 30, 2027, And Making Appropriations Therefor, And Provisions Related To Revenue And Other Items Implementing The State Budget.
HB08003	senate	1609283	2025-11-13	27	8	appropriations	An Act Concerning Temporary Adjustments To The Budget Reserve Fund And Appropriating Funds To Address Reductions In Federal Funding.
HJ00067	house	1509010	2025-03-05	106	40	no-defensible-stance: adopts a state planning document	"Resolution Adopting The State Plan Of Conservation And Development, ""connecticut Conservation & Development Policies Plan 2025-2030""."
HJ00068	house	1543232	2025-04-09	91	52	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of Marissa Paslick Gillett Of Simsbury To Be Reappointed Utility Commissioner Of The Public Utilities Regulatory Authority.
HJ00070	senate	1549043	2025-04-15	23	7	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of David A. Arconti, Jr. Of Brookfield To Be A Utility Commissioner Of The Public Utilities Regulatory Authority.
HJ00096	house	1567807	2025-05-07	88	55	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of Aileen K. Keays Of Farmington To Be A Member Of The Board Of Pardons And Paroles.
HJ00096	senate	1576548	2025-05-22	27	9	out-of-scope: nomination confirmation	Resolution Confirming The Nomination Of Aileen K. Keays Of Farmington To Be A Member Of The Board Of Pardons And Paroles.
SB00001	house	1582627	2025-05-31	101	45	batch-01	An Act Increasing Resources For Students, Schools And Special Education.
SB00003	house	1581896	2025-05-29	112	34	batch-01	An Act Concerning Consumer Protection And Safety.
SB00003	senate	1572263	2025-05-15	25	10	batch-01	An Act Concerning Consumer Protection And Safety.
SB00009	house	1580476	2025-05-28	115	33	batch-01	An Act Concerning The Environment, Climate And Sustainable Municipal And State Planning, And The Use Of Neonicotinoids And Second-generation Anticoagulant Rodenticides.
SB00009	senate	1572213	2025-05-15	28	8	batch-01	An Act Concerning The Environment, Climate And Sustainable Municipal And State Planning, And The Use Of Neonicotinoids And Second-generation Anticoagulant Rodenticides.
SB01187	house	1585101	2025-06-04	84	65	candidate:unbatched	An Act Concerning Foreclosure, Assignment And Other Enforcement Actions For Unpaid Sewer Assessments And Other Fees And Charges.
SB01187	senate	1567016	2025-05-07	23	11	candidate:unbatched	An Act Concerning Foreclosure, Assignment And Other Enforcement Actions For Unpaid Sewer Assessments And Other Fees And Charges.
SB01221	house	1580657	2025-05-28	102	38	candidate:unbatched	An Act Making Changes To The Connecticut Retirement Security Program.
SB01221	senate	1564447	2025-05-01	25	11	candidate:unbatched	An Act Making Changes To The Connecticut Retirement Security Program.
SB01234	house	1574203	2025-05-15	106	38	batch-01	An Act Prohibiting Libraries From Agreeing To Certain Terms In Electronic Book And Digital Audiobook License Agreements Or Contracts.
SB01312	house	1585141	2025-06-03	96	42	candidate:unbatched	An Act Implementing The Recommendations Of The Labor Department.
SB01312	senate	1580352	2025-05-28	25	11	candidate:unbatched	An Act Implementing The Recommendations Of The Labor Department.
SB01328	house	1583345	2025-05-28	109	37	batch-01	An Act Prohibiting The Private Ownership, Operation Or Management Of State Correctional Facilities.
SB01358	senate	1580725	2025-05-28	28	8	batch-01	An Act Concerning Inflationary Rate Increases For State-contracted Nonprofit Human Services Providers.
SB01367	house	1578815	2025-05-22	93	55	candidate:unbatched	An Act Prohibiting A Bail Bondsman Or Agent From Apprehending A Principal On A Bond On The Premises, Grounds Or Campus Of Any Health Care Facility, School, Institution Of Higher Education Or House Of Worship.
