bill	status	chamber	roll	stored_roll	date	tally	passed	in_db	kept	last_in_chamber	vote_no	desc	subjects	title	disposition	reason
HB05002	vetoed	house	1579228	1579228	2025-05-27	84-67	1	yes	t	yes	196	House Roll Call Vote 196 AS AMENDED 		An Act Concerning Housing And The Needs Of Homeless Persons.	batch-04	imported
HB05002	vetoed	house	1579229	1579229	2025-05-27	51-100	0	yes	f	no	195	House Roll Call Vote 195 HOUSE AMD J		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579230	1579230	2025-05-27	50-101	0	yes	f	no	194	House Roll Call Vote 194 HOUSE AMD I		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579231	1579231	2025-05-27	50-101	0	yes	f	no	193	House Roll Call Vote 193 HOUSE AMD H		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579232	1579232	2025-05-27	50-101	0	yes	f	no	192	House Roll Call Vote 192 HOUSE AMD G		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579233	1579233	2025-05-27	50-101	0	yes	f	no	191	House Roll Call Vote 191 HOUSE AMD E		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579235	1579235	2025-05-27	48-100	0	yes	f	no	189	House Roll Call Vote 189 HOUSE AMD C		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579236	1579236	2025-05-27	92-47	1	yes	f	no	188	House Roll Call Vote 188 HOUSE AMD B		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	house	1579237	1579237	2025-05-27	89-46	1	yes	f	no	187	House Roll Call Vote 187 HOUSE AMD A		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582322	1582322	2025-05-30	11-24	0	yes	t	no	314	Senate Roll Call Vote 314 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582313	1582313	2025-05-31	20-15	1	yes	t	yes	323	Senate Roll Call Vote 323 		An Act Concerning Housing And The Needs Of Homeless Persons.	batch-04	imported
HB05002	vetoed	senate	1582314	1582314	2025-05-31	11-24	0	yes	t	no	322	Senate Roll Call Vote 322 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582315	1582315	2025-05-31	11-24	0	yes	t	no	321	Senate Roll Call Vote 321 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582316	1582316	2025-05-31	11-24	0	yes	t	no	320	Senate Roll Call Vote 320 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582317	1582317	2025-05-31	10-25	0	yes	t	no	319	Senate Roll Call Vote 319 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582318	1582318	2025-05-31	11-24	0	yes	t	no	318	Senate Roll Call Vote 318 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582319	1582319	2025-05-31	11-24	0	yes	t	no	317	Senate Roll Call Vote 317 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582320	1582320	2025-05-31	11-24	0	yes	t	no	316	Senate Roll Call Vote 316 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05002	vetoed	senate	1582321	1582321	2025-05-31	11-24	0	yes	t	no	315	Senate Roll Call Vote 315 		An Act Concerning Housing And The Needs Of Homeless Persons.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05269	engrossed	house	1585175	1585175	2025-06-04	100-46	1	yes	t	yes	356	House Roll Call Vote 356 AS AMENDED 		An Act Concerning Gaming Advertisements And Permissible Payment Mechanisms For Online Gami	batch-03	imported
HB05428	engrossed	house	1580696	1580696	2025-05-28	47-100	0	yes	f	no	207	House Roll Call Vote 207 HOUSE AMD E		An Act Concerning Mobile Manufactured Home Parks.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB05428	engrossed	house	1580697	1580697	2025-05-28	47-100	0	yes	f	no	206	House Roll Call Vote 206 HOUSE AMD D		An Act Concerning Mobile Manufactured Home Parks.	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
