roll	chamber	date	bill	status	tally	question	reach	later_rolls	same_day_peers	title	history_line	disposition	reason
1587790	house	2025-06-10	HB105	became law	28-12	passage	5			An Act To Amend Title 19 Of The Delaware Code Relating To Employment Practices.	Passed By House. Votes: 28 YES 12 NO 1 ABSENT	batch-01	judged and imported
1596588	senate	2025-06-30	HB105	became law	16-4	passage	9			An Act To Amend Title 19 Of The Delaware Code Relating To Employment Practices.	Passed By Senate. Votes: 16 YES 4 NO 1 ABSENT	batch-01	judged and imported
1708701	house	2026-06-11	HB111	passed one chamber	27-12	passage	5			An Act To Amend Title 16 Of The Delaware Code Relating To Reducing The Automatic Provision Of Single-use Eating Utensils, Condiment Packets, And Other	Passed By House. Votes: 27 YES 12 NO 2 ABSENT	out-of-gate	the measure passed one chamber; the campaign gate is divided and enacted
1587714	house	2025-06-10	HB116	became law	26-13	passage	5	1596577		An Act To Amend Title 26 Of The Delaware Code Relating To Public Utility Rates.	Passed By House. Votes: 26 YES 13 NO 2 ABSENT	superseded	the same chamber voted again on this measure later (roll 1596577); the later vote is the one on the text that became law
1595515	senate	2025-06-26	HB116	became law	15-6	passage	9			An Act To Amend Title 26 Of The Delaware Code Relating To Public Utility Rates.	Passed By Senate. Votes: 15 YES 6 NO	batch-01	judged and imported
1596577	house	2025-06-30	HB116	became law	26-14	passage	5			An Act To Amend Title 26 Of The Delaware Code Relating To Public Utility Rates.	Passed By House. Votes: 26 YES 14 NO 1 VACANT	batch-01	judged and imported
1576658	house	2025-05-22	HB119	became law	27-10	passage	5			An Act To Amend Titles 9, 14, And 29 Of The Delaware Code Relating To Libraries.	Passed By House. Votes: 27 YES 10 NO 4 ABSENT	batch-01	judged and imported
1596946	senate	2025-06-30	HB119	became law	14-6	passage	9			An Act To Amend Titles 9, 14, And 29 Of The Delaware Code Relating To Libraries.	Passed By Senate. Votes: 14 YES 6 NO 1 ABSENT	batch-01	judged and imported
1570813	house	2025-05-13	HB130	became law	22-14	passage	5			An Act To Amend Titles 14 And 19 Of The Delaware Code Relating To Bargaining Units.	Passed By House. Votes: 22 YES 14 NO 1 NOT VOTING 4 ABSENT	dropped	filter-5 drop: union access to public employee contact details and employer email. No research area covers labor or union rights, the gap California recorded.
1709662	senate	2026-06-16	HB131	became law	15-6	passage	9			An Act To Amend Titles 6 And 16 Of The Delaware Code Relating To Pet Stores And Animal Welfare.	Passed By Senate. Votes: 15 YES 6 NO	dropped	filter-5 drop: bars retail pet stores selling dogs and cats. No research area covers animal welfare.
1668992	house	2026-03-24	HB133	passed both, awaiting governor	24-13	passage	5			An Act To Amend Title 11 Of The Delaware Code Relating To Fines, Fees, Restitution, And Other Court-related Monetary Obligations.	Passed By House. Votes: 24 YES 13 NO 1 NOT VOTING 3 ABSENT	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1713212	senate	2026-06-30	HB133	passed both, awaiting governor	16-5	passage	9			An Act To Amend Title 11 Of The Delaware Code Relating To Fines, Fees, Restitution, And Other Court-related Monetary Obligations.	Passed By Senate. Votes: 16 YES 5 NO	out-of-gate	the measure passed both, awaiting governor; the campaign gate is divided and enacted
1520215	house	2025-03-18	HB140	became law	21-17	passage	5			An Act To Amend Title 16 Of The Delaware Code Relating To End Of Life Options.	Passed By House. Votes: 21 YES 17 NO 3 ABSENT	dropped	filter-5 drop: End of Life Options Act, medical aid in dying. No research area carries an honest direction — healthcare_affordability scores it `for` only by assuming assisted death is care whose access should improve, which is the contested question itself, and civil_rights has organized constituencies claiming both directions. Maine LD 613 imported the same shape under `general` with no stance, but `general` is a judicial, non-selectable area that must never be tagged on a roll-call record, so importing without a stance is no longer available. The most newsworthy divided-and-enacted measure of the session; expect to be asked.
