roll	bill	bt	ch	date	q	y	n	nv	ab	status	status_date	hist_ok	desc	title
1269555	HB101	B	house	2023-03-06	passage	102	73	2	2	2	2023-03-06	True	Passage	Income tax; change certain definitions
1412627	HB1015	B	senate	2024-03-20	passage	40	12	2	2	4	2024-04-18	True	Passage	Income tax; reduce rate of tax
1397045	HB1018	B	house	2024-02-27	passage	106	60	4	8	4	2024-04-22	True	Passage	Georgia Firearms Industry Nondiscrimination Act; enact
1416002	HB1018	B	senate	2024-03-26	passage	33	19	2	2	4	2024-04-22	True	Passage	Georgia Firearms Industry Nondiscrimination Act; enact
1412659	HB1023	B	senate	2024-03-20	passage	34	17	1	4	4	2024-04-18	True	Passage	Income tax; match tax rate imposed on corporations to that imposed on individual taxpayers
1413896	HB1053	B	senate	2024-03-21	passage	38	11	2	5	4	2024-05-06	True	Passage	State government; prohibit governmental agencies from using central bank digital currency as payment
1417417	HB1073	B	senate	2024-03-28	passage	42	12	1	1	4	2024-05-06	True	Passage By Substitute	Local government; zoning; repeal additional hearing and notice provisions regarding halfway houses, drug rehab
1395371	HB1100	B	house	2024-02-26	passage	99	68	4	7	4	2024-04-22	True	Passage	Revenue, Department of; authorize use of electronic notifications and communications to motor vehicle owners; 
1416045	HB1104	B	senate	2024-03-26	passage	33	21	0	2	2	2024-02-29	True	Passage By Substitute	Quality Basic Education Act; address mental health risks for student athletes
1400226	HB1105	B	house	2024-02-29	passage	97	74	1	6	4	2024-05-01	True	Passage	Georgia Criminal Alien Track and Report Act of 2024; enact
1417511	HB1105	B	house	2024-03-28	concurrence	99	75	1	4	4	2024-05-01	True	Agree To Senate Substitute	Georgia Criminal Alien Track and Report Act of 2024; enact
1413965	HB1105	B	senate	2024-03-21	passage	34	19	0	3	4	2024-05-01	True	Passage By Substitute	Georgia Criminal Alien Track and Report Act of 2024; enact
1412693	HB1114	B	senate	2024-03-20	passage	28	22	2	4	4	2024-04-22	True	Passage	Data Analysis for Tort Reform Act; enact
1416001	HB1114	B	senate	2024-03-26	passage	38	16	0	2	4	2024-04-22	True	Passage	Data Analysis for Tort Reform Act; enact
1417361	HB1122	B	senate	2024-03-28	concurrence	35	19	0	2	4	2024-04-23	True	Agree To House Amendment To Senate Substitute	Education; provide for funding requirements to apply to local agencies; charter schools; provisions
1400122	HB1146	B	house	2024-02-29	passage	105	58	4	11	4	2024-05-06	True	Passage	Natural Resources, Department of; EPD to issue water permits to private companies in areas where no public ser
1417435	HB1146	B	senate	2024-03-28	passage	32	22	1	1	4	2024-05-06	True	Passage	Natural Resources, Department of; EPD to issue water permits to private companies in areas where no public ser
1400180	HB1149	B	house	2024-02-29	passage	100	62	4	12	4	2024-05-06	True	Passage	Local government; require local constitutional officers to annually report audits of discretionary funds to th
1417527	HB1170	B	senate	2024-03-28	passage	32	19	4	1	2	2024-02-22	True	Passage By Substitute	Public Health, Department of; require certain state government buildings, courthouses, and university building
1395406	HB1172	B	house	2024-02-26	passage	107	60	4	7	4	2024-05-06	True	Passage	Water rights; public trust doctrine; remove references
1416065	HB1172	B	senate	2024-03-26	passage	34	18	1	3	4	2024-05-06	True	Passage	Water rights; public trust doctrine; remove references
1400158	HB1180	B	house	2024-02-29	passage	131	34	6	7	2	2024-02-29	True	Passage	Income tax credit; film, gaming, video, or digital production; revise a definition
1397037	HB1182	B	house	2024-02-27	passage	104	61	9	4	2	2024-02-27	True	Passage	Income tax; low-income housing tax credits; revise
1397057	HB1192	B	house	2024-02-27	passage	96	71	4	7	5	2024-05-07	True	Passage	Sales and use tax; certain high-technology data center equipment; prohibit issuance of new certificates of exe
1409638	HB1192	B	senate	2024-03-14	passage	29	22	0	5	5	2024-05-07	True	Passage	Sales and use tax; certain high-technology data center equipment; prohibit issuance of new certificates of exe
1417444	HB1207	B	house	2024-03-28	concurrence	100	75	1	3	4	2024-05-06	True	Agree To Senate Substitute	Elections; proofing of ballots by local superintendents in certain races; provide
1416027	HB1207	B	senate	2024-03-26	passage	33	20	0	3	4	2024-05-06	True	Passage By Substitute	Elections; proofing of ballots by local superintendents in certain races; provide
1417487	HB1253	B	senate	2024-03-28	passage	32	22	0	2	2	2024-02-29	True	Passage By Substitute	Community Affairs, Department of; revise composition of governing council for regional commissions
1413980	HB1312	B	house	2024-03-21	concurrence	93	66	4	16	4	2024-04-18	True	Agree To Senate Substitute	Agriculture, Department of; regulation and taxation of electricity used as motor fuel and electric vehicle cha
1413871	HB1339	B	house	2024-03-21	concurrence	95	68	2	14	4	2024-04-19	True	Agree To Senate Sub As Am	Health; certificate of need; revise
1409609	HB1339	B	senate	2024-03-14	passage	43	11	0	2	4	2024-04-19	True	Passage By Substitute	Health; certificate of need; revise
1413872	HB1339	B	senate	2024-03-21	concurrence	34	17	1	4	4	2024-04-19	True	Agree To House Amendment To Senate Substitute	Health; certificate of need; revise
1417482	HB1409	B	senate	2024-03-28	passage	40	14	1	1	4	2024-05-06	True	Passage By Substitute	Torts; mental health care providers; limit liability under certain circumstances
1269564	HB189	B	house	2023-03-06	passage	93	81	2	3	4	2023-05-03	True	Passage	Highways, bridges, and ferries; allowable variance for weight limitations upon a vehicle or load; provide for
1288682	HB189	B	house	2023-03-30	conference_report	95	75	3	6	4	2023-05-03	False	Adopt Ccr	Highways, bridges, and ferries; allowable variance for weight limitations upon a vehicle or load; provide for
1291156	HB189	B	senate	2023-03-30	conference_report	37	16	2	1	4	2023-05-03	False	Adopt Conference Committee Report	Highways, bridges, and ferries; allowable variance for weight limitations upon a vehicle or load; provide for
1288586	HB193	B	senate	2023-03-29	concurrence	40	12	1	3	5	2023-05-05	True	Agree To House Amendment To Senate Amendment	Local government; increase dollar values of certain public works construction contracts exempt from bidding re
1288616	HB196	B	senate	2023-03-29	concurrence	28	26	0	2	2	2023-03-06	True	Agree To House Amendment To Senate Substitute	Georgia Access to Medical Cannabis Commission; subject to Administrative Procedure Act and laws governing open
1269566	HB206	B	house	2023-03-06	passage	134	38	4	3	4	2024-04-25	True	Passage	Local government; creation of Commercial Property Assessed Conservation, Energy, and Resiliency Development Au
1415951	HB206	B	house	2024-03-26	concurrence	72	91	7	9	4	2024-04-25	True	Agree To Senate Substitute	Local government; creation of Commercial Property Assessed Conservation, Energy, and Resiliency Development Au
1286001	HB230	B	senate	2023-03-27	passage	43	11	0	2	4	2023-04-24	True	Passage By Substitute	Revenue and taxation; qualified consolidated government special purpose local option sales tax; provide
1269569	HB231	B	house	2023-03-06	passage	98	75	1	5	2	2023-03-06	True	Passage	Prosecuting Attorneys Oversight Commission; create
1417495	HB282	B	senate	2024-03-28	passage	33	22	0	1	2	2024-02-15	True	Passage By Substitute	Quality Basic Education Act; minimum course study in career readiness education for students in grades six thr
1413989	HB301	B	senate	2024-03-21	passage	33	18	1	4	2	2023-02-28	True	Passage By Substitute	Motor vehicles and traffic; revise amount of civil monetary penalty for violations of improperly passing a sch
1269577	HB353	B	house	2023-03-06	passage	127	46	3	3	4	2024-05-06	True	Passage	Georgia Lottery for Education Act; administrative procedures regarding coin operated amusement machines shall 
1416055	HB353	B	senate	2024-03-26	concurrence	27	26	0	3	4	2024-05-06	True	Agree To House Amendment To Senate Substitute As Amended By Amendment #1	Georgia Lottery for Education Act; administrative procedures regarding coin operated amusement machines shall 
1416057	HB353	B	senate	2024-03-26	concurrence	29	24	0	3	4	2024-05-06	True	Agree To House Amendment To Senate Substitute As Amended By Amendment #1	Georgia Lottery for Education Act; administrative procedures regarding coin operated amusement machines shall 
