bill	bill_id	chamber	roll_call_id	date	tally	rolls_in_chamber	engrossed_texts	status	chapter	question_from_history	title	description	disposition	reason
H0491	2084507	house	1616971	2026-01-26	67-0	1	0	4	162	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to revise provisions regarding immunity of persons giving first aid from damage claims.	EMERGENCY FIRST AID -- Amends existing law to revise provisions regarding immunity of persons giving first aid from damage claims.	out-of-gate:not-divided	
H0491	2084507	senate	1668004	2026-03-23	33-0	1	0	4	162	Read third time in full -- PASSED 33-0-2	Amends existing law to revise provisions regarding immunity of persons giving first aid from damage claims.	EMERGENCY FIRST AID -- Amends existing law to revise provisions regarding immunity of persons giving first aid from damage claims.	out-of-gate:not-divided	
H0492	2084252	house	1616970	2026-01-26	67-0	1	0	4	157	Read Third Time in Full -- PASSED 67-0-3	Amends existing law to provide that a certain person from the Idaho Association of Counties shall be a member of the Peace Officer Standards and Training Counci	PEACE OFFICER STANDARDS AND TRAINING COUNCIL -- Amends existing law to provide that a certain person from the Idaho Association of Counties shall be a member of the Peace Officer Standards and Training Council.	out-of-gate:not-divided	
H0492	2084252	senate	1667992	2026-03-23	33-0	1	0	4	157	Read third time in full -- PASSED 33-0-2	Amends existing law to provide that a certain person from the Idaho Association of Counties shall be a member of the Peace Officer Standards and Training Counci	PEACE OFFICER STANDARDS AND TRAINING COUNCIL -- Amends existing law to provide that a certain person from the Idaho Association of Counties shall be a member of the Peace Officer Standards and Training Council.	out-of-gate:not-divided	
H0493	2084128	house	1621043	2026-02-02	50-19	1	0	2		Read Third Time in Full -- PASSED 50-19-1	Amends existing law to revise the penalty for soliciting commercial sexual activity.	COMMERCIAL SEXUAL ACTIVITY -- Amends existing law to revise the penalty for soliciting commercial sexual activity.	out-of-gate:not-enacted	
H0494	2085726	house	1671450	2026-03-26	41-29	2	1	4	220		Amends, repeals, and adds to existing law to establish provisions regarding background checks conducted by the Department of Health and Welfare.	HEALTH AND WELFARE -- Amends, repeals, and adds to existing law to establish provisions regarding background checks conducted by the Department of Health and Welfare.	dropped:selection	consolidates department background checks and replaces the fingerprint check for temporary caregivers; whether the check tightens or loosens cannot be settled from the act
H0494	2085726	senate	1667637	2026-03-23	20-13	1	1	4	220	Read third time as amended in the Senate -- PASSED 20-13-2	Amends, repeals, and adds to existing law to establish provisions regarding background checks conducted by the Department of Health and Welfare.	HEALTH AND WELFARE -- Amends, repeals, and adds to existing law to establish provisions regarding background checks conducted by the Department of Health and Welfare.	dropped:selection	consolidates department background checks and replaces the fingerprint check for temporary caregivers; whether the check tightens or loosens cannot be settled from the act
H0498	2085882	house	1635408	2026-02-17	61-8	1	0	2		Read Third Time in Full -- PASSED 61-8-1	Adds to existing law to authorize the Legislature to employ counsel in addition to the Attorney General in actions against the federal government.	LEGISLATURE -- Adds to existing law to authorize the Legislature to employ counsel in addition to the Attorney General in actions against the federal government.	out-of-gate:not-enacted	
H0500	2087003	house	1626538	2026-02-09	68-0	1	0	4	24	Read Third Time in Full -- PASSED 68-0-2	Amends existing law to provide for human-powered vehicles, bicycles, and electric-assisted bicycles.	MOTOR VEHICLES -- Amends existing law to provide for human-powered vehicles, bicycles, and electric-assisted bicycles.	out-of-gate:not-divided	
H0500	2087003	senate	1659201	2026-03-10	34-0	1	0	4	24	Read third time in full -- PASSED 34-0-1	Amends existing law to provide for human-powered vehicles, bicycles, and electric-assisted bicycles.	MOTOR VEHICLES -- Amends existing law to provide for human-powered vehicles, bicycles, and electric-assisted bicycles.	out-of-gate:not-divided	
H0501	2086963	house	1636995	2026-02-18	65-0	1	0	2		Read Third Time in Full -- PASSED 65-0-5	Amends existing law to require signature gatherers to be qualified electors and to require paid signature gatherers to provide the name of the persons or entiti	BALLOT MEASURES -- Amends existing law to require signature gatherers to be qualified electors and to require paid signature gatherers to provide the name of the persons or entities that are paying them on their badge.	out-of-gate:not-enacted	
