bill	roll	date	question_class	yea	nay	disposition	reason	desc	title
HB2004	1671544	2026-03-26	conference_report	84	37	not-selected	filter 4 keeps one roll per measure per chamber	House Conference Committee Report was adopted	Requiring the secretary for children and families and the office of inspector general to exchange information and documents related to cash assistance, childcare assistance and food assistance fraud investigations and requiring the secretary for children and families and the secretary of health and environment to execute a memorandum of understanding or other written data-sharing instrument upon written request of the United States department of agriculture or the United States department of health and human services and comply with data requests from such federal agencies.
HB2004	1679999	2026-04-09	veto_override	85	38	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Motion to override veto prevailed	Requiring the secretary for children and families and the office of inspector general to exchange information and documents related to cash assistance, childcare assistance and food assistance fraud investigations and requiring the secretary for children and families and the secretary of health and environment to execute a memorandum of understanding or other written data-sharing instrument upon written request of the United States department of agriculture or the United States department of health and human services and comply with data requests from such federal agencies.
HB2007	1492997	2025-02-19	passage	83	36	superseded	the chamber's last kept vote (2025-04-11, 121-0) was not divided	House Final Action - Substitute passed as amended	Senate Substitute for Substitute for HB 2007 by Committee on Ways and Means - Reconciling multiple amendments to certain statutes.
HB2016	1527779	2025-03-26	conference_report	97	26	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Including funeral home online obituary notices as sufficient grounds for removal of a deceased voter from the voter registration books; requiring that poll workers be citizens of the United States and live within the state of Kansas; prohibiting the disqualification of active military members, spouses or other dependents who are citizens of the United States as poll workers on the basis of residency or being a registered voter; relating to advance voting ballot applications; modifying the requirements for soliciting registered voters to submit advance voting applications.
HB2020	1483144	2025-02-06	passage	83	34	not-selected	filter 4 keeps one roll per measure per chamber	House Final Action - Passed as amended	Requiring a quarterly report from the director of the division of vehicles listing the names, addresses and alien registration numbers of certain noncitizens who have been issued a driver's license during such quarter.
HB2020	1522656	2025-03-20	concurrence	83	35	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments	Requiring a quarterly report from the director of the division of vehicles listing the names, addresses and alien registration numbers of certain noncitizens who have been issued a driver's license during such quarter.
HB2022	1527591	2025-03-26	conference_report	88	35	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Requiring special elections be held on the first Tuesday after the first Monday in March or on the same day as a primary or general election.
HB2027	1486110	2025-02-11	passage	88	35	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Emergency Final Action - Passed as amended	Reorganizing subsections of the public assistance statute.
HB2033	1494873	2025-02-20	passage	89	32	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Final Action - Passed	Including programs and services provided by nonprofit organizations accredited by the international multisensory structured language education council as approved at-risk educational programs.
HB2033	1543277	2025-04-10	veto_override	87	38	batch-01	imported	House Motion to override veto prevailed	Including programs and services provided by nonprofit organizations accredited by the international multisensory structured language education council as approved at-risk educational programs.
HB2042	1671672	2026-03-26	conference_report	69	52	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Authorizing the adoption of certain rules and regulations related to hazardous waste monitoring and permit application fees by the Kansas department of health and environment.
HB2054	1504339	2025-03-04	passage	77	46	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Final Action - Passed as amended	Senate Substitute for HB 2054 by Committee on Federal and State Affairs - Increasing the limits on certain campaign contributions under the campaign finance act.
HB2054	1529499	2025-03-27	conference_report	72	52	batch-01	imported	House Conference Committee Report was adopted	Senate Substitute for HB 2054 by Committee on Federal and State Affairs - Increasing the limits on certain campaign contributions under the campaign finance act.
HB2056	1529141	2025-03-27	conference_report	88	37	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Conference Committee Report was adopted	Senate Substitute for HB 2056- Requiring specific intent as an element of the crime of false representation of an election official; requiring that any person nominated for an elected office accept such nomination by signing a notarized statement of acceptance and restricting the number of nominations a person may accept to one nomination per election cycle.
HB2060	1526725	2025-03-25	concurrence	75	47	candidate:batch-03	survived the title-versus-act check; awaits a reading of the enacted act	House Concurred with amendments in conference	Senate Substitute for Substitute for HB 2060 by Committee on Local Government, Transparency and Ethics - Providing for the treatment of the reimbursement for expenses incurred for travel and activities in attending conferences or events by certain specified nonprofit organizations and discounted or free access to entertainment, sporting events or other activities.
HB2062	1493179	2025-02-19	passage	85	34	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Final Action - Passed as amended	Providing for child support orders for unborn children from the date of conception, including the direct medical and pregnancy-related expenses of the mother as a factor in child support orders and providing for an income tax exemption for unborn and stillborn children, requiring courts to consider the value of retirement accounts in certain circumstances, authorizing payment from certain retirement accounts to pay child support arrearages and eliminating the exemption of pension and retirement moneys from claims to fulfill child support obligations.
HB2062	1529155	2025-03-27	conference_report	87	38	not-selected	filter 4 keeps one roll per measure per chamber; the chosen roll is in batch-01	House Conference Committee Report was adopted	Providing for child support orders for unborn children from the date of conception, including the direct medical and pregnancy-related expenses of the mother as a factor in child support orders and providing for an income tax exemption for unborn and stillborn children, requiring courts to consider the value of retirement accounts in certain circumstances, authorizing payment from certain retirement accounts to pay child support arrearages and eliminating the exemption of pension and retirement moneys from claims to fulfill child support obligations.
