bill	overridden	rolls	chambers	roll_call_id	chamber	seq	date	yea	nay	title	disposition	reason
HB2	yes	3	HS	1500616	house	105	2025-02-26	76	17	AN ACT relating to the taxation of currency and bullion currency and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB2	yes	3	HS	1518159	senate	3545	2025-03-14	30	6	AN ACT relating to the taxation of currency and bullion currency and declaring an emergency.	batch-02	imported
HB2	yes	3	HS	1529618	house	315	2025-03-27	80	19	AN ACT relating to the taxation of currency and bullion currency and declaring an emergency.	batch-02	imported
HB4	yes	4	HS	1506717	house	157	2025-03-05	81	18	AN ACT relating to initiatives regarding diversity, equity, and inclusion.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB4	yes	4	HS	1516615	senate	3503	2025-03-12	32	6	AN ACT relating to initiatives regarding diversity, equity, and inclusion.	batch-01	imported
HB4	yes	4	HS	1517633	house	237	2025-03-13	79	17	AN ACT relating to initiatives regarding diversity, equity, and inclusion.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB4	yes	4	HS	1529818	house	330	2025-03-27	79	19	AN ACT relating to initiatives regarding diversity, equity, and inclusion.	batch-01	imported
HB6	yes	3	HS	1502540	house	130	2025-02-28	75	19	AN ACT relating to administrative regulations and declaring an emergency.	batch-02:not-selected	filter 4: one roll per measure per chamber. The chamber's later divided roll was selected instead.
HB6	yes	3	HS	1517669	senate	3510	2025-03-13	29	6	AN ACT relating to administrative regulations and declaring an emergency.	batch-02	imported
HB6	yes	3	HS	1529575	house	317	2025-03-27	80	20	AN ACT relating to administrative regulations and declaring an emergency.	batch-02	imported
HB45	no	1	S	1515347	senate	3467	2025-03-11	29	6	AN ACT relating to campaign finance.	batch-02	imported
HB90	yes	3	HS	1517833	house	244	2025-03-13	74	17	AN ACT relating to maternal health and declaring an emergency.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB90	yes	3	HS	1529607	house	326	2025-03-27	77	20	AN ACT relating to maternal health and declaring an emergency.	batch-01	imported
HB90	yes	3	HS	1529608	senate	3665	2025-03-27	31	7	AN ACT relating to maternal health and declaring an emergency.	batch-01	imported
HB136	yes	2	HS	1529582	house	327	2025-03-27	80	17	AN ACT relating to corrections.	batch-01	imported
HB136	yes	2	HS	1529583	senate	3666	2025-03-27	32	6	AN ACT relating to corrections.	batch-01	imported
HB137	no	2	HS	1493834	house	32	2025-02-19	73	16	AN ACT relating to air quality monitoring.	batch-02	imported
HB137	no	2	HS	1516636	senate	3491	2025-03-12	31	6	AN ACT relating to air quality monitoring.	batch-02	imported
HB196	no	2	HS	1495633	house	44	2025-02-20	76	16	AN ACT relating to coal mining.	dropped	dropped, filter 5: the Act rewrites the mine emergency technician staffing formula, cutting shifts of ten or fewer miners from two technicians to one and dropping the explicit nonproduction-shift requirement, while adding one technician for every extra fifty miners underground. It relaxes and tightens in the same sentence, with no honest single direction.
HB196	no	2	HS	1516638	senate	3487	2025-03-12	30	7	AN ACT relating to coal mining.	dropped	dropped, filter 5: the Act rewrites the mine emergency technician staffing formula, cutting shifts of ten or fewer miners from two technicians to one and dropping the explicit nonproduction-shift requirement, while adding one technician for every extra fifty miners underground. It relaxes and tightens in the same sentence, with no honest single direction.
HB216	yes	2	HS	1529812	house	313	2025-03-27	79	15	AN ACT relating to the Kentucky Office of Agricultural Policy and declaring an emergency.	batch-02	imported
HB216	yes	2	HS	1529813	senate	3601	2025-03-27	32	6	AN ACT relating to the Kentucky Office of Agricultural Policy and declaring an emergency.	batch-02	imported
HB241	no	2	S	1508149	senate	3445	2025-03-06	23	14	AN ACT relating to education and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB241	no	2	S	1517647	senate	3543	2025-03-13	31	6	AN ACT relating to education and declaring an emergency.	candidate:batch-02	passed the divided-and-enacted gate; not yet read
HB346	yes	2	HS	1529594	house	312	2025-03-27	78	19	AN ACT relating to air quality programs and declaring an emergency.	dropped	dropped, filter 5: the Act exempts a class of permitted sources from air-quality fees and refunds their 2023 fees, but the same section bars the cabinet from capping the tons of a pollutant it may charge fees on. Both strands are about who funds the air program and they pull opposite ways.
HB346	yes	2	HS	1529595	senate	3603	2025-03-27	32	6	AN ACT relating to air quality programs and declaring an emergency.	dropped	dropped, filter 5: the Act exempts a class of permitted sources from air-quality fees and refunds their 2023 fees, but the same section bars the cabinet from capping the tons of a pollutant it may charge fees on. Both strands are about who funds the air program and they pull opposite ways.
HB398	yes	5	HS	1500852	house	87	2025-02-26	62	33	AN ACT relating to occupational safety and health.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB398	yes	5	HS	1517676	house	261	2025-03-13	70	20	AN ACT relating to occupational safety and health.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
HB398	yes	5	HS	1517675	senate	3512	2025-03-13	28	9	AN ACT relating to occupational safety and health.	batch-01:not-selected	filter 4: one roll per measure per chamber. The chamber’s later divided roll was selected instead.
