bill	status	title	ch	date	desc	roll	yea	nay	passed	cls	margin
LD100	4	An Act to Increase the Expenditure Limit for the Informal Bidding Process for the Selection of Professional, Architect and Engineer Services	H	2025-03-25	Acc Maj Ought To Pass Rep	1526194	78	66	1	passage	0.846
LD100	4	An Act to Increase the Expenditure Limit for the Informal Bidding Process for the Selection of Professional, Architect and Engineer Services	S	2025-03-27	Accept Majority Ought To Pass Report	1528984	19	14	1	passage	0.737
LD100	4	An Act to Increase the Expenditure Limit for the Informal Bidding Process for the Selection of Professional, Architect and Engineer Services	H	2025-04-01	Enactment	1532910	72	68	1	passage	0.944
LD1003	4	An Act Establishing the Retirement Improvement Fund	S	2025-06-03	Accept Majority Ought To Pass As Amended Report	1584208	19	14	1	passage	0.737
LD1012	4	An Act to Fund the Operations of the University of Maine Cooperative Extension Tick Laboratory	S	2025-06-03	Accept Majority Ought To Pass As Amended Report	1584188	16	17	0	passage	0.941
LD1012	4	An Act to Fund the Operations of the University of Maine Cooperative Extension Tick Laboratory	S	2025-06-04	Recede And Concur	1584965	19	14	1	concurrence	0.737
LD1016	4	An Act to Establish the Manufactured Housing Community and Mobile Home Park Preservation and Assistance Fund	S	2025-06-05	Accept Majority Ought To Pass As Amended Report	1585717	19	13	1	passage	0.684
LD1016	4	An Act to Establish the Manufactured Housing Community and Mobile Home Park Preservation and Assistance Fund	H	2025-06-10	Acc Maj Otp As Amended Rep	1587988	75	65	1	passage	0.867
LD1016	4	An Act to Establish the Manufactured Housing Community and Mobile Home Park Preservation and Assistance Fund	S	2025-06-11	Recede And Concur	1588941	18	15	1	concurrence	0.833
LD102	4	An Act to Notify the Public of Juveniles That Have Escaped a Department of Corrections Facility and to Direct the Department of Corrections to Study the Further Release of Juvenile Intelligence and Investigative Record Information	H	2026-03-17	"Acc Otp-am By Ca ""a"""	1664489	76	65	1	passage	0.855
LD1023	4	Resolve, to Reestablish the Blue Economy Task Force to Support Maine's Emergence as a Center for Blue Economy Innovation and Opportunity in the 21st Century	H	2025-06-25	Recede And Concur	1595018	74	64	1	concurrence	0.865
LD1044	4	An Act to Clarify the Qualifying Use of Tax Increment Financing for Extension of a Development District	H	2025-06-11	Acc Maj Ought To Pass Rep	1589196	73	65	1	passage	0.89
LD1044	4	An Act to Clarify the Qualifying Use of Tax Increment Financing for Extension of a Development District	S	2025-06-12	Accept Majority Ought To Pass Report	1590079	25	10	1	passage	0.4
LD1048	4	An Act to Require Certain Notice Requirements for Whistleblower Protections	H	2025-06-09	Acc Maj Otp As Amended Rep	1586720	75	68	1	passage	0.907
LD1078	4	An Act to Support Maine's Public Health Objectives by Increasing Access to Hypodermic Apparatus Exchange Programs	H	2025-06-05	Acc Maj Otp As Amended Rep	1585483	74	65	1	passage	0.878
LD1078	4	An Act to Support Maine's Public Health Objectives by Increasing Access to Hypodermic Apparatus Exchange Programs	S	2025-06-09	Accept Majority Ought To Pass As Amended Report	1586829	20	11	1	passage	0.55
LD1080	4	An Act Prohibiting Public Utilities from Requiring Deposits Based Solely on a Residential Customer's Income	H	2025-05-14	Acc Maj Otp As Amended Rep	1571130	77	63	1	passage	0.818
LD1080	4	An Act Prohibiting Public Utilities from Requiring Deposits Based Solely on a Residential Customer's Income	S	2025-05-20	Accept Majority Ought To Pass As Amended Report	1574010	18	14	1	passage	0.778
LD1080	4	An Act Prohibiting Public Utilities from Requiring Deposits Based Solely on a Residential Customer's Income	S	2025-05-20	Passage To Be Engrossed As Amended	1574011	19	13	1	passage	0.684
LD109	4	Resolve, Directing the Maine Arts Commission to Study Federal and National Efforts to Protect Artists from Copyright Infringement by Artificial Intelligence Companies and Users and to Monitor Educational Use	H	2025-04-22	Acc Maj Otp As Amended Rep	1553495	80	64	1	passage	0.8
LD109	4	Resolve, Directing the Maine Arts Commission to Study Federal and National Efforts to Protect Artists from Copyright Infringement by Artificial Intelligence Companies and Users and to Monitor Educational Use	S	2025-04-23	Accept Majority Ought To Pass As Amended Report	1555283	18	14	1	passage	0.778
LD109	4	Resolve, Directing the Maine Arts Commission to Study Federal and National Efforts to Protect Artists from Copyright Infringement by Artificial Intelligence Companies and Users and to Monitor Educational Use	H	2025-06-25	Recede And Concur	1594820	75	64	1	concurrence	0.853
LD1097	4	Resolve, to Require the Department of Education to Convene a Group to Develop Best Practices for De-escalation and Behavior Intervention	H	2025-05-29	Acc Maj Otp As Amended Rep	1581091	76	69	1	passage	0.908
LD1101	4	An Act to Address the Limited Availability of Counsel in Courts to Represent Indigent Parties in Matters Affecting Their Fundamental Rights	H	2025-04-10	Passage To Be Engrossed	1544873	113	32	1	passage	0.283
LD1105	4	An Act Concerning Displaced Civilian Federal Firefighters in Maine	H	2025-06-02	Acc Maj Otp As Amended Rep	1583164	74	66	1	passage	0.892
LD1105	4	An Act Concerning Displaced Civilian Federal Firefighters in Maine	S	2025-06-03	Accept Majority Ought To Pass As Amended Report	1584183	20	13	1	passage	0.65
LD1113	4	An Act Regarding Fairness in Sentencing for Persons Based on Age	S	2025-06-09	Accept Majority Ought To Pass As Amended Report	1587071	19	15	1	passage	0.789
LD1113	4	An Act Regarding Fairness in Sentencing for Persons Based on Age	H	2025-06-09	Acc Maj Otp As Amended Rep	1587070	74	71	1	passage	0.959
LD1117	4	An Act to Strengthen Maine's Workforce Through Certified Preapprenticeship Training Programs	S	2025-06-03	Accept Majority Ought To Pass As Amended Report	1584137	24	8	1	passage	0.333
LD1117	4	An Act to Strengthen Maine's Workforce Through Certified Preapprenticeship Training Programs	H	2025-06-04	Enactment	1585332	108	34	1	passage	0.315
LD1126	4	An Act Requiring Serial Numbers on Firearms and Prohibiting Undetectable Firearms	S	2025-06-12	Accept Majority Ought To Pass As Amended Report	1590096	18	17	1	passage	0.944
LD1126	4	An Act Requiring Serial Numbers on Firearms and Prohibiting Undetectable Firearms	H	2025-06-12	Acc Maj Otp As Amended Rep	1589819	77	70	1	passage	0.909
LD1126	4	An Act Requiring Serial Numbers on Firearms and Prohibiting Undetectable Firearms	H	2025-06-17	Enactment	1591692	76	72	1	passage	0.947
LD1126	4	An Act Requiring Serial Numbers on Firearms and Prohibiting Undetectable Firearms	H	2025-06-25	Recede And Concur	1594835	73	67	1	concurrence	0.918
LD1126	4	An Act Requiring Serial Numbers on Firearms and Prohibiting Undetectable Firearms	S	2025-06-25	Enactment	1595032	17	16	1	passage	0.941
LD1133	4	An Act to Allow Electric Vehicle Charging Stations by Condominium and Residential Associations	S	2025-06-04	Accept Majority Ought To Pass As Amended Report	1584824	21	13	1	passage	0.619
LD1145	4	An Act to Protect Residents Living in Mobile Home Parks	S	2025-06-05	Accept Majority Ought To Pass As Amended Report	1585732	25	7	1	passage	0.28
LD1145	4	An Act to Protect Residents Living in Mobile Home Parks	H	2025-06-09	Acc Maj Otp As Amended Rep	1586788	81	64	1	passage	0.79
LD1146	4	An Act Regarding the Required State of Mind Relating to Robbery	S	2025-06-02	Accept Majority Ought To Pass As Amended Report	1583204	20	14	1	passage	0.7
LD1159	4	An Act to Prohibit Governmental Entities That Charge a Fee for In-person Credit Card Purchases from Refusing to Accept Cash	H	2025-05-28	Recede And Concur	1579849	81	66	1	concurrence	0.815
LD1164	4	An Act to Create Economic Opportunity for the Wabanaki Nations Through Internet Gaming	H	2025-06-12	Acc Maj Otp As Amended Rep	1589537	85	59	1	passage	0.694
LD1164	4	An Act to Create Economic Opportunity for the Wabanaki Nations Through Internet Gaming	S	2025-06-12	Accept Majority Ought To Pass As Amended Report	1590120	17	17	0	passage	1.0
LD1164	4	An Act to Create Economic Opportunity for the Wabanaki Nations Through Internet Gaming	H	2025-06-17	Enactment	1591729	87	60	1	passage	0.69
LD1184	4	An Act to Require Municipal Reporting on Residential Building Permits, Dwelling Units Permitted and Demolished and Certificates of Occupancy Issued	H	2025-06-25	Recede And Concur	1594773	73	65	1	concurrence	0.89
LD1185	4	An Act to Prohibit Persons Under 18 Years of Age from Marrying	H	2025-04-15	Acc Maj Ought To Pass Rep	1548445	93	52	1	passage	0.559
LD1185	4	An Act to Prohibit Persons Under 18 Years of Age from Marrying	S	2025-04-17	Accept Majority Ought To Pass Report	1551474	23	11	1	passage	0.478
LD1185	4	An Act to Prohibit Persons Under 18 Years of Age from Marrying	S	2025-04-23	Enactment	1555067	19	11	1	passage	0.579
LD1187	4	An Act to Include Certain Mental Health Assessment Data in Firearm Fatalities and Hospitalizations Reports	H	2025-06-11	Acc Maj Otp As Amended Rep	1588755	75	67	1	passage	0.893
LD1187	4	An Act to Include Certain Mental Health Assessment Data in Firearm Fatalities and Hospitalizations Reports	H	2026-02-10	Passage To Be Engrossed	1628136	75	64	1	passage	0.853
LD1187	4	An Act to Include Certain Mental Health Assessment Data in Firearm Fatalities and Hospitalizations Reports	S	2026-02-12	Recede And Concur	1631647	19	13	1	concurrence	0.684
LD1189	4	An Act to Allow an Attorney for the State to Determine Whether to Charge Certain Class E Crimes as Civil Violations	S	2025-06-17	Accept Majority Ought To Pass As Amended Report	1591756	19	15	1	passage	0.789
LD1189	4	An Act to Allow an Attorney for the State to Determine Whether to Charge Certain Class E Crimes as Civil Violations	H	2025-06-17	Acc Maj Otp As Amended Rep	1591468	77	70	1	passage	0.909
LD1202	4	Resolve, Requiring the Department of Education to Develop Professional Opportunities for Educators in African American Studies	H	2025-06-10	Acc Maj Otp As Amended Rep	1587514	74	69	1	passage	0.932
LD1228	5	An Act to Clarify Certain Terms in and to Make Other Changes to the Automotive Right to Repair Laws	S	2025-06-17	Accept Majority Ought To Pass As Amended Report	1591915	21	14	1	passage	0.667
LD1228	5	An Act to Clarify Certain Terms in and to Make Other Changes to the Automotive Right to Repair Laws	H	2026-01-13	Reconsideration - Veto	1613819	96	44	1	veto_override	0.458
LD1228	5	An Act to Clarify Certain Terms in and to Make Other Changes to the Automotive Right to Repair Laws	S	2026-01-20	Reconsideration - Veto	1614471	10	24	0	veto_override	0.417
LD1258	4	An Act to Include Qualified Out-of-state Electric Vehicle Providers and Clarify Provisions Regarding Electric Bicycles Under the Electric Vehicle Fund	H	2025-05-29	Acc Maj Ought To Pass Rep	1581289	75	69	1	passage	0.92
LD1258	4	An Act to Include Qualified Out-of-state Electric Vehicle Providers and Clarify Provisions Regarding Electric Bicycles Under the Electric Vehicle Fund	S	2025-06-02	Accept Majority Ought To Pass Report	1583208	19	15	1	passage	0.789
LD1265	4	An Act to Amend the Laws Governing Public Employee Market Pay Studies and Comprehensive Reviews of the Classification Plan for State Service Positions	S	2025-06-05	Accept Majority Ought To Pass As Amended Report	1585843	21	11	1	passage	0.524
LD1266	4	Resolve, Directing the Department of Health and Human Services, Office of Behavioral Health to Convene a Working Group to Propose a Plan for Expanding the Reach of Treatment Courts	H	2025-06-16	Acc Maj Otp As Amended Rep	1590940	83	63	1	passage	0.759
LD1270	4	An Act to Establish the Department of Energy Resources	H	2025-06-17	Acc Maj Otp As Amended Rep	1591487	77	69	1	passage	0.896
LD1270	4	An Act to Establish the Department of Energy Resources	S	2025-06-17	Accept Majority Ought To Pass As Amended Report	1591927	16	19	0	passage	0.842
LD1270	4	An Act to Establish the Department of Energy Resources	S	2025-06-18	Accept Majority Ought To Pass As Amended Report	1592074	19	15	1	passage	0.789
LD1277	4	An Act Regarding Controlled Substances Prescription Monitoring Activities	H	2025-06-09	Acc Maj Otp As Amended Rep	1586470	79	66	1	passage	0.835
LD1277	4	An Act Regarding Controlled Substances Prescription Monitoring Activities	S	2025-06-09	Accept Majority Ought To Pass As Amended Report	1587079	21	13	1	passage	0.619
