bill	chamber	date	roll	yea	nay	passed	matched	desc	title	status_date	disposition
HB11	senate	2025-04-29	1561468	25	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Social Services	2025-06-30	dropped:appropriations-no-honest-area
HB12	house	2025-04-03	1536978	95	48	1	80	House: HABs FOR THIRD READING HCS HB 12	Appropriates money for the expenses, grants, refunds, and distributions of statewide elected officials, the Judiciary, the Office of the State Public Defender, and the General Assembly	2025-06-30	dropped:appropriations-no-honest-area
HB12	senate	2025-04-29	1561591	27	7	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of statewide elected officials, the Judiciary, the Office of the State Public Defender, and the General Assembly	2025-06-30	dropped:appropriations-no-honest-area
HB12	house	2025-05-09	1569082	84	55	1	78	House: BILLS IN CONFERENCE CCS SS SCS HCS HB 12	Appropriates money for the expenses, grants, refunds, and distributions of statewide elected officials, the Judiciary, the Office of the State Public Defender, and the General Assembly	2025-06-30	dropped:appropriations-no-honest-area
HB13	senate	2025-04-29	1561461	27	7	1	3	Senate: Third Reading	Appropriates money for real property leases and related services	2025-06-30	dropped:appropriations-no-honest-area
HB14	senate	2025-03-12	1516600	26	8	1	3	Senate: Third Reading	Appropriates money for supplemental purposes	2025-03-18	dropped:appropriations-no-honest-area
HB145	house	2025-05-12	1569571	120	37	1	88	House: HBs WITH SENATE AMENDMENTS SS SCS HCS HBS 145 & 59, A.A.	Modifies provisions of the sunshine law	2025-07-14	not-a-measure-vote:previous-question
HB145	house	2025-05-12	1569572	107	50	1	88	House: HBs WITH SENATE AMENDMENTS SS SCS HCS HBS 145 & 59, A.A.	Modifies provisions of the sunshine law	2025-07-14	judged:batch-01
HB17	senate	2025-04-29	1561580	27	7	1	3	Senate: Third Reading	Appropriates money for capital improvement	2025-06-30	dropped:appropriations-no-honest-area
HB18	senate	2025-05-09	1569006	27	7	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the several departments and offices of state government	2025-06-30	dropped:appropriations-no-honest-area
HB199	senate	2025-05-13	1570847	25	7	1	3	Senate: Third Reading	Modifies provisions relating to political subdivisions	2025-07-10	dropped:only-divided-house-roll-is-previous-question
HB199	house	2025-05-15	1571883	107	41	1	84	House: HBs WITH SENATE AMENDMENTS SS#2 SCS HB 199, A.A.	Modifies provisions relating to political subdivisions	2025-07-10	not-a-measure-vote:previous-question
HB2	house	2025-04-03	1535651	95	34	1	69	House: HABs FOR THIRD READING HCS HB 2	Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and Department of Elementary and Secondary Education	2025-06-30	dropped:appropriations-no-honest-area
HB2	senate	2025-04-29	1561494	26	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the State Board of Education and Department of Elementary and Secondary Education	2025-06-30	dropped:appropriations-no-honest-area
HB20	senate	2025-05-09	1569132	26	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the several departments and offices of state government	2025-06-30	dropped:appropriations-no-honest-area
HB20	senate	2025-05-09	1578607	26	8	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the several departments and offices of state government	2025-06-30	dropped:appropriations-no-honest-area
HB225	house	2025-03-06	1507169	96	29	1	67	House: HBs FOR THIRD READING HB 225	Allows the chief law enforcement executive in any jurisdiction to request assistance from another jurisdiction, including a jurisdiction outside the state of Missouri	2025-07-14	dropped:filter5-omnibus-no-single-direction
HB225	house	2025-05-08	1568805	92	45	1	78	House: HBs WITH SENATE AMENDMENTS SS SCS HB 225, A.A., E.C.	Allows the chief law enforcement executive in any jurisdiction to request assistance from another jurisdiction, including a jurisdiction outside the state of Missouri	2025-07-14	dropped:filter5-omnibus-no-single-direction
HB225	house	2025-05-08	1568806	89	32	1	64	House: HBs WITH SENATE AMENDMENTS SS SCS HB 225, A.A., E.C.	Allows the chief law enforcement executive in any jurisdiction to request assistance from another jurisdiction, including a jurisdiction outside the state of Missouri	2025-07-14	dropped:filter5-omnibus-no-single-direction
HB225	house	2025-05-08	1568807	88	26	1	60	House: HBs WITH SENATE AMENDMENTS SS SCS HB 225, A.A., E.C.	Allows the chief law enforcement executive in any jurisdiction to request assistance from another jurisdiction, including a jurisdiction outside the state of Missouri	2025-07-14	dropped:filter5-omnibus-no-single-direction
HB225	house	2025-05-08	1568808	88	34	1	63	House: HBs WITH SENATE AMENDMENTS SS SCS HB 225, A.A., E.C.	Allows the chief law enforcement executive in any jurisdiction to request assistance from another jurisdiction, including a jurisdiction outside the state of Missouri	2025-07-14	not-a-measure-vote:emergency-clause
HB3	senate	2025-04-29	1561601	25	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578630	25	8	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578631	24	8	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578632	26	7	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578633	24	6	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578635	20	13	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578639	27	7	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578640	25	7	1	3	Senate: Conference Committee Report Adoption	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578641	19	14	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578642	26	7	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578643	24	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578644	26	7	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578645	24	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB3	senate	2025-05-09	1578648	25	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Higher Education and Workforce Development	2025-06-30	dropped:appropriations-no-honest-area
HB4	senate	2025-04-29	1561495	26	8	1	3	Senate: Third Reading	Appropriates money for the expenses, grants, refunds, and distributions of the Department of Revenue and Department of Transportation	2025-06-30	dropped:appropriations-no-honest-area
HB495	house	2025-02-20	1495288	108	49	1	86	House: HBs FOR THIRD READING HCS#2 HB 495	Modifies provisions relating to public safety	2025-03-26	dropped:filter5-two-directions-inside-public-safety (see batch-01/PLAN.md)
HB495	house	2025-02-20	1495289	106	47	1	84	House: HBs FOR THIRD READING HCS#2 HB 495	Modifies provisions relating to public safety	2025-03-26	dropped:filter5-two-directions-inside-public-safety (see batch-01/PLAN.md)
