bill	status	chamber	roll	stored_roll	date	tally	passed	in_db	kept	last_in_chamber	vote_no	desc	subjects	title	disposition	reason
HB1086	engrossed	house	1507145	1507145	2025-03-06	118-34	1	yes	t	yes		House: HBs FOR THIRD READING HB 1086		Modifies provisions relating to the classification of certain residential real property us	dropped:filter-3/5	no research area fits, or the measure is a tax, licensing or local-government omnibus with no single defensible direction
HB1116	engrossed	house	1527329	1527329	2025-03-26	86-47	1	yes	t	no		House: HBs 3rd READING - CONSENT HCS HB 1116		Allows real property owners building a fence to enter an adjoining property up to ten feet	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB1116	engrossed	house	1527330	1527330	2025-03-26	91-31	1	yes	t	yes		House: HBs 3rd READING - CONSENT HCS HB 1116		Allows real property owners building a fence to enter an adjoining property up to ten feet	dropped:filter-3/5	no research area fits, or the measure is a tax, licensing or local-government omnibus with no single defensible direction
HB1175	engrossed	house	1527186	1527186	2025-03-25	98-48	1	yes	f	no		House: HBs FOR PERFECTION HCS HB 1175, A.A.		Reestablishes the Second Amendment Preservation Act	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB1175	engrossed	house	1527187	1527187	2025-03-25	101-49	1	yes	f	no		House: HBs FOR PERFECTION *HCS HB 1175, A.A.		Reestablishes the Second Amendment Preservation Act	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB1175	engrossed	house	1528971	1528971	2025-03-27	102-48	1	yes	t	no		House: HBs FOR THIRD READING HCS HB 1175, A.A.		Reestablishes the Second Amendment Preservation Act	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB1175	engrossed	house	1528972	1528972	2025-03-27	100-51	1	yes	t	yes		House: HBs FOR THIRD READING HCS HB 1175, A.A.		Reestablishes the Second Amendment Preservation Act	batch-04	imported
HB119	introduced	house	1541209	1541209	2025-04-08	95-42	1	yes	f	no		House: HBs PERFECTION - INFORMAL HCS HB 119, A.A.		Modifies provisions relating to tax levies by political subdivisions	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB126	engrossed	house	1548018	1548018	2025-04-14	85-64	1	yes	t	yes		House: HBs 3rd READ - INFORMAL HCS HBs 126 & 367		Modifies provisions relating to elections	batch-04	imported
HB1264	engrossed	house	1554351	1554351	2025-04-22	96-37	1	yes	t	yes		House: HBs FOR THIRD READING HCS HB 1264		Creates provisions relating to approval by political subdivisions of certain requests for 	batch-04	imported
HB1316	introduced	house	1556300	1556300	2025-04-23	84-45	1	yes	f	no		House: HBs PERFECTION - INFORMAL HCS HB 1316		Prohibits political subdivisions from requiring registration of residential property used 	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB1363	engrossed	house	1535535	1535535	2025-04-02	99-46	1	yes	f	no		House: HBs FOR PERFECTION HCS HBS 1363, 1062 & 1254		Prohibits a political subdivision from adopting policies for property transferred by polit	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB1363	engrossed	house	1539306	1539306	2025-04-07	107-40	1	yes	t	yes		House: HBs FOR THIRD READING HCS HBs 1363, 1062 & 1254		Prohibits a political subdivision from adopting policies for property transferred by polit	dropped:filter-3/5	no research area fits, or the measure is a tax, licensing or local-government omnibus with no single defensible direction
HB1524	engrossed	house	1543400	1543400	2025-04-10	121-32	1	yes	t	yes		House: HBs FOR THIRD READING HCS HBs 1524 & 1580		Enacts provisions authorizing an entertainment district	dropped:filter-3/5	no research area fits, or the measure is a tax, licensing or local-government omnibus with no single defensible direction
HB19	engrossed	senate	1569075	1569075	2025-05-09	27-7	1	yes	t	yes		Senate: Third Reading		Appropriates money for the expenses, grants, refunds, and distributions of the several dep	dropped:filter-3/5	no research area fits, or the measure is a tax, licensing or local-government omnibus with no single defensible direction
HB195	engrossed	house	1525511	1525511	2025-03-24	107-42	1	yes	f	no		House: HBs FOR PERFECTION *HCS HBS 195 & 1119, A.A.		"Creates the ""Born-Alive Abortion Survivors Protection Act"""	screened:not-last-in-chamber	an earlier divided roll on the same measure in the same chamber; the decisive roll carries the measure
HB195	engrossed	house	1529743	1529743	2025-03-27	109-32	1	yes	t	yes		House: HBs FOR THIRD READING HCS HBs 195 & 1119		"Creates the ""Born-Alive Abortion Survivors Protection Act"""	batch-04	imported
