measure	bill_type	chamber	vote_date	roll	yea	nay	disposition	title
HB 10	B	senate	2025-04-23	1555651	39	11	dropped:filter-5	Long-range information technology appropriations
HB 102	B	house	2025-01-24	1481443	60	38	dropped:filter-5	Revise laws related to public defenders for clarity
HB 105	B	senate	2025-03-18	1519799	34	15	dropped:filter-5	Revise laws related to game bird farms
HB 107	B	senate	2025-03-19	1521731	32	18	dropped:filter-5	Revising licensing requirements for commercial activities regulated by FWP
HB 115	B	house	2025-01-22	1481488	76	24	dropped:filter-5	Revise Montana code annotated publishing laws related to code commissioner duties
HB 12	B	house	2025-03-19	1521291	70	28	superseded:later-roll-used	Montana historic preservation grants
HB 12	B	house	2025-04-29	1559919	70	29	dropped:filter-5	Montana historic preservation grants
HB 12	B	senate	2025-04-24	1557215	39	10	dropped:filter-5	Montana historic preservation grants
HB 121	B	house	2025-01-16	1481625	58	41	batch-01	Provide privacy in certain restrooms, changing rooms, and sleeping quarters
HB 121	B	senate	2025-02-11	1486495	32	18	batch-01	Provide privacy in certain restrooms, changing rooms, and sleeping quarters
HB 122	B	house	2025-01-29	1481638	76	24	dropped:filter-5	Revise right-of-way laws
HB 122	B	senate	2025-04-08	1540610	31	17	dropped:filter-5	Revise right-of-way laws
HB 123	B	senate	2025-04-09	1542212	26	22	dropped:filter-5	Revise alcohol laws relating to self-service
HB 127	B	senate	2025-04-02	1534382	36	14	dropped:filter-5	Revise laws related to the fire suppression account
HB 128	B	senate	2025-04-01	1532853	35	15	batch-16	Protect volunteer emergency service providers from termination
HB 129	B	senate	2025-04-24	1557141	32	18	batch-16	Provide income tax benefit to support emergency response volunteers
HB 13	B	house	2025-01-27	1481194	71	27	dropped:filter-5	State Employee Pay Plan
HB 13	B	senate	2025-03-20	1523179	38	12	dropped:filter-5	State Employee Pay Plan
HB 141	B	senate	2025-04-09	1542103	34	15	unbatched	Revise laws relating to raffles conducted by certain nonprofit entities to allow credit cards
HB 142	B	house	2025-01-27	1481685	54	44	unbatched	Revise laws relating to interim committees
HB 142	B	senate	2025-03-28	1530074	32	16	unbatched	Revise laws relating to interim committees
HB 144	B	senate	2025-03-20	1522978	31	19	dropped:filter-5	Revise building code council membership laws
HB 146	B	senate	2025-03-24	1525221	40	10	unbatched	Revise hunting license fees to include cranes and swans
HB 147	B	senate	2025-04-16	1549880	34	16	unbatched	Revise laws related to covenants to provide definition of enforcement action
HB 15	B	house	2025-01-27	1481075	78	20	held:legiscan-vote-defect	Implement K-12 Inflation
HB 15	B	senate	2025-03-21	1524072	33	17	batch-10	Implement K-12 Inflation
HB 157	B	senate	2025-03-24	1525010	40	10	unbatched	Revise alcohol laws related to responsible server and sales training
HB 159	B	senate	2025-03-20	1523736	37	13	unbatched	Revise rural improvement district laws to include maintenance of existing public improvements
HB 162	B	house	2025-01-31	1481782	79	20	superseded:later-roll-used	Revise definition of infrastructure for resort tax
HB 162	B	senate	2025-04-04	1537137	35	14	unbatched	Revise definition of infrastructure for resort tax
HB 165	B	senate	2025-03-26	1527866	37	13	unbatched	Notaries not required for vehicle title transfer
HB 167	B	senate	2025-03-17	1518996	31	18	dropped:filter-5	Generally revise election laws
HB 168	B	house	2025-04-05	1537640	64	34	batch-09	Provide state funding for preschool children with disabilities
HB 168	B	senate	2025-04-22	1554305	29	21	batch-09	Provide state funding for preschool children with disabilities
HB 171	B	senate	2025-04-07	1538324	35	14	unbatched	Eliminate Montana alfalfa seed committee
HB 173	B	house	2025-01-29	1481810	59	41	dropped:filter-5	Revise definition of victim in youth court act
HB 173	B	senate	2025-03-27	1529200	32	18	dropped:filter-5	Revise definition of victim in youth court act
HB 179	B	house	2025-02-04	1481813	58	42	batch-07	Revise election laws related to inactive voter status
HB 181	B	house	2025-01-23	1481839	80	20	unbatched	Provide authority for patrol officers to make arrests on capitol complex
HB 184	B	house	2025-01-30	1481846	78	22	unbatched	Modify language in the MCA that may diminish the dignity of individuals who are deaf or hard of hearing
HB 194	B	house	2025-02-03	1481877	71	28	dropped:filter-5	Generally revise laws related to juries
HB 197	B	house	2025-01-30	1481902	58	42	superseded:later-roll-used	Revising workers’ compensation laws relating to when the employee is released to return to work
HB 197	B	house	2025-03-20	1523909	59	39	batch-11	Revising workers’ compensation laws relating to when the employee is released to return to work
HB 197	B	senate	2025-03-17	1518988	35	14	batch-11	Revising workers’ compensation laws relating to when the employee is released to return to work
HB 2	B	house	2025-04-07	1538411	61	38	superseded:later-roll-used	General Appropriations Act
HB 2	B	house	2025-04-30	1562041	66	34	dropped:filter-5	General Appropriations Act
HB 2	B	senate	2025-04-23	1555295	27	23	dropped:filter-5	General Appropriations Act
HB 20	B	house	2025-01-23	1481040	63	37	superseded:later-roll-used	Require voted levies to be in dollars rather than mills
HB 20	B	house	2025-03-25	1526179	57	42	batch-06	Require voted levies to be in dollars rather than mills
HB 20	B	senate	2025-02-27	1501599	34	16	batch-06	Require voted levies to be in dollars rather than mills
HB 201	B	house	2025-02-04	1481928	59	41	superseded:later-roll-used	Require disclosure of paid signature gatherers for initiatives
HB 201	B	house	2025-04-01	1532267	57	42	batch-05	Require disclosure of paid signature gatherers for initiatives
HB 201	B	senate	2025-03-17	1519004	39	10	superseded:later-roll-used	Require disclosure of paid signature gatherers for initiatives
HB 201	B	senate	2025-04-04	1537129	27	22	batch-05	Require disclosure of paid signature gatherers for initiatives
HB 206	B	house	2025-01-31	1481938	59	40	superseded:later-roll-used	Revise electrical contractors presentation of license laws
HB 206	B	house	2025-04-11	1546484	62	37	unbatched	Revise electrical contractors presentation of license laws
HB 206	B	senate	2025-03-31	1531411	32	18	unbatched	Revise electrical contractors presentation of license laws
