measure	roll	vote_date	stage	kind	legiscan_tally	official_tally	official_motion	is_last_floor_roll	imported	members
HB15	1481075	2025-01-27	(H) 3rd Reading Passed	vote flipped	78-20	77-21	Do Pass	yes	no	Randyn Gregg: legiscan Yea, official NO
HB2	1538411	2025-04-07	(H) 3rd Reading Passed	vote flipped	61-38	58-41	Do Pass	no	no	Mary Caferro: legiscan Yea, official NO; Katie Zolnikov: legiscan Yea, official NO; Sherry Essmann: legiscan Yea, official NO
HB284	1551835	2025-04-17	(H) 3rd Reading Passed as Amended by Senate	vote flipped	58-41	59-40	Do Concur	yes	no	Melody Cunningham: legiscan Nay, official YES
HB352	1547352	2025-04-14	(H) 2nd Reading Senate Amendments Concurred	vote flipped	94-6	95-5	Do Concur	no	no	Tom Millett: legiscan Nay, official YES
HB4	1559143	2025-04-28	(H) 2nd Reading Senate Amendments Concurred	vote flipped	86-14	87-13	Do Concur	no	no	Ed Byrne: legiscan Nay, official YES
HB430	1496902	2025-02-21	(H) 2nd Reading Passed	vote flipped	80-20	81-19	Do Pass	no	no	Katie Sullivan: legiscan Nay, official YES
HB492	1503251	2025-03-03	(H) 3rd Reading Passed	vote flipped	58-40	57-41	Do Pass	no	no	Brian Close: legiscan Yea, official NO
HB636	1508554	2025-03-07	(H) 3rd Reading Passed	vote flipped	84-15	85-14	Do Pass	yes	no	Melody Cunningham: legiscan Nay, official YES
HB667	1550002	2025-04-16	(H) 2nd Reading Senate Amendments Concurred	vote flipped	99-1	100-0	Do Concur	no	no	Sidney Fitzpatrick: legiscan Nay, official YES
HB76	1558903	2025-04-28	(H) 3rd Reading Governor's Proposed Amendments Adopted	vote flipped	69-31	68-32	Do Concur	yes	no	Jodee Etchart: legiscan Yea, official NO
HB888	1558107	2025-04-25	(H) 3rd Reading Passed as Amended by Senate	vote flipped	59-41	58-42	Do Concur	yes	no	Brian Close: legiscan Yea, official NO
HB913	1536915	2025-04-03	(H) 2nd Reading Passed as Amended	vote flipped	98-2	97-3	Do Pass As Amended	no	no	Lukas Schubert: legiscan Yea, official NO
SB154	1540327	2025-04-08	(H) 2nd Reading Concurred as Amended	vote flipped	57-41	58-40	Do Pass As Amended	no	no	Zack Wirth: legiscan Nay, official YES
SB194	1482095	2025-02-03	(S) 2nd Reading Passed	vote flipped	45-5	46-4	Do Pass	no	no	Sue Vinton: legiscan Nay, official YES
SB218	1542137	2025-04-09	(H) 2nd Reading Motion to Amend Carried	vote flipped; excused member shown as a vote	57-43	56-43	AMD-SB0218.002.001 Howell DO PASS	no	no	Braxton Mitchell: legiscan Yea, official NO; Nelly Nicol: legiscan Nay, official ABSENT
SB218	1559215	2025-04-28	(H) 2nd Reading Governor's Proposed Amendments Not Adopted	vote flipped	46-54	47-53	Do Concur	no	no	Curtis Cochran: legiscan Nay, official YES
SB243	1546282	2025-04-11	(H) 3rd Reading Concurred	vote flipped	77-22	76-23	Do Concur	yes	no	Scott Rosenzweig: legiscan Yea, official NO
SB342	1546349	2025-04-11	(H) 3rd Reading Concurred	vote flipped	58-41	57-42	Do Concur	yes	no	SJ Howell: legiscan Yea, official NO
SB428	1544219	2025-04-10	(H) 2nd Reading Concurred	vote flipped	79-21	78-22	Do Concur	no	no	Ed Byrne: legiscan Yea, official NO
SB542	1556679	2025-04-24	(H) 3rd Reading Concurred	vote flipped	73-26	72-27	Do Concur	yes	no	Amy Regier: legiscan Yea, official NO
HB171	1537653	2025-04-05	(S) 2nd Reading Concurred	excused member shown as a vote	32-16	32-15	Do Concur	no	no	Vince Ricci: legiscan Nay, official ABSENT
HB231	1551940	2025-04-17	(S) 2nd Reading Indefinitely Postponed	excused member shown as a vote	26-24	26-21	Indefinitely Postpone -McGillvray	no	no	Dennis Lenz: legiscan Nay, official ABSENT; Denley Loge: legiscan Nay, official ABSENT; Jason Ellsworth: legiscan Nay, official ABSENT
HB266	1490402	2025-02-14	(H) 2nd Reading Passed	excused member shown as a vote	77-23	77-22	Do Pass	no	no	Jade Sooktis: legiscan Nay, official ABSENT
HB338	1490631	2025-02-14	(H) 2nd Reading Passed	excused member shown as a vote	99-1	99-0	Do Pass	no	no	Jade Sooktis: legiscan Nay, official ABSENT
HB372	1552176	2025-04-17	(S) 2nd Reading Indefinitely Postponed	excused member shown as a vote	30-19	30-16	Indefinitely Postpone -McGillvray	no	no	John Esp: legiscan Nay, official ABSENT; Denley Loge: legiscan Nay, official ABSENT; Jason Ellsworth: legiscan Nay, official ABSENT
HB476	1546520	2025-04-12	(S) 2nd Reading Concurred	excused member shown as a vote	33-16	34-16	Do Concur	no	no	Vince Ricci: legiscan Absent, official YES
HB523	1546743	2025-04-12	(S) 2nd Reading Concurred	excused member shown as a vote	45-4	46-4	Do Concur	no	no	Barry Usher: legiscan Absent, official YES
HB752	1506163	2025-03-05	(H) 2nd Reading Passed	excused member shown as a vote	51-47	51-46	Do Pass	no	no	Thedis Crowe: legiscan Nay, official ABSENT
