bill	chamber	roll	vote_date	tally	disposition	reason	title
HB1012	house	1564400	2025-05-01	61-26	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	Leases of department of health and human services property, substance use disorder treatment program, basic care payment rates, state of residence for
HB1013	house	1569640	2025-05-02	60-28	candidate:batch-02	Passed the pool filters; not yet read.	The salary of the superintendent of public instruction and administrative cost-sharing; to provide for a transfer; to provide a report; to provide an
HB1018	house	1561422	2025-04-29	64-27	candidate:batch-02	Passed the pool filters; not yet read.	Jurisdiction of the heritage center; to authorize a Bank of North Dakota line of credit; and to declare an emergency.
HB1019	senate	1564138	2025-05-01	34-12	candidate:batch-02	Passed the pool filters; not yet read.	The creation and naming of state parks; to provide for a transfer; to provide for a report; and to provide an exemption.
HB1023	house	1491663	2025-02-17	69-20	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the public employees retirement system.
HB1047	senate	1509537	2025-03-10	32-13	candidate:batch-02	Passed the pool filters; not yet read.	Juror counseling.
HB1058	house	1538745	2025-04-07	66-24	candidate:batch-02	Passed the pool filters; not yet read.	The department of environmental quality and tank registration fees; and to provide a penalty.
HB1073	house	1471570	2025-01-14	73-20	candidate:batch-02	Passed the pool filters; not yet read.	Disaster or emergency response and recovery costs, authority to spend funds from the state disaster relief fund, and uses of the state disaster relief
HB1114	house	1495612	2025-02-20	59-27	batch-01	imported	Health insurance benefits coverage of insulin drugs and supplies.
HB1143	senate	1558348	2025-04-25	36-9	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation to the agriculture commissioner for a food distribution facility grant program.
HB1154	house	1472247	2025-01-17	69-20	candidate:batch-02	Passed the pool filters; not yet read.	The moratorium on basic care and nursing facility bed capacity.
HB1170	house	1535264	2025-04-02	61-29	candidate:batch-02	Passed the pool filters; not yet read.	State employee annual leave; and to provide an effective date.
HB1170	senate	1520635	2025-03-18	36-10	candidate:batch-02	Passed the pool filters; not yet read.	State employee annual leave; and to provide an effective date.
HB1178	senate	1508874	2025-03-07	24-23	batch-01	imported	School districts allowing students to leave campus to vote in elections.
HB1203	house	1549462	2025-04-15	70-21	candidate:batch-02	Passed the pool filters; not yet read.	Definitions of medical marijuana products.
HB1216	house	1557622	2025-04-24	56-37	batch-01	imported	Self-insurance health care plans; to provide for application; and to provide an effective date.
HB1216	senate	1553035	2025-04-21	29-18	batch-01	imported	Self-insurance health care plans; to provide for application; and to provide an effective date.
HB1217	house	1493948	2025-02-19	50-43	batch-01	imported	Willfully transferring body fluid containing the human immunodeficiency virus.
HB1217	senate	1517749	2025-03-13	34-13	batch-01	imported	Willfully transferring body fluid containing the human immunodeficiency virus.
HB1225	house	1553173	2025-04-21	72-21	candidate:batch-02	Passed the pool filters; not yet read.	Reckless endangerment and habitual offenders; and to provide a penalty.
HB1225	senate	1543018	2025-04-09	26-20	candidate:batch-02	Passed the pool filters; not yet read.	Reckless endangerment and habitual offenders; and to provide a penalty.
HB1226	house	1551541	2025-04-17	57-32	dropped:filter-5	Adds a crime of wearing a mask to hide identity while congregating in public with other masked people. The direction is contested rather than the worth: it reads as public safety to supporters and as a limit on anonymous assembly, and on people masking for health reasons, to opponents. No area carries an honest direction.	Wearing a mask in a public place.
HB1258	senate	1537268	2025-04-04	27-18	candidate:batch-02	Passed the pool filters; not yet read.	Energy conversion and transmission facility siting; and to provide for retroactive application.
HB1274	house	1539193	2025-04-07	71-19	candidate:batch-02	Passed the pool filters; not yet read.	Membership of the public employees retirement system public safety retirement plan.
HB1279	house	1569605	2025-05-02	68-21	candidate:batch-02	Passed the pool filters; not yet read.	The exemption from the coal conversion facilities tax and the imposition of a lignite research tax; to provide an effective date; to provide a conting
HB1298	senate	1569385	2025-05-02	27-20	candidate:batch-02	Passed the pool filters; not yet read.	The amount of statutory fees, speed limitations on multilane highways, variable speed limits, alteration of maximum speed limits on state highways, sp
HB1318	house	1550256	2025-04-16	51-40	batch-01	imported	Pesticide labeling.
HB1318	senate	1547673	2025-04-14	29-18	batch-01	imported	Pesticide labeling.
HB1327	senate	1514631	2025-03-11	35-12	candidate:batch-02	Passed the pool filters; not yet read.	Special plates for amateur radio station licenseholders.
HB1334	senate	1508951	2025-03-07	24-22	candidate:batch-02	Passed the pool filters; not yet read.	Designating rhubarb as the official state vegetable.
HB1341	house	1538432	2025-04-07	68-21	candidate:batch-02	Passed the pool filters; not yet read.	Simple assault; and to provide a penalty.
HB1369	house	1569412	2025-05-02	61-27	candidate:batch-02	Passed the pool filters; not yet read.	The determination of state aid, boarding care costs, the coal development trust fund, the school construction assistance revolving loan fund, public i
HB1371	house	1492928	2025-02-18	57-32	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	AN ACT to provide for a legislative management study relating to providing uniform group insurance program health insurance benefits coverage for reti
HB1417	house	1555565	2025-04-23	73-20	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	Parole and probation violations and court fees; to provide for a legislative management study; and to provide a penalty.
HB1419	house	1539202	2025-04-07	68-22	candidate:batch-02	Passed the pool filters; not yet read.	The public employees retirement system public safety retirement plan.
HB1425	house	1553015	2025-04-21	65-28	dropped:study-only	Directs a legislative management study; the measure itself changes no law.	Prosecution-led diversion programs, deflection process, and supervision for presentence programs; to provide for a legislative management study; to pr
HB1437	senate	1528179	2025-03-26	28-19	dropped:filter-5	Requires post-tenure review policies at public universities, with removal a possible outcome. Read as accountability it is public_education_quality for; read as a limit on academic freedom it is against, and both readings sit inside that same area. The counter-reading is not a side strand.	Academic tenure policy at institutions of higher education.
HB1444	senate	1525282	2025-03-24	29-15	candidate:batch-02	Passed the pool filters; not yet read.	The county road system.
HB1454	senate	1559197	2025-04-28	30-17	dropped:filter-5	Bars a government body from requiring a vaccine without a health, religious or philosophical opt-out. Vaccine-adjacent, so escalated to the operator under the fluoride rule rather than decided here. Operator decision 2026-09-07: drop, because no area carries an honest direction and `general` is barred on roll-call records.	An opt-out procedure for required vaccines.
