bill	chamber	roll	vote_date	tally	scope	disposition	reason	title
HB1003	house	1560970	2025-04-29	67-23	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Compensation and mileage and travel expenses for witnesses, the salary of the attorney general, twenty-four seven sobriety program fees, and
HB1012	house	1564400	2025-05-01	61-26	A:enacted	dropped:study-only	Directs a study; the measure changes no law.	Leases of department of health and human services property, substance use disorder treatment program, basic care payment rates, state of res
HB1012	senate	1551697	2025-04-17	37-10	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	Leases of department of health and human services property, substance use disorder treatment program, basic care payment rates, state of res
HB1013	house	1569640	2025-05-02	60-28	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The salary of the superintendent of public instruction and administrative cost-sharing; to provide for a transfer; to provide a report; to p
HB1015	senate	1554225	2025-04-22	31-16	A:enacted-superseded-or-failed	screened:not-the-final-text	The measure became law, but this roll is not that chamber's vote on the text that became law. North Dakota records no conference or concurrence vote, so a bill amended after this roll has no later roll to use.	County achievement days; to provide for a transfer; to authorize a line of credit; to provide an exemption; to provide for a report; and to
HB1018	house	1561422	2025-04-29	64-27	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Jurisdiction of the heritage center; to authorize a Bank of North Dakota line of credit; and to declare an emergency.
HB1019	senate	1564138	2025-05-01	34-12	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The creation and naming of state parks; to provide for a transfer; to provide for a report; and to provide an exemption.
HB1023	house	1491663	2025-02-17	69-20	A:enacted	excluded:appropriation	Agency appropriation act, excluded by the standing campaign rule.	AN ACT to provide an appropriation for defraying the expenses of the public employees retirement system.
HB1028	house	1498483	2025-02-24	34-59	C:failed-vote	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	The selection process for construction management at-risk planning and design phase services and the procurement of architect, engineer, con
HB1047	senate	1509537	2025-03-10	32-13	A:enacted	screened:title-and-description	Screened on the bill's title and description and not selected for a batch. Not read in full, so this is a screening decision rather than a judgment on the merits.	Juror counseling.
