bill	roll	date	tally	disposition	reason	title
LB229	1509008	2025-03-10	33-15	candidate:batch-02	Not yet read.	Exclude marketplace network contractors working for marketplace network platforms from the Employment Security Law
LB241	1516824	2025-03-13	36-10	candidate:batch-02	Not yet read.	Provide immunity from liability for cybersecurity events
LB266	1535598	2025-04-03	37-10	batch-01	imported	Prohibit political subdivisions from enacting ordinances which have the effect of imposing rent controls on private property
LB113	1543896	2025-04-10	33-13	candidate:batch-02	Not yet read.	Change provisions relating to licensees under the Nebraska Liquor Control Act
LB390	1543880	2025-04-10	34-14	candidate:batch-02	Not yet read.	Require each school board to adopt a policy relating to access by a parent, guardian, or educational decisionmaker to certain school library information
LB9	1558108	2025-04-25	34-10	candidate:batch-02	Not yet read.	Change provisions relating to cigarette taxes and the Tobacco Products Tax Act and provide for regulation of products containing nicotine analogues
LB317	1563673	2025-05-01	34-12	candidate:batch-02	Not yet read.	Merge the Department of Natural Resources with the Department of Environment and Energy and change the name to the Department of Water, Energy, and Environment,
LB246	1571368	2025-05-14	38-11	candidate:batch-02	Not yet read.	Prohibit cultivated-protein food products under the Nebraska Pure Food Act and provide a deceptive trade practice
LB287	1571375	2025-05-14	34-15	not-enacted	The Governor returned it without approval, so it never became law. LegiScan still marks it enacted.	Provide for regulation of housing authorities by ordinance, change provisions relating to sanitary and improvement districts, and provide requirements relating
LB319	1571420	2025-05-14	32-17	not-enacted	The Governor returned it without approval, so it never became law. LegiScan still marks it enacted.	Change eligibility requirements for the Supplemental Nutrition Assistance Program
LB261	1572019	2025-05-15	37-11	excluded	Appropriations or a fund transfer, excluded by the campaign standing rule.	Appropriate funds for the expenses of Nebraska State Government for the biennium ending June 30, 2027, and appropriate Federal Funds allocated to the State of N
LB264	1571922	2025-05-15	35-13	excluded	Appropriations or a fund transfer, excluded by the campaign standing rule.	Provide, change, and eliminate transfers from the Cash Reserve Fund and various other funds and change, terminate, and eliminate various statutory programs
LB290	1580095	2025-05-28	31-18	candidate:batch-02	Not yet read.	Change provisions relating to grant funding for a business park under the Economic Recovery Act
LB415	1580464	2025-05-28	33-16	candidate:batch-02	Not yet read.	Change provisions of the Nebraska Healthy Families and Workplaces Act and the Conveyance Safety Act and provide for offset of debt owed due to the overpayment o
LB513	1581056	2025-05-28	38-11	candidate:batch-02	Not yet read.	Change judges' salaries
LB89	1580669	2025-05-28	33-16	batch-01	imported	Adopt the Stand With Women Act
LB530	1581521	2025-05-29	37-11	candidate:batch-02	Not yet read.	Change provisions relating to motor vehicle homicide, motor vehicle homicide of an unborn child, tampering with an electronic monitoring device, controlled subs
LB275	1582277	2025-05-30	29-19	candidate:batch-02	Not yet read.	Require the Department of Health and Human Services to screen state wards for social security benefit eligibility
LB275A	1582112	2025-05-30	27-21	excluded	Appropriations or a fund transfer, excluded by the campaign standing rule.	Appropriation Bill
LB48	1582059	2025-05-30	27-21	candidate:batch-02	Not yet read.	Establish a Family Resource and Juvenile Assessment Center Pilot Program
LB48A	1582140	2025-05-30	27-21	held	LegiScan captions it Passed; Nebraska says it failed on Final Reading with the emergency clause. Held in the config.	Appropriation Bill
LB608	1582054	2025-05-30	36-12	candidate:batch-02	Not yet read.	Change insurance provisions relating to firefighters and include correctional officers, youth detention officers, certain disabled persons, and their children i
LB644	1582104	2025-05-30	37-11	candidate:batch-02	Not yet read.	Adopt the Foreign Adversary and Terrorist Agent Registration Act and the Crush Transnational Repression in Nebraska Act, provide requirements under the Nebraska
LB647	1582041	2025-05-30	35-13	candidate:batch-02	Not yet read.	Adopt the Recreational Trail Easement Property Tax Exemption Act and the Adoption Tax Credit Act and change provisions relating to budget limitations, property
LB258	1624711	2026-02-05	33-16	batch-01	imported	Change provisions relating to the minimum wage under the Wage and Hour Act
LB203	1631503	2026-02-12	35-12	candidate:batch-02	Not yet read.	Change powers and duties of health directors in certain local public health departments and provide requirements relating to community-wide directed health meas
LB397	1639887	2026-02-20	35-13	candidate:batch-02	Not yet read.	Change and eliminate provisions relating to workplace safety committees and a workplace safety program and terminate a fund
