bill	chamber	roll	date	yea	nay	title	disposition	reason
HB124	house	1628713	2026-02-10	40	21	New Americans Division In Wsd	batch-01	imported
HB124	senate	1638039	2026-02-18	22	12	New Americans Division In Wsd	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB156	house	1627425	2026-02-09	51	14	Repeal Special Session Vaccination Laws	batch-01	imported
HB165	senate	1637755	2026-02-18	30	10	Payment Of Certain Irb Special Assessments	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB184	senate	1637975	2026-02-18	25	11	Investment Of Conservation & Legacy Funds	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB2	house	1623933	2026-02-04	55	15	General Appropriation Act Of 2026	excluded	the general appropriation act; no research area carries an honest direction on a vote to fund the government
HB2	senate	1635087	2026-02-16	23	16	General Appropriation Act Of 2026	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB200	house	1632501	2026-02-12	52	15	New Homes For New Mexico Program	batch-01	imported
HB200	senate	1639067	2026-02-19	22	13	New Homes For New Mexico Program	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB247	house	1627420	2026-02-09	48	20	Capital Outlay Changes	batch-01	imported
HB253	senate	1637817	2026-02-18	26	15	Public Education Changes	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB270	house	1633948	2026-02-14	41	25	Contributions To Apprentice & Training Pgms.	batch-01	imported
HB270	senate	1638046	2026-02-18	25	13	Contributions To Apprentice & Training Pgms.	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB332	house	1634863	2026-02-16	42	20	Capital Outlay Reauthorizations	excluded	reauthorizes 380 previously funded capital projects; appropriations housekeeping, same reason as House Bill 2
HB332	senate	1637971	2026-02-18	24	14	Capital Outlay Reauthorizations	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB4	house	1632642	2026-02-12	48	19	Health Care Affordability Fund Distributions	batch-01	imported
HB4	senate	1637878	2026-02-18	24	12	Health Care Affordability Fund Distributions	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
HB7	senate	1637968	2026-02-18	29	8	Apprenticeship Assistance Act Transfers	out_of_scope	New Mexico senators serve four-year terms and were elected in 2024, so no Senate seat is on the 2026 ballot and this roll fans out to nobody
