bill	type	chamber	roll	date	tally	rolls_this_chamber	later_roll	later_tally	amend_after_roll	title	disposition	reason
AB15	B	assembly	1548725	2025-04-15	31-11	1	none	none	2025-05-19 S (Amend. No. 690.)	Revises provisions relating to Medicaid fraud. (BDR 18-446)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB15	B	senate	1576921	2025-05-23	15-6	1	none	none	none	Revises provisions relating to Medicaid fraud. (BDR 18-446)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB19	B	assembly	1549009	2025-04-15	32-10	1	none	none	2025-05-19 S (Amend. No. 637.)	Revises provisions relating to the Statewide Substance Use Response Working Group. (BDR 40-442)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB19	B	senate	1575552	2025-05-21	16-5	1	none	none	none	Revises provisions relating to the Statewide Substance Use Response Working Group. (BDR 40-442)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB43	B	senate	1576871	2025-05-23	13-8	1	none	none	none	Revises provisions relating to public works. (BDR 28-465)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB89	B	assembly	1554449	2025-04-22	27-15	1	none	none	none	Imposes certain requirements relating to unclothed searches of children at certain juvenile justice facilities. (BDR 5-496)	batch-02	imported
AB90	B	assembly	1550181	2025-04-16	27-15	1	none	none	none	Revises provisions relating to juvenile justice. (BDR 5-497)	batch-01	selected
AB90	B	senate	1573426	2025-05-19	12-8	1	none	none	none	Revises provisions relating to juvenile justice. (BDR 5-497)	batch-01	selected
AB96	B	assembly	1550524	2025-04-16	29-13	1	none	none	2025-05-21 S (Amend. No. 601.)	Revises provisions relating to master plans. (BDR 22-397)	batch-02	imported
AB96	B	senate	1575990	2025-05-22	14-7	1	none	none	none	Revises provisions relating to master plans. (BDR 22-397)	batch-02	imported
AB121	B	assembly	1553680	2025-04-22	27-15	1	none	none	2025-05-22 S (Amend. No. 740.)	Revises provisions governing landlords and tenants. (BDR 10-166)	batch-01	selected
AB121	B	senate	1576883	2025-05-23	16-5	1	none	none	none	Revises provisions governing landlords and tenants. (BDR 10-166)	batch-01	selected
AB123	B	assembly	1581201	2025-05-29	27-15	1	none	none	none	Revises provisions relating to elections communications. (BDR 24-733)	batch-01	selected
AB123	B	senate	1582878	2025-05-31	13-8	2	none	none	none	Revises provisions relating to elections communications. (BDR 24-733)	superseded	the Senate reconsidered this 13-8 passage and passed the bill again 14-7 as roll 1582877 the same day
AB123	B	senate	1582877	2025-05-31	14-7	2	1582878	13-8	none	Revises provisions relating to elections communications. (BDR 24-733)	batch-01	selected
AB192	B	senate	1576928	2025-05-23	15-6	1	none	none	none	Makes various changes relating to real property. (BDR 10-971)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB194	B	assembly	1552615	2025-04-21	26-15	1	none	none	none	Prohibits the release of certain balloons that are lighter than air under certain circumstances. (BDR 15-338)	batch-02	imported
AB194	B	senate	1576919	2025-05-23	13-8	1	none	none	none	Prohibits the release of certain balloons that are lighter than air under certain circumstances. (BDR 15-338)	batch-02	imported
AB232	B	senate	1575442	2025-05-21	15-6	1	none	none	none	Makes changes to the computation of credit for service for certain members of the Public Employees' Retirement System. (BDR 23-402)	dropped	retirement service credit for school district employees; public employee compensation, and no research area covers it
AB235	B	assembly	1551264	2025-04-17	33-9	1	none	none	none	Revises provisions relating to health care providers. (BDR 20-844)	batch-01	selected
AB235	B	senate	1575676	2025-05-21	14-7	1	none	none	none	Revises provisions relating to health care providers. (BDR 20-844)	batch-01	selected
AB236	B	assembly	1550050	2025-04-16	32-10	1	none	none	none	Revises provisions governing the selection of members to certain state boards and councils performing duties related to education. (BDR 34-78)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB241	B	assembly	1551589	2025-04-17	28-14	1	none	none	2025-05-19 S (Amend. Nos. 687 and 688.)	Revises provisions relating to housing. (BDR 22-65)	batch-02	imported
AB241	B	senate	1576740	2025-05-22	15-6	1	none	none	none	Revises provisions relating to housing. (BDR 22-65)	batch-02	imported
AB249	B	assembly	1550266	2025-04-16	27-15	1	none	none	2025-05-26 S (Amend. No. 807.)	Revises provisions relating to fiscal notes. (BDR 17-932)	dropped	legislative fiscal-note process; no research area covers it
AB249	B	senate	1577087	2025-05-23	13-8	2	1578428	20-0	2025-05-26 S (Amend. No. 807.)	Revises provisions relating to fiscal notes. (BDR 17-932)	superseded	the Senate reconsidered this 13-8 passage and passed the bill 20-0 on 2025-05-26, which is not divided
AB250	B	assembly	1554770	2025-04-22	33-9	1	none	none	2025-05-19 S (Amend. No. 592.);2025-05-23 S (Amend. No. 734.)	Revises provisions relating to certain debt. (BDR 52-599)	dropped	a coerced-debt defense that helps debtors, plus a credit-instrument presentment presumption that helps creditors; the Assembly roll also predates both later amendments
AB262	B	assembly	1550152	2025-04-16	26-16	1	none	none	2025-05-23 S (Amend. No. 743.)	Revises provisions relating to elections. (BDR 24-362)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB262	B	senate	1576887	2025-05-23	13-8	1	none	none	none	Revises provisions relating to elections. (BDR 24-362)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB296	B	assembly	1582342	2025-05-30	29-13	1	none	none	none	Revises various provisions relating to motor vehicles. (BDR 43-231)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB296	B	senate	1583602	2025-06-02	13-8	1	none	none	none	Revises various provisions relating to motor vehicles. (BDR 43-231)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB343	B	assembly	1554429	2025-04-22	28-14	1	none	none	2025-05-22 S (Amend. No. 749.)	Makes revisions relating to health care. (BDR 40-988)	batch-01	selected
AB343	B	senate	1576960	2025-05-23	13-8	1	none	none	none	Makes revisions relating to health care. (BDR 40-988)	batch-01	selected
AB381	B	senate	1583622	2025-06-02	14-7	1	none	none	none	Revises provisions related to animals. (BDR 50-793)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB396	B	assembly	1555318	2025-04-22	27-15	1	none	none	2025-05-19 S (Amend. No. 697.)	Revises provisions relating to housing. (BDR 22-232)	dropped	filter 5: the accessory dwelling unit mandate and the homeowners association leasing sections point opposite ways inside housing_affordability
AB396	B	senate	1576889	2025-05-23	14-7	1	none	none	none	Revises provisions relating to housing. (BDR 22-232)	dropped	filter 5: the accessory dwelling unit mandate and the homeowners association leasing sections point opposite ways inside housing_affordability
AB420	B	senate	1575560	2025-05-21	15-6	1	none	none	none	Revises provisions relating to education. (BDR 34-538)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB451	B	senate	1576766	2025-05-22	15-6	2	1576767	16-5	none	Provides immunity from civil liability to certain persons returning a firearm under certain circumstances. (BDR 3-1057)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB451	B	senate	1576767	2025-05-22	16-5	2	none	none	none	Provides immunity from civil liability to certain persons returning a firearm under certain circumstances. (BDR 3-1057)	superseded	the Senate reconsidered this 16-5 passage and passed the bill again 15-6 as roll 1576766 the same day
AB457	B	assembly	1553912	2025-04-22	27-15	1	none	none	2025-05-21 S (Amend. No. 623.)	Requires the Joint Interim Standing Committee on Revenue to conduct a study concerning certain changes to provisions governing taxation. (BDR S-167)	dropped	requires an interim committee to study a tax treatment; a study, not a policy change
AB457	B	senate	1576747	2025-05-22	14-7	1	none	none	none	Requires the Joint Interim Standing Committee on Revenue to conduct a study concerning certain changes to provisions governing taxation. (BDR S-167)	dropped	requires an interim committee to study a tax treatment; a study, not a policy change
AB458	B	senate	1577999	2025-05-23	13-7	1	none	none	none	Revises provisions governing energy. (BDR 58-228)	dropped	four strands, and section 17 narrows who may join the expanded solar access program while enlarging community solar; opposite directions of comparable weight
AB460	B	senate	1583340	2025-06-02	16-4	1	none	none	none	Revises provisions relating to child welfare. (BDR 13-1060)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB461	B	assembly	1554387	2025-04-22	27-15	1	none	none	2025-05-21 S (Amend. No. 685.)	Revises provisions governing health care. (BDR 38-156)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB461	B	senate	1576664	2025-05-22	13-8	1	none	none	none	Revises provisions governing health care. (BDR 38-156)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB483	B	assembly	1580715	2025-05-28	29-13	1	none	none	none	Provides for priority review of certain applications for licensure to practice health professions. (BDR 40-354)	batch-01	selected
AB483	B	senate	1583907	2025-06-02	14-6	1	none	none	none	Provides for priority review of certain applications for licensure to practice health professions. (BDR 40-354)	batch-01	selected
AB494	B	assembly	1582883	2025-05-31	25-13	1	none	none	2025-06-02 S (Amend. No. 936.)	Revises provisions relating to education. (BDR 34-1136)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB494	B	senate	1583608	2025-06-02	15-5	1	none	none	none	Revises provisions relating to education. (BDR 34-1136)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB497	B	senate	1577080	2025-05-23	13-8	1	none	none	none	Revises provisions relating to campaign finance. (BDR 24-996)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB527	B	senate	1577969	2025-05-23	15-5	1	none	none	none	Authorizes the installation and use of school bus infraction detection systems on school buses. (BDR 43-421)	batch-02	imported
AB530	B	senate	1569454	2025-05-12	14-6	1	none	none	none	Revises provisions relating to the imposition by certain counties of additional taxes on fuels for motor vehicles. (BDR 32-783)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB540	B	senate	1583679	2025-06-02	15-6	1	none	none	none	Revises provisions relating to governmental administration. (BDR 25-1036)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AB545	B	senate	1582334	2025-05-30	16-5	1	none	none	none	Increases certain fees relating to emissions testing. (BDR 40-1150)	candidate:batch-03	survived triage; awaits a reading of the enacted act
AJR6	JR	assembly	1551717	2025-04-17	32-10	1	none	none	none	Urges Congress to extend the Social Security Fairness Act. (BDR R-32)	excluded	joint resolution: it never goes to the Governor and is not law, so no description may say it became law
AJR9	JR	assembly	1551216	2025-04-17	27-15	1	none	none	none	Urges Congress to enact legislation to prohibit officers and agents of the United States Immigration and Customs Enforcement in the United States Department of Homeland Security from entering schools and places of worship for the purposes of enforcing federal immigration laws. (BDR R-779)	excluded	joint resolution: it never goes to the Governor and is not law, so no description may say it became law
AJR9	JR	senate	1575929	2025-05-22	14-7	1	none	none	none	Urges Congress to enact legislation to prohibit officers and agents of the United States Immigration and Customs Enforcement in the United States Department of Homeland Security from entering schools and places of worship for the purposes of enforcing federal immigration laws. (BDR R-779)	excluded	joint resolution: it never goes to the Governor and is not law, so no description may say it became law
AJR11	JR	assembly	1549271	2025-04-15	27-15	1	none	none	none	Urges Congress to enact the Protecting the Right to Organize Act. (BDR R-1012)	excluded	joint resolution: it never goes to the Governor and is not law, so no description may say it became law
AJR11	JR	senate	1575949	2025-05-22	13-8	1	none	none	none	Urges Congress to enact the Protecting the Right to Organize Act. (BDR R-1012)	excluded	joint resolution: it never goes to the Governor and is not law, so no description may say it became law
AJR14	JR	assembly	1550906	2025-04-16	27-15	1	none	none	none	Condemns the January 6, 2021, attack on the U.S. Capitol and denounces the use of presidential pardons and commutations to absolve the rioters. (BDR R-991)	excluded	joint resolution: it never goes to the Governor and is not law, so no description may say it became law
SB39	B	senate	1576737	2025-05-22	13-8	1	none	none	none	Revises provisions relating to emergency management. (BDR 36-269)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB41	B	assembly	1575561	2025-05-21	27-15	1	none	none	none	Revises provisions relating to the taxation of cannabis establishments. (BDR 32-284)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB41	B	senate	1554405	2025-04-22	15-5	1	none	none	none	Revises provisions relating to the taxation of cannabis establishments. (BDR 32-284)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB76	B	senate	1578729	2025-05-26	13-7	1	none	none	none	Revises provisions relating to securities. (BDR 7-486)	batch-02	imported
SB88	B	senate	1575479	2025-05-21	14-7	1	none	none	2025-05-30 A (Amend. No. 878.)	Revises provisions relating to offenders. (BDR 16-491)	batch-02	imported
SB116	B	assembly	1576980	2025-05-23	32-9	1	none	none	none	Revises provisions relating to the compensation of elected county officers. (BDR 20-92)	dropped	annual compensation of elected county officers; no research area covers it
SB130	B	senate	1554705	2025-04-22	15-6	1	none	none	2025-05-20 A (Amend. No. 701.)	Provides for the issuance by the State Contractors' Board of a restricted license. (BDR 54-628)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB132	B	senate	1581478	2025-05-29	14-6	1	none	none	none	Makes an appropriation to the Nevada Clean Energy Fund for securing and implementing grants for qualified clean energy projects. (BDR S-593)	excluded	appropriation to the Nevada Clean Energy Fund
SB157	B	assembly	1586837	2025-05-28	31-11	1	none	none	none	Revises provisions relating to the testing of cannabis and cannabis products. (BDR 56-962)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB161	B	assembly	1576923	2025-05-23	33-9	1	none	none	none	Revises provisions relating to local government employees. (BDR 23-34)	dropped	collective bargaining procedure; a labor measure, and Nevada has no labor research area (the SB 443 precedent from batch-01)
SB161	B	senate	1573177	2025-05-19	14-6	1	none	none	none	Revises provisions relating to local government employees. (BDR 23-34)	dropped	collective bargaining procedure; a labor measure, and Nevada has no labor research area (the SB 443 precedent from batch-01)
SB166	B	assembly	1575985	2025-05-22	30-12	1	none	none	none	Revises provisions relating to housing. (BDR 57-713)	batch-01	selected
SB166	B	senate	1553772	2025-04-22	14-7	1	none	none	none	Revises provisions relating to housing. (BDR 57-713)	batch-01	selected
SB177	B	senate	1554407	2025-04-22	15-6	1	none	none	2025-05-22 A (Amend. No. 618.)	Revises provisions relating to education. (BDR 34-942)	dropped	loosens the front end by moving the extra findings to suspensions of MORE than five days, while deleting the presumption and adding a 10-day review, and creates a 45-day placement extendable with no outer limit
SB183	B	assembly	1576066	2025-05-22	33-9	1	none	none	none	Revises provisions relating to caseworkers of agencies which provide child welfare services. (BDR 38-710)	batch-02	imported
SB188	B	senate	1553044	2025-04-21	13-8	1	none	none	2025-05-19 A (Amend. No. 560.)	Establishes procedures to assist certain persons with limited English proficiency in accessing health care in certain circumstances. (BDR 40-41)	batch-02	imported
SB191	B	senate	1554874	2025-04-22	15-6	1	none	none	2025-05-22 A (Amend. No. 705.)	Revises provisions relating to court reporters and court reporting firms. (BDR 54-14)	dropped	court reporter fees and municipal court designees; no research area
SB196	B	assembly	1577970	2025-05-23	33-9	1	none	none	none	Authorizes a heavy equipment rental company to charge a recovery fee to offset taxes levied on certain heavy equipment. (BDR 32-19)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB246	B	assembly	1576114	2025-05-22	27-15	1	none	none	none	Revises provisions relating to health insurance coverage for gynecological or obstetrical services. (BDR 57-205)	batch-01	selected
SB260	B	assembly	1584185	2025-06-02	32-10	1	none	none	none	Revises provisions relating to air quality. (BDR 53-961)	batch-01	selected
SB260	B	senate	1582302	2025-05-30	15-6	1	none	none	none	Revises provisions relating to air quality. (BDR 53-961)	batch-01	selected
SB277	B	senate	1578501	2025-05-26	15-5	1	none	none	none	Revises provisions relating to education. (BDR 34-786)	dropped	three strands and opposite directions inside public_education_quality: a social worker staffing duty limited to Clark County and to available money, alongside immunity for districts from harassment suits
SB284	B	senate	1554298	2025-04-22	14-7	1	none	none	none	Revises provisions relating to child welfare. (BDR 38-747)	batch-02	imported
SB285	B	assembly	1576007	2025-05-22	28-14	1	none	none	none	Revises provisions relating to apprenticeships. (BDR 53-91)	dropped	apprenticeship registration for construction trades; a labor measure, no research area
SB285	B	senate	1554541	2025-04-22	16-5	1	none	none	none	Revises provisions relating to apprenticeships. (BDR 53-91)	dropped	apprenticeship registration for construction trades; a labor measure, no research area
SB293	B	senate	1548801	2025-04-15	15-6	1	none	none	2025-05-20 A (Amend. No. 613.)	Revises provisions relating to intercollegiate athletics. (BDR 34-1088)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB298	B	assembly	1577015	2025-05-23	28-14	1	none	none	none	Revises provisions relating to peace officers. (BDR 23-1031)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB298	B	senate	1550603	2025-04-16	14-7	1	none	none	2025-05-22 A (Amend. No. 733.)	Revises provisions relating to peace officers. (BDR 23-1031)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB319	B	senate	1554924	2025-04-22	16-5	1	none	none	2025-05-16 A (Amend. No. 586.)	Requires the Washoe County Board of County Commissioners, Reno City Council and Sparks City Council to establish a board to study the creation of a county fire protection district within certain territory. (BDR S-1018)	dropped	requires three Washoe County bodies to study a fire district; a study, not a policy change
SB330	B	senate	1553962	2025-04-22	14-7	1	none	none	none	Revises provisions relating to facilities for skilled nursing. (BDR 40-584)	dropped	"harmonizes the term ""facility for skilled nursing"" across local ordinances; no defensible for-or-against direction"
SB347	B	assembly	1575998	2025-05-22	27-15	1	none	none	none	Revises provisions relating to mental health crisis holds. (BDR 39-8)	batch-01	selected
SB347	B	senate	1554886	2025-04-22	16-5	1	none	none	2025-05-16 A (Amend. No. 579.)	Revises provisions relating to mental health crisis holds. (BDR 39-8)	dropped	filter 4: the only divided Senate vote is on the pre-amendment text, which allowed taking firearms in the person’s custody or control anywhere, not just on the person
SB348	B	senate	1553082	2025-04-21	16-5	1	none	none	2025-05-20 A (Amend. No. 597.);2025-05-30 A (Amend. No. 896.)	Makes revisions relating to laboratory testing. (BDR 40-123)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB370	B	senate	1549434	2025-04-15	16-5	1	none	none	none	Revises provisions relating to manufactured housing. (BDR 43-754)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB407	B	senate	1579527	2025-05-27	12-8	1	none	none	none	Revises provisions relating to the Department of Indigent Defense Services. (BDR 14-492)	dropped	internal governance of the Department of Indigent Defense Services; no research area
SB424	B	senate	1578452	2025-05-26	16-4	1	none	none	none	Revises provisions relating to emergency medical services. (BDR 38-561)	candidate:batch-03	survived triage; awaits a reading of the enacted act
SB442	B	assembly	1583877	2025-06-02	28-14	1	none	none	none	Requires the Public Utilities Commission of Nevada to establish certain reporting requirements. (BDR 58-429)	batch-02	imported
SB443	B	assembly	1576988	2025-05-23	27-15	1	none	none	none	Revises provisions relating to public works. (BDR 28-1112)	dropped	filter 5: a labour standards measure, and no research area covers labour or union rights; its union-agreement exception also exempts the largest covered projects
SB443	B	senate	1554951	2025-04-22	13-8	1	none	none	2025-05-20 A (Amend. No. 649.);2025-05-23 A (Amend. No. 774.)	Revises provisions relating to public works. (BDR 28-1112)	dropped	filter 5: a labour standards measure, and no research area covers labour or union rights; its union-agreement exception also exempts the largest covered projects
SB458	B	assembly	1563496	2025-05-01	28-14	1	none	none	none	Makes a supplemental appropriation to the Office of the Secretary of State for an unanticipated shortfall related to travel, operating and information services expenses. (BDR S-1166)	excluded	supplemental appropriation
SB458	B	senate	1550867	2025-04-16	13-8	1	none	none	none	Makes a supplemental appropriation to the Office of the Secretary of State for an unanticipated shortfall related to travel, operating and information services expenses. (BDR S-1166)	excluded	supplemental appropriation
SB488	B	senate	1576709	2025-05-22	13-8	1	none	none	none	Makes appropriations to the Office of the Secretary of State for the replacement of certain equipment and certain costs related to elections. (BDR S-1178)	excluded	appropriations
SB500	B	senate	1575057	2025-05-21	13-8	1	none	none	none	Ensures sufficient funding for K-12 public education for the 2025-2027 biennium. (BDR S-1232)	excluded	appropriations and apportionment of the State Education Fund
SCR8	CR	senate	1583646	2025-06-02	13-8	1	none	none	none	Amends the Joint Standing Rules of the Senate and Assembly for the 83rd Session of the Legislature. (BDR R-1258)	excluded	concurrent resolution: it amends the Legislature’s own joint standing rules, never goes to the Governor and is not law. The pipeline already excludes it by measure type.
