bill	status	chamber	roll	stored_roll	date	tally	passed	in_db	kept	last_in_chamber	vote_no	desc	subjects	title	disposition	reason
AB105	vetoed	house	1578338	1578338	2025-05-26	27-14	1	yes	t	yes		Assembly Final Passage		Revises provisions governing firearms. (BDR 15-64)	batch-04	gun_control/for
AB105	vetoed	senate	1582218	1582218	2025-05-30	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing firearms. (BDR 15-64)	batch-04	gun_control/for
AB112	vetoed	house	1553821	1553821	2025-04-22	29-13	1	yes	t	yes		Assembly Final Passage		Removes an exemption from provisions providing certain employees with the right to use sic	batch-05	social_programs_and_welfare/for
AB112	vetoed	senate	1577060	1577060	2025-05-23	15-6	1	yes	t	yes		Senate Final Passage		Removes an exemption from provisions providing certain employees with the right to use sic	batch-05	social_programs_and_welfare/for
AB119	failed	house	1551228	1551228	2025-04-17	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to paramilitary activity. (BDR 36-191)		
AB140	vetoed	house	1552350	1552350	2025-04-17	28-14	1	yes	t	yes		Assembly Final Passage		Revises provisions governing driver authorization cards. (BDR 43-200)		
AB140	vetoed	senate	1575648	1575648	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing driver authorization cards. (BDR 43-200)		
AB144	vetoed	house	1548767	1548767	2025-04-15	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to Indigenous Peoples Day in Nevada. (BDR 19-7)		
AB144	vetoed	senate	1575496	1575496	2025-05-21	14-7	1	yes	t	yes		Senate Final Passage		Revises provisions relating to Indigenous Peoples Day in Nevada. (BDR 19-7)		
AB155	vetoed	house	1551754	1551754	2025-04-17	26-16	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to public employees. (BDR 23-612)		
AB155	vetoed	senate	1577938	1577938	2025-05-23	16-4	1	yes	t	yes		Senate Final Passage		Revises provisions relating to public employees. (BDR 23-612)		
AB156	failed	house	1554050	1554050	2025-04-22	24-18	1	yes	t	yes		Assembly Final Passage		Revises provisions governing the members of the board of trustees of school districts. (BD		
AB185	vetoed	house	1551673	1551673	2025-04-17	32-10	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to child care. (BDR 10-187)	batch-05	social_programs_and_welfare/for
AB185	vetoed	senate	1578000	1578000	2025-05-23	16-4	1	yes	t	yes		Senate Final Passage		Revises provisions relating to child care. (BDR 10-187)	batch-05	social_programs_and_welfare/for
AB188	vetoed	senate	1584002	1584002	2025-06-02	15-5	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the Public Employees' Benefits Program. (BDR 23-673)		
AB201	vetoed	house	1554233	1554233	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the sealing of certain records. (BDR 3-843)	batch-05	housing_affordability/for
AB201	vetoed	senate	1575587	1575587	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the sealing of certain records. (BDR 3-843)	batch-05	housing_affordability/for
AB204	vetoed	house	1581111	1581111	2025-05-29	28-14	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to medical debt. (BDR 52-135)	batch-04	healthcare_affordability/for
AB204	vetoed	senate	1583619	1583619	2025-06-02	12-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to medical debt. (BDR 52-135)	batch-04	healthcare_affordability/for
AB205	vetoed	house	1554425	1554425	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing sexual education. (BDR 34-597)		
AB205	vetoed	senate	1575441	1575441	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing sexual education. (BDR 34-597)		
AB209	vetoed	house	1554237	1554237	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Provides immunity from criminal liability for engaging in prostitution or solicitation for		
AB209	vetoed	senate	1576530	1576530	2025-05-22	14-7	1	yes	t	yes		Senate Final Passage		Provides immunity from criminal liability for engaging in prostitution or solicitation for		
AB213	vetoed	house	1552603	1552603	2025-04-21	26-15	1	yes	t	yes		Assembly Final Passage		Revises provisions governing public works projects. (BDR 28-816)		
AB213	vetoed	senate	1582307	1582307	2025-05-30	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions governing public works projects. (BDR 28-816)		
AB217	vetoed	house	1551302	1551302	2025-04-17	31-11	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to law enforcement on school property. (BDR 34-201)		
AB217	vetoed	senate	1577997	1577997	2025-05-23	14-6	1	yes	t	yes		Senate Final Passage		Revises provisions relating to law enforcement on school property. (BDR 34-201)		
AB223	vetoed	house	1554207	1554207	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to the habitability of rental property. (BDR 10-684)	batch-05	housing_affordability/for
AB223	vetoed	senate	1575611	1575611	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to the habitability of rental property. (BDR 10-684)	batch-05	housing_affordability/for
AB231	failed	house	1556306	1556306	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Requires certain service contracts to impose certain duties upon the provider of the servi		
AB237	vetoed	house	1550161	1550161	2025-04-16	27-15	1	yes	t	yes		Assembly Final Passage		Authorizes any county to create the office of registrar of voters. (BDR 20-363)		
AB237	vetoed	senate	1575645	1575645	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Authorizes any county to create the office of registrar of voters. (BDR 20-363)		
AB238	failed	house	1582293	1582293	2025-05-30	22-20	1	yes	t	yes		Assembly Final Passage		Enacts the Nevada Studio Infrastructure Jobs and Workforce Training Act. (BDR S-63)		
AB244	vetoed	senate	1575513	1575513	2025-05-21	16-4	1	yes	t	yes		Senate Final Passage		Enacts prohibitions relating to the use of disposable foodware containers containing polys	batch-06	environment_and_public_health/for
AB245	vetoed	house	1554356	1554356	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to firearms. (BDR 15-648)	batch-04	gun_control/for
AB245	vetoed	senate	1575542	1575542	2025-05-21	12-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to firearms. (BDR 15-648)	batch-04	gun_control/for
AB259	vetoed	house	1579499	1579499	2025-05-27	27-15	1	yes	t	yes		Assembly Final Passage		Establishes provisions governing prescription drugs. (BDR 40-165)	batch-06	healthcare_affordability/for
AB259	vetoed	senate	1583311	1583311	2025-06-02	13-8	1	yes	t	yes		Senate Final Passage		Establishes provisions governing prescription drugs. (BDR 40-165)	batch-06	healthcare_affordability/for
AB278	vetoed	house	1552013	1552013	2025-04-17	28-14	1	yes	t	yes		Assembly Final Passage		Designates the month of July as Muslim American Heritage Month. (BDR 19-924)		
AB278	vetoed	senate	1575762	1575762	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Designates the month of July as Muslim American Heritage Month. (BDR 19-924)		
AB280	vetoed	house	1553732	1553732	2025-04-22	27-15	1	yes	t	yes		Assembly Final Passage		Revises provisions relating to housing. (BDR 10-337)	batch-05	housing_affordability/for
AB280	vetoed	senate	1575514	1575514	2025-05-21	13-8	1	yes	t	yes		Senate Final Passage		Revises provisions relating to housing. (BDR 10-337)	batch-05	housing_affordability/for
