bill	bill_id	title	divided_rolls	all_rolls	tallies	status_date	last_action	sasts	disposition	reason
S01985	1918016	Requires police officers to take temporary custody of firearms for not less than one hundred twenty hours when responding to reports of family violence.	3	3	S 2025-05-13 37-20 roll1570548 DIV; S 2025-06-09 43-19 roll1587201 DIV; A 2025-06-11 93-46 roll1589390 DIV	2025-10-16		A00544	batch-01	judged and imported in batch-01; the Senate vote of 2025-05-13 (roll 1570548) is on the print the Senate later amended, so the 2025-06-09 repassage is the roll judged
A00056	1898118	Prohibits residential landlords from charging tenants a fee for a dishonored rent check in excess of the actual costs or fees incurred by such landlord as a result thereof, provided such dishonored check fee was included	2	2	A 2025-04-02 84-64 roll1536221 DIV; S 2025-06-12 37-22 roll1590495 DIV	2025-10-16		S03845	dropped	bounced rent check fees. Tightens by requiring the fee to be written into the lease and proved on request, but loosens by letting a landlord charge actual costs above the old flat $20.
A00136	1898748	Relates to the medical aid in dying act; relates to a terminally ill patient's request for and use of medication for medical aid in dying.	2	2	A 2025-04-29 81-67 roll1562156 DIV; S 2025-06-09 35-27 roll1587181 DIV	2026-02-06		S00138	dropped:filter-5	Medical Aid in Dying Act. No research area carries an honest direction on assisted death: groups that speak for people with disabilities and groups that speak for patient autonomy both claim their side. The Illinois SB 1950 precedent applies.
A01241	1908520	Repeals provisions criminalizing the furnishing of items with a nominal value to induce attendance at polls.	2	2	A 2025-05-15 94-47 roll1572632 DIV; S 2025-06-09 44-18 roll1587203 DIV	2025-06-21		S07281	dropped:filter-5	Repeals the crime of furnishing items of nominal value to induce attendance at the polls. It reads as protecting people who hand out food and water in line and as removing an anti-inducement crime, and those point opposite ways.
A01820	1917220	Requires the modification of restrictive covenants prior to the sale of real property when covenants, conditions and restrictions exist which discriminate on the basis of race, color, religion, sex, sexual orientation, f	2	2	A 2025-04-02 100-48 roll1536285 DIV; S 2025-06-11 47-12 roll1589185 DIV	2025-12-05		S03178	batch-02	imported
A01969	1918308	Authorizes the village of Chester to impose a five percent hotel and motel tax; provides for the repeal of such provisions upon expiration thereof.	2	2	A 2025-06-10 115-32 roll1589161 DIV; S 2025-06-12 45-14 roll1590294 DIV	2025-10-16		S07650	excluded:local	applies to one named locality; outside the campaign gate
A02328	1923065	Authorizes the town of Dickinson to establish hotel and motel taxes within such town.	2	2	A 2025-06-06 92-51 roll1586563 DIV; S 2025-06-12 47-12 roll1590258 DIV	2025-10-16		S04073	excluded:local	applies to one named locality; outside the campaign gate
A03000	1934636	Makes appropriations for the support of government - State Operations Budget.	2	2	A 2025-05-08 100-49 roll1568904 DIV; S 2025-05-08 40-22 roll1568782 DIV	2025-05-20		S03000	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A03005	1934805	Enacts into law major components of legislation necessary to implement the state public protection and general government budget for the 2025-2026 state fiscal year; extends provisions of law relating to criminal justice	2	2	S 2025-05-07 41-21 roll1567984 DIV; A 2025-05-07 104-46 roll1568288 DIV	2025-05-09		S03005	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A03009	1934914	Enacts into law major components of legislation which are necessary to implement the state fiscal plan for the 2025-2026 state fiscal year; relates to establishing an inflation refund credit (Part A); provides for a midd	2	2	A 2025-05-08 103-46 roll1568928 DIV; S 2025-05-08 35-27 roll1568771 DIV	2025-05-09		S03009	excluded:appropriations	budget or bonding measure; no area carries an honest direction on a spending bill
A04040	1949582	Codifies the disparate impact standard in the human rights law; provides that in cases of alleged housing discrimination, an unlawful discriminatory practice may be established by a practice's discriminatory effect.	2	2	A 2025-06-06 95-46 roll1586620 DIV; S 2025-06-11 39-20 roll1589169 DIV	2025-12-19		S04067	batch-01	judged and imported in batch-01
A04533	1953784	Extends the period during which the city of White Plains is authorized to impose an additional sales and compensating use tax to 2027.	2	2	A 2025-04-02 108-40 roll1535701 DIV; S 2025-04-22 42-11 roll1554964 DIV	2025-05-12		S05560	excluded:local	applies to one named locality; outside the campaign gate
A04997	1963780	Extends DEC's authority to regulate management of crabs to 12/31/2027; prohibits the taking of horseshoe crabs for commercial and biomedical purposes.	2	2	A 2025-06-05 100-45 roll1586108 DIV; S 2025-06-11 43-16 roll1589638 DIV	2025-12-19		S04289	excluded:extender	extends an existing authority or expiry date without changing policy
A05244	1967152	Extends the effectiveness of an occupancy tax in the town of DeWitt to September 1, 2027.	2	2	A 2025-04-02 111-37 roll1535712 DIV; S 2025-05-27 46-13 roll1599249 DIV	2025-08-07		S04596	excluded:local	applies to one named locality; outside the campaign gate
A05285	1967187	Provides the prescription label for mifepristone or misoprostol may include the address of the dispensing health care practice and shall include the address of the prescribing health care practice at the prescriber's req	2	2	A 2025-03-05 96-51 roll1507008 DIV; S 2025-03-10 40-21 roll1509133 DIV	2025-03-20		S04587	dropped:twin	Chapter amendment to S 36, which this batch imports.
A05445	1970687	Extends the village of Woodbury's authority to impose a hotel and motel tax for two additional years.	2	2	A 2025-05-19 104-39 roll1574009 DIV; S 2025-05-27 46-13 roll1599243 DIV	2025-08-07		S00708	excluded:local	applies to one named locality; outside the campaign gate
