bill	roll	chamber	date	tally	outcome	question_class	disposition	reason
HB102	1603210	house	2025-10-01	137-66	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1030	1570681	house	2025-05-13	150-53	passed	passage	dropped	trivia: designates Hershey’s Kisses the official state candy
HB1042	1667909	house	2026-03-23	149-50	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1042	1715679	senate	2026-07-12	28-22	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1042	1715680	senate	2026-07-12	30-20	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1042	1715952	house	2026-07-23	102-100	passed	concurrence	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1045	1704111	house	2026-06-01	130-71	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1048	1593967	house	2025-06-23	113-90	passed	passage	pending:batch-03	screened in: proposed public_infrastructure/for, analysis not yet verified
HB1062	1569645	house	2025-05-12	125-78	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1077	1692983	house	2026-05-04	150-51	passed	passage	pending:batch-03	screened in: proposed healthcare_affordability/for, analysis not yet verified
HB1088	1587838	house	2025-06-10	143-60	passed	passage	batch-02	healthcare_affordability/for
HB1089	1584783	house	2025-06-04	102-100	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1093	1597787	house	2025-07-08	151-52	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1095	1593910	house	2025-06-23	105-98	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB1099	1603195	house	2025-09-30	101-102	failed	passage	batch-02	gun_control/for
HB1100	1595333	house	2025-06-26	138-64	passed	passage	batch-02	healthcare_affordability/for
HB1104	1689869	house	2026-04-27	133-67	passed	passage	batch-02	healthcare_affordability/for
HB111	1518370	house	2025-03-17	153-49	passed	passage	batch-02	healthcare_affordability/for
HB1127	1710973	house	2026-06-23	136-66	passed	passage	batch-02	healthcare_affordability/for
HB1139	1681996	house	2026-04-14	102-99	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1140	1583926	house	2025-06-03	116-87	passed	passage	batch-02	healthcare_affordability/for
HB118	1524694	house	2025-03-24	117-85	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1189	1587567	house	2025-06-10	102-101	passed	passage	pending:batch-03	screened in: proposed government_efficiency/for, analysis not yet verified
HB1191	1669857	house	2026-03-25	120-79	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1200	1567634	house	2025-05-07	102-101	passed	passage	dropped	user direction call: adult-use cannabis legalisation, no research area carries an honest direction (Ohio HB 116 precedent)
HB1216	1593914	house	2025-06-23	108-95	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1233	1609483	house	2025-11-18	111-91	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1234	1597017	house	2025-07-01	147-55	passed	passage	batch-02	healthcare_affordability/for
HB1239	1713330	house	2026-07-01	109-93	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1250	1587693	house	2025-06-10	144-59	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB1260	1667911	house	2026-03-23	101-98	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1262	1708680	house	2026-06-10	105-97	passed	passage	pending:batch-03	screened in: proposed anti_corruption/for, analysis not yet verified
HB1263	1570505	house	2025-05-13	102-101	passed	passage	pending:batch-03	screened in: proposed reduce_wealth_gap/for, analysis not yet verified
HB1282	1593905	house	2025-06-23	132-71	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB129	1597043	house	2025-07-01	159-43	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1319	1597643	house	2025-07-07	116-87	passed	passage	dropped	narrow: mechanics lien definition of materials
HB1330	1598197	house	2025-07-14	105-97	passed	passage	dropped	appropriations: General Appropriations Act for 2025-26
HB1347	1594711	house	2025-06-24	149-54	passed	passage	dropped	no area: tourism improvement districts
HB1358	1597638	house	2025-07-07	109-94	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1364	1591460	house	2025-06-17	107-96	passed	passage	pending:batch-03	screened in: proposed public_infrastructure/for, analysis not yet verified
HB1396	1570575	house	2025-05-13	102-101	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1412	1597640	house	2025-07-07	102-101	passed	passage	dropped	narrow: standard for modifying a custody order
HB1428	1587694	house	2025-06-10	143-60	passed	passage	dropped	narrow: PSERS membership eligibility
HB144	1623230	house	2026-02-04	153-45	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1445	1594990	house	2025-06-25	102-101	passed	passage	batch-02	healthcare_affordability/for
HB145	1603652	house	2025-10-07	106-97	passed	passage	batch-02	social_programs_and_welfare/for
HB1460	1587899	house	2025-06-10	121-82	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB150	1610728	house	2025-12-17	111-92	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1500	1584699	house	2025-06-04	104-98	passed	passage	dropped	school-choice financing: cyber charter funding reform (TX SB 2 / GA SB 82 precedent, same call as PA SB 315)
HB1512	1604236	house	2025-10-27	110-93	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1522	1683274	house	2026-04-15	107-94	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1526	1618398	house	2026-01-28	110-89	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1532	1597080	house	2025-07-01	102-100	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1534	1594981	house	2025-06-25	128-75	passed	passage	pending:batch-03	screened in: proposed cost_of_living_reduction/for, analysis not yet verified
HB1549	1588926	house	2025-06-11	102-101	passed	passage	batch-02	reduce_wealth_gap/for
HB1553	1596503	house	2025-06-30	102-101	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1556	1622248	house	2026-02-03	104-93	passed	passage	dropped	no defensible direction: PA EDGE tax credit package
HB1558	1681901	house	2026-04-14	102-99	passed	passage	dropped	narrow: diaper changing stations
HB1572	1596478	house	2025-06-30	141-62	passed	passage	dropped	no defensible direction: historic preservation tax credit
HB1573	1598324	house	2025-07-14	102-100	passed	passage	dropped	no defensible direction: inventory of youth delinquency programs
HB1574	1597021	house	2025-07-01	160-42	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1575	1597632	house	2025-07-07	114-89	passed	passage	dropped	no defensible direction: factory and mill rehabilitation tax credit
HB1576	1597977	house	2025-07-09	106-97	passed	passage	dropped	no defensible direction: county reimbursement for juvenile court costs
HB1577	1597990	house	2025-07-09	108-95	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1593	1603197	house	2025-09-30	104-99	passed	passage	batch-02	gun_control/for
HB1599	1597057	house	2025-07-01	159-43	passed	passage	dropped	no defensible direction: regional transmission organization membership and vote reporting
HB1610	1594987	house	2025-06-25	104-99	passed	passage	dropped	omnibus: Tax Reform Code omnibus with strands in several directions
HB1650	1595347	house	2025-06-26	122-80	passed	passage	pending:batch-03	screened in: proposed housing_affordability/for, analysis not yet verified
HB1663	1610736	house	2025-12-17	116-87	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB1668	1597794	house	2025-07-08	107-96	passed	passage	dropped	no defensible direction: sprinkler retrofit property tax relief
HB1678	1708681	house	2026-06-09	139-63	passed	passage	dropped	no defensible direction: gross receipts tax
HB1697	1598006	house	2025-07-09	136-67	passed	passage	pending:batch-03	screened in: proposed anti_corruption/for, analysis not yet verified
HB1701	1603787	house	2025-10-08	103-100	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB1702	1603761	house	2025-10-08	150-53	passed	passage	dropped	narrow: premixed cocktails on draft
HB1706	1683158	house	2026-04-15	107-94	passed	passage	pending:needs-detail-read	no fiscal note at the voted printer number, or a strand mix that needs the enacted-text read
HB1718	1669647	house	2026-03-25	142-57	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB1788	1599279	house	2025-08-11	108-95	passed	passage	pending:batch-03	screened in: proposed public_infrastructure/for, analysis not yet verified
HB1800	1669620	house	2026-03-25	127-72	passed	passage	batch-02	civil_rights/for
HB1814	1704052	house	2026-06-01	126-75	passed	passage	pending:batch-03	screened in: proposed public_education_quality/for, analysis not yet verified
HB1825	1610620	house	2025-12-16	110-93	passed	passage	batch-02	civil_rights/for
HB1828	1604367	house	2025-10-29	104-99	passed	passage	batch-02	healthcare_affordability/for
HB183	1538529	house	2025-04-07	118-85	passed	passage	pending:batch-03	screened in: proposed social_programs_and_welfare/for, analysis not yet verified
HB1834	1668847	house	2026-03-24	104-95	passed	passage	dropped	no defensible direction: data centre regulatory framework, runs as both consumer protection and industry accommodation
HB1859	1603200	house	2025-09-30	101-102	failed	passage	batch-02	gun_control/for
HB1866	1603202	house	2025-10-01	101-102	failed	passage	batch-02	gun_control/for
HB1871	1609574	house	2025-11-18	107-95	passed	passage	dropped	narrow: electrified security fences
HB1874	1603764	house	2025-10-08	143-60	passed	passage	dropped	narrow: transit revitalization districts
HB1881	1610617	house	2025-12-16	106-97	passed	passage	batch-02	healthcare_affordability/for
HB1882	1604283	house	2025-10-28	104-99	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB190	1478681	house	2025-02-03	161-41	passed	passage	dropped	narrow: eating disorder awareness materials
HB1909	1620705	house	2026-02-02	104-94	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1923	1623089	house	2026-02-04	122-76	passed	passage	pending:batch-03	screened in: proposed corporate_accountability/for, analysis not yet verified
HB193	1564873	house	2025-05-05	150-53	passed	passage	pending:batch-03	screened in: proposed environment_and_public_health/for, analysis not yet verified
HB1935	1621918	house	2026-02-03	152-45	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1936	1623475	house	2026-02-04	111-87	passed	passage	pending:batch-03	screened in: proposed public_safety_and_crime_control/for, analysis not yet verified
HB1957	1610729	house	2025-12-17	102-101	passed	passage	batch-02	womens_reproductive_rights/for
HB1967	1709957	house	2026-06-17	102-100	passed	passage	dropped	trivia: designates a scenic byway
HB1980	1609378	house	2025-11-17	131-71	passed	passage	dropped	narrow: one hour of nutrition continuing education
