bill	chamber	roll	vote_date	yea	nay	question_class	batch	title
HB0022	house	1509630	2025-03-10	60	29	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 8, Chapter 44, relative to public meetings.
HB0023	house	1509515	2025-03-10	71	22	passage		AN ACT to amend Tennessee Code Annotated, Title 2 and Title 6, Chapter 53, relative to election districts.
HB0037	house	1525322	2025-03-24	75	19	passage		AN ACT to amend Tennessee Code Annotated, Title 8; Title 53; Title 56; Title 63; Title 68 and Title 71, relative to the use of drugs for the treatment
HB0056	senate	1517186	2025-03-13	20	10	passage		AN ACT to amend Tennessee Code Annotated, Title 5, relative to county legislative bodies.
HB0120	house	1509575	2025-03-10	73	19	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 4 and Title 39, relative to criminal offenses.
HB0132	house	1553242	2025-04-21	69	22	passage	superseded	AN ACT to amend Tennessee Code Annotated, Section 58-2-107, relative to emergency management powers of the governor.
HB0132	house	1554657	2025-04-22	72	23	concurrence	batch-05	AN ACT to amend Tennessee Code Annotated, Section 58-2-107, relative to emergency management powers of the governor.
HB0483	house	1683107	2026-04-15	71	23	passage		AN ACT to amend Tennessee Code Annotated, Title 8, relative to district attorneys general.
HB0483	house	1688359	2026-04-22	66	25	concurrence		AN ACT to amend Tennessee Code Annotated, Title 8, relative to district attorneys general.
HB0483	senate	1685113	2026-04-16	23	6	passage		AN ACT to amend Tennessee Code Annotated, Title 8, relative to district attorneys general.
HB0542	senate	1553053	2025-04-21	24	6	passage		AN ACT to amend Tennessee Code Annotated, Title 7; Title 13, Chapter 7; Title 65 and Title 68, relative to utilities.
HB0548	house	1677607	2026-04-07	73	22	concurrence		"AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 56, relative to the ""Tennessee Procurement Protection Act."""
HB0548	senate	1676104	2026-04-02	21	8	passage		"AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 56, relative to the ""Tennessee Procurement Protection Act."""
HB0576	senate	1553197	2025-04-21	22	8	passage		AN ACT to amend Tennessee Code Annotated, Title 4, Chapter 3, Part 13; Title 39; Title 40; Title 41; Title 56; Title 62 and Title 67, Chapter 4, Part
HB0601	senate	1543970	2025-04-10	24	6	passage		AN ACT to amend Tennessee Code Annotated, Title 40, relative to post-conviction relief.
HB0612	house	1544003	2025-04-10	74	20	passage	batch-05	AN ACT to amend Tennessee Code Annotated, Title 69, Chapter 3, relative to permits.
HB0618	house	1501024	2025-02-27	61	26	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 2 and Title 8, relative to public office.
HB0618	senate	1646824	2026-02-26	21	10	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 2 and Title 8, relative to public office.
HB0622	house	1551312	2025-04-17	73	24	passage	batch-02	AN ACT to amend Tennessee Code Annotated, Title 5; Title 6; Title 7; Title 8 and Title 49, relative to hiring practices of governmental entities.
HB0749	house	1535748	2025-04-03	68	21	passage	batch-01	AN ACT to amend Tennessee Code Annotated, Title 55, Chapter 50, relative to driver licenses issued to persons without lawful presence.
HB0754	house	1670954	2026-03-26	70	21	passage	superseded	AN ACT to amend Tennessee Code Annotated, Title 1; Title 4; Title 33; Title 56; Title 63; Title 68 and Title 71, relative to health care.
HB0754	house	1682980	2026-04-15	73	23	concurrence	batch-03	AN ACT to amend Tennessee Code Annotated, Title 1; Title 4; Title 33; Title 56; Title 63; Title 68 and Title 71, relative to health care.
HB0754	senate	1681414	2026-04-13	24	7	passage	batch-03	AN ACT to amend Tennessee Code Annotated, Title 1; Title 4; Title 33; Title 56; Title 63; Title 68 and Title 71, relative to health care.
HB0773	senate	1556877	2025-04-22	23	8	passage		AN ACT to amend Tennessee Code Annotated, Title 1, Chapter 3, relative to legal notices.
