session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	passed	status	governor	disposition	reason	desc	title
2214	HB0001	H		1618201	2026-01-28	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Public Education Base Budget Amendments
2214	HB0001	S		1619281	2026-01-29	28	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Public Education Base Budget Amendments
2214	HB0002	H		1651294	2026-03-03	68	6	1	4	signed	screened	not-divided	House/ passed 3rd reading	New Fiscal Year Supplemental Appropriations
2214	HB0002	S		1652826	2026-03-04	25	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	New Fiscal Year Supplemental Appropriations
2214	HB0003	H		1656632	2026-03-06	71	1	1	3	none	screened	not-divided	House/ passed 3rd reading	Appropriations Adjustments
2214	HB0003	S		1656822	2026-03-06	28	0	1	3	none	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Appropriations Adjustments
2214	HB0005	H		1618788	2026-01-28	71	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Natural Resources, Agriculture, and Environmental Quality Base Budget
2214	HB0005	S		1619461	2026-01-29	27	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Natural Resources, Agriculture, and Environmental Quality Base Budget
2214	HB0006	H		1618267	2026-01-28	74	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Criminal Justice Base Budget
2214	HB0006	S		1619362	2026-01-29	26	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Criminal Justice Base Budget
2214	HB0007	H		1618473	2026-01-28	73	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Social Services Base Budget
2214	HB0007	S		1619458	2026-01-29	26	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	Social Services Base Budget
2214	HB0008	H		1650251	2026-03-03	71	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	State Agency Fees and Internal Service Fund Authorization and Appropriations
2214	HB0008	S		1652337	2026-03-04	24	0	1	4	signed	screened	not-divided	Senate/ passed 2nd & 3rd readings/ suspension	State Agency Fees and Internal Service Fund Authorization and Appropriations
2214	HB0011	H		1614530	2026-01-20	74	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Dyed Diesel Fuel Search Amendments
2214	HB0011	S		1624485	2026-02-05	28	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Dyed Diesel Fuel Search Amendments
2214	HB0012	H		1614392	2026-01-20	74	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Outdoor Recreation Accessibility Amendments
2214	HB0012	S		1621619	2026-02-03	27	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Outdoor Recreation Accessibility Amendments
2214	HB0013	H		1626291	2026-02-09	32	39	0	6	none	screened	not-enacted-status-6	House/ failed	Municipal Services Fees and Political Subdivision Lien Amendments
2214	HB0014	H		1614694	2026-01-20	73	0	1	6	none	screened	not-divided	House/ passed 3rd reading	Behavior Analyst Licensing Amendments
2214	HB0015	H		1642283	2026-02-24	63	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Medicaid Amendments
2214	HB0015	S		1656459	2026-03-06	27	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Medicaid Amendments
2214	HB0016	H		1616628	2026-01-23	61	8	1	4	signed	screened	not-divided	House/ passed 3rd reading	Solar Power Plant Amendments
2214	HB0016	H		1639771	2026-02-20	61	6	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Solar Power Plant Amendments
2214	HB0016	S		1637011	2026-02-18	20	6	1	4	signed	dropped:mixed	cuts solar plant incentives on protected farmland; farmland protection versus solar	Senate/ passed 3rd reading	Solar Power Plant Amendments
2214	HB0017	H		1616647	2026-01-23	70	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Public Infrastructure District Meeting Amendments
2214	HB0017	S		1625478	2026-02-06	26	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Public Infrastructure District Meeting Amendments
2214	HB0019	H		1614821	2026-01-20	75	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Drinking Water Utilities Amendments
2214	HB0019	S		1624842	2026-02-05	28	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Drinking Water Utilities Amendments
2214	HB0020	H		1621722	2026-02-03	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Correctional Facility Capacity Amendments
2214	HB0020	S		1638841	2026-02-19	23	3	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Correctional Facility Capacity Amendments
2214	HB0021	H		1614816	2026-01-20	74	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Senior Care Facility Amendments
2214	HB0021	H		1628187	2026-02-10	69	0	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Senior Care Facility Amendments
2214	HB0021	S		1625835	2026-02-06	28	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Senior Care Facility Amendments
2214	HB0022	H		1622043	2026-02-03	66	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Vintage Vehicle Amendments
2214	HB0022	H		1646131	2026-02-26	63	1	1	4	signed	screened	not-divided	House/ concurs with Senate amendment	Vintage Vehicle Amendments
2214	HB0022	S		1644086	2026-02-25	27	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Vintage Vehicle Amendments
2214	HB0023	H		1635099	2026-02-17	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Service Animal Amendments
2214	HB0023	S		1648105	2026-02-27	27	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Service Animal Amendments
2214	HB0024	H		1622554	2026-02-03	69	0	1	4	signed	screened	not-divided	House/ passed 3rd reading	Criminal Penalty Amendments
2214	HB0024	S		1648335	2026-02-27	21	2	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Criminal Penalty Amendments
2214	HB0026	H		1614818	2026-01-20	74	1	1	4	signed	screened	not-divided	House/ passed 3rd reading	Voting Equipment Amendments
2214	HB0026	S		1624500	2026-02-05	29	0	1	4	signed	screened	not-divided	Senate/ passed 3rd reading	Voting Equipment Amendments
2214	HB0028	H		1614863	2026-01-20	73	1	1	6	none	screened	not-divided	House/ passed 3rd reading	Health and Human Services Sunset Amendments
2214	HB0029	H		1614625	2026-01-20	70	3	1	6	none	screened	not-divided	House/ passed 3rd reading	Unfair and Deceptive Pricing Amendments
