bill	chamber	roll_call_id	date	yea	nay	margin_pct	reach	same_day_peers	earlier_rolls	partial_veto	question	title	description	disposition	reason
HB1012	senate	1550720	2025-04-16	32	16	50.0	19		0		Senate 3rd Reading & Final Passage	Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.	Authorizing the women's commission to solicit gifts, grants, and endowments from public or private sources.	candidate	unbatched
HB1046	house	1551997	2025-04-17	60	36	60.0	87		1		House Final Passage as Amended by the Senate	Protecting the vulnerable by providing immunity from civil liability for damage to a motor vehicle arising from the rescue of vulnerable persons or do	Protecting the vulnerable by providing immunity from civil liability for damage to a motor vehicle arising from the rescue of vulnerable persons or domestic animals.	candidate	unbatched
HB1046	senate	1547741	2025-04-14	36	12	33.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Protecting the vulnerable by providing immunity from civil liability for damage to a motor vehicle arising from the rescue of vulnerable persons or do	Protecting the vulnerable by providing immunity from civil liability for damage to a motor vehicle arising from the rescue of vulnerable persons or domestic animals.	candidate	unbatched
HB1052	house	1552240	2025-04-18	59	38	64.4	87		1		House Final Passage as Amended by the Senate	Clarifying a hate crime offense.	Clarifying a hate crime offense.	batch-01	imported
HB1052	senate	1535722	2025-04-03	30	19	63.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Clarifying a hate crime offense.	Clarifying a hate crime offense.	batch-01	imported
HB1068	house	1504127	2025-03-03	72	25	34.7	87		0		House 3rd Reading & Final Passage	Removing the exclusion from interest arbitration of Washington management service employees at the department of corrections.	Removing the exclusion from interest arbitration of Washington management service employees at the department of corrections.	candidate	unbatched
HB1068	senate	1549262	2025-04-15	36	12	33.3	19		0		Senate 3rd Reading & Final Passage	Removing the exclusion from interest arbitration of Washington management service employees at the department of corrections.	Removing the exclusion from interest arbitration of Washington management service employees at the department of corrections.	candidate	unbatched
HB1069	senate	1653579	2026-03-04	31	18	58.1	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Allowing collective bargaining over contributions for certain supplemental retirement benefits.	Allowing collective bargaining over contributions for certain supplemental retirement benefits.	candidate	unbatched
HB1081	house	1505287	2025-03-04	56	39	69.6	87		0		House 3rd Reading & Final Passage	Establishing consumer protections for owners of solicited real estate.	Establishing consumer protections for owners of solicited real estate.	candidate	unbatched
HB1081	senate	1543578	2025-04-10	30	19	63.3	19		0		Senate 3rd Reading & Final Passage	Establishing consumer protections for owners of solicited real estate.	Establishing consumer protections for owners of solicited real estate.	candidate	unbatched
HB1094	house	1516489	2025-03-12	58	39	67.2	87		0		House 3rd Reading & Final Passage	Providing a property tax exemption for property owned by a qualifying nonprofit organization and loaned, leased, or rented to and used by any governme	Providing a property tax exemption for property owned by a qualifying nonprofit organization and loaned, leased, or rented to and used by any government entity to provide character-building, benevolent, protective, or rehabilitative social services.	candidate	unbatched
HB1094	senate	1527712	2025-03-26	37	12	32.4	19		0		Senate 3rd Reading & Final Passage	Providing a property tax exemption for property owned by a qualifying nonprofit organization and loaned, leased, or rented to and used by any governme	Providing a property tax exemption for property owned by a qualifying nonprofit organization and loaned, leased, or rented to and used by any government entity to provide character-building, benevolent, protective, or rehabilitative social services.	candidate	unbatched
HB1119	house	1552250	2025-04-18	53	43	81.1	87		0		House 3rd Reading & Final Passage	Concerning supervision compliance credit.	Concerning supervision compliance credit.	candidate	unbatched
HB1119	senate	1558659	2025-04-26	28	18	64.3	19		0		Senate 3rd Reading & Final Passage	Concerning supervision compliance credit.	Concerning supervision compliance credit.	candidate	unbatched
HB1128	house	1657377	2026-03-09	68	27	39.7	87		1		House Final Passage as Amended by the Senate	Establishing a child care workforce standards board.	Establishing a child care workforce standards board.	candidate	unbatched
HB1128	senate	1652781	2026-03-04	28	19	67.9	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Establishing a child care workforce standards board.	Establishing a child care workforce standards board.	candidate	unbatched
HB1131	house	1554935	2025-04-22	50	46	92.0	87		2	yes	House Final Passage as Amended by the Senate	Concerning clemency and pardons.	Concerning clemency and pardons.	candidate	unbatched
HB1131	senate	1548468	2025-04-15	28	19	67.9	19		0	yes	Senate 3rd Reading & Final Passage as Amended by the Senate	Concerning clemency and pardons.	Concerning clemency and pardons.	candidate	unbatched
HB1135	house	1504897	2025-03-04	56	40	71.4	87		0		House 3rd Reading & Final Passage	Ensuring that local government planning complies with the growth management act.	Ensuring that local government planning complies with the growth management act.	candidate	unbatched
HB1135	senate	1528426	2025-03-26	30	19	63.3	19		0		Senate 3rd Reading & Final Passage	Ensuring that local government planning complies with the growth management act.	Ensuring that local government planning complies with the growth management act.	candidate	unbatched
HB1141	house	1515688	2025-03-11	55	40	72.7	87		0		House 3rd Reading & Final Passage	Concerning collective bargaining for agricultural cannabis workers.	Concerning collective bargaining for agricultural cannabis workers.	candidate	unbatched
HB1141	senate	1547614	2025-04-14	29	20	69.0	19		0		Senate 3rd Reading & Final Passage	Concerning collective bargaining for agricultural cannabis workers.	Concerning collective bargaining for agricultural cannabis workers.	candidate	unbatched
HB1154	house	1552588	2025-04-21	57	39	68.4	87		1		House Final Passage as Amended by the Senate	Ensuring environmental and public health protection from solid waste handling facility operations.	Ensuring environmental and public health protection from solid waste handling facility operations.	candidate	unbatched
HB1154	senate	1549091	2025-04-15	28	20	71.4	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Ensuring environmental and public health protection from solid waste handling facility operations.	Ensuring environmental and public health protection from solid waste handling facility operations.	candidate	unbatched
HB1155	house	1656971	2026-03-09	62	33	53.2	87		1		House Final Passage as Amended by the Senate	Prohibiting noncompetition agreements and clarifying nonsolicitation agreements.	Prohibiting noncompetition agreements and clarifying nonsolicitation agreements.	batch-01	imported
HB1155	senate	1655093	2026-03-05	30	19	63.3	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Prohibiting noncompetition agreements and clarifying nonsolicitation agreements.	Prohibiting noncompetition agreements and clarifying nonsolicitation agreements.	batch-01	imported
HB1163	house	1554288	2025-04-22	57	39	68.4	87		1		House Final Passage as Amended by the Senate	Enhancing requirements relating to the purchase, transfer, and possession of firearms.	Enhancing requirements relating to the purchase, transfer, and possession of firearms.	batch-01	imported
HB1163	senate	1547807	2025-04-14	29	19	65.5	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Enhancing requirements relating to the purchase, transfer, and possession of firearms.	Enhancing requirements relating to the purchase, transfer, and possession of firearms.	batch-01	imported
HB1170	house	1659862	2026-03-11	55	38	69.1	87		1		House Final Passage as Amended by the Senate	Informing users when content is developed or modified by artificial intelligence.	Informing users when content is developed or modified by artificial intelligence.	candidate	unbatched
HB1171	senate	1547556	2025-04-14	39	10	25.6	19		0		Senate 3rd Reading & Final Passage as Amended by the Senate	Exempting attorney higher education employees from certain mandated reporting of child abuse and neglect.	Exempting attorney higher education employees from certain mandated reporting of child abuse and neglect.	candidate	unbatched
HB1174	house	1506601	2025-03-05	66	31	47.0	87		0		House 3rd Reading & Final Passage	Concerning court interpreters.	Concerning court interpreters.	candidate	unbatched
HB1177	house	1503658	2025-03-03	62	35	56.5	87		0		House 3rd Reading & Final Passage	Concerning the child welfare housing assistance program.	Concerning the child welfare housing assistance program.	candidate	unbatched
HB1177	senate	1549219	2025-04-15	30	18	60.0	19		0		Senate 3rd Reading & Final Passage	Concerning the child welfare housing assistance program.	Concerning the child welfare housing assistance program.	candidate	unbatched
HB1183	house	1515649	2025-03-11	56	39	69.6	87		0		House 3rd Reading & Final Passage	Concerning building code and development regulation reform.	Concerning building code and development regulation reform.	candidate	unbatched
HB1183	senate	1547907	2025-04-14	28	21	75.0	19		0		Senate 3rd Reading & Final Passage	Concerning building code and development regulation reform.	Concerning building code and development regulation reform.	candidate	unbatched
