bill	chamber	roll_call_id	date	yea	nay	other_floor	earlier	same_day	enact_hist	last_action	title	description	disposition	reason
HB1002	house	1627889	2026-02-10	70	24	0	0			By resolution, returned to House Rules Committee for third r	Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.	Recognizing posttraumatic stress disorder as an occupational disease for county coroners, examiners, and investigative personnel.	batch-13	imported
HB1080	house	1503806	2025-03-03	58	39	0	0			By resolution, reintroduced and retained in present status.	Concerning fee disclosure for lodging accommodations.	Concerning fee disclosure for lodging accommodations.	batch-13	imported
HB1113	house	1508992	2025-03-08	50	46	0	0			Referred to Community Safety.	Concerning accountability and access to services for individuals charged with a misdemeanor.	Concerning accountability and access to services for individuals charged with a misdemeanor.	dropped	criminal-justice leniency; public_safety_and_crime_control reads two ways (second chances vs accountability)
HB1218	house	1516025	2025-03-12	53	44	0	0			Referred to Civil Rights & Judiciary.	Concerning persons referred for competency evaluation and restoration services.	Concerning persons referred for competency evaluation and restoration services.	dropped	competency evaluation and restoration procedure; administrative or procedural; no area direction
HB1233	house	1506906	2025-03-05	58	39	0	0			Referred to Community Safety.	Concerning work programs for incarcerated persons.	Concerning work programs for incarcerated persons.	dropped	prison work programs made voluntary; no area covers incarcerated labor with a direction
HB1291	house	1503196	2025-03-03	56	39	0	0			Referred to Health Care & Wellness.	Concerning cost sharing for maternity services.	Concerning cost sharing for maternity services.	batch-13	imported
HB1402	house	1515411	2025-03-11	55	41	0	0			"House Rules ""X"" file."	Concerning job postings requiring driver's licenses.	Concerning job postings requiring driver's licenses.	dropped	driver's license lines in job ads; outside labor_rights' description and not a protected class under civil_rights
HB1423	house	1508908	2025-03-07	57	40	0	0			Referred to Transportation.	Authorizing the use of automated vehicle noise enforcement cameras in vehicle-racing camera enforcement zones.	Authorizing the use of automated vehicle noise enforcement cameras in vehicle-racing camera enforcement zones.	batch-13	imported
HB1430	house	1503334	2025-03-03	60	36	0	0			Referred to Health Care & Wellness.	Concerning advanced practice registered nurse and physician assistant reimbursement.	Concerning advanced practice registered nurse and physician assistant reimbursement.	dropped	provider pay parity for nurses and physician assistants; could widen access or raise premiums, so healthcare_affordability reads two ways
HB1503	house	1513227	2025-03-10	61	34	0	0			Referred to Technology, Economic Development, & Veterans.	Furthering digital equity and opportunity in Washington state.	Furthering digital equity and opportunity in Washington state.	dropped	moves digital equity duties between state offices; administrative or procedural; no area direction
HB1551	house	1506771	2025-03-05	57	39	0	0			"House Rules ""X"" file."	Extending the cannabis social equity program.	Extending the cannabis social equity program.	dropped	cannabis program; no area carries an honest direction for cannabis (PA HB 1200 rule)
HB1574	house	1630720	2026-02-11	55	42	0	1			By resolution, returned to House Rules Committee for third r	Protecting access to life-saving care and substance use services.	Protecting access to life-saving care and substance use services.	dropped	overdose good-samaritan and drug-supply rules; harm reduction reads two ways
HB1589	house	1508985	2025-03-08	73	23	0	0			"House Rules ""X"" file."	Concerning the relationships between health carriers and contracting providers.	Concerning the relationships between health carriers and contracting providers.	dropped	insurer-provider contract rules; cost effect runs both ways under healthcare_affordability
HB1600	house	1515837	2025-03-11	72	23	0	0			By resolution, reintroduced and retained in present status.	Modifying the fee to support family services.	Modifying the fee to support family services.	dropped	marriage license fee rise; fiscal machinery (a fee, fund, account or bond term), no area direction
