session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	disposition	reason	title
2196	HB2002	H	258	1530873	2025-03-31	99	0	screened	final-roll-not-divided	Establishing One Stop Shop Permitting Process
2196	HB2002	S	384	1541334	2025-04-09	34	0	screened	final-roll-not-divided	Establishing One Stop Shop Permitting Process
2196	HB2003	H	482	1544027	2025-04-10	95	0	screened	final-roll-not-divided	Prohibiting Cell phones in class
2196	HB2003	S	386	1541648	2025-04-09	33	1	screened	final-roll-not-divided	Prohibiting Cell phones in class
2196	HB2008	H	447	1543298	2025-04-10	65	34	not-selected	filter 5: Labor GAP, executive branch reorganisation	Executive Branch Reorganization
2196	HB2008	S	523	1546113	2025-04-11	24	8	not-selected	filter 5: Labor GAP, executive branch reorganisation	Executive Branch Reorganization
2196	HB2009	H	449	1543300	2025-04-10	71	28	not-selected	filter 5: Labor GAP, executive branch reorganisation	Relating to the merging and reorganizing of the executive branch
2196	HB2009	S	525	1546144	2025-04-11	24	8	not-selected	filter 5: Labor GAP, executive branch reorganisation	Relating to the merging and reorganizing of the executive branch
2196	HB2011	H	444	1543244	2025-04-10	99	0	screened	final-roll-not-divided	To supplement, amend, and increase an existing item of appropriation in the aforesaid accounts for the designated spendi
2196	HB2011	S	527	1546296	2025-04-11	32	0	screened	final-roll-not-divided	To supplement, amend, and increase an existing item of appropriation in the aforesaid accounts for the designated spendi
2196	HB2013	H	423	1541471	2025-04-09	70	27	not-selected	filter 5: Labor GAP. Strips civil service and grievance rights from state employees, and there is no labor research area; the corporate_accountability workaround does not reach a public employer	Transfer of employees to classified exempt service
2196	HB2013	S	358	1539358	2025-04-08	24	10	not-selected	filter 5: Labor GAP. Strips civil service and grievance rights from state employees, and there is no labor research area; the corporate_accountability workaround does not reach a public employer	Transfer of employees to classified exempt service
2196	HB2014	H	575	1546596	2025-04-12	82	16	screened	final-roll-not-divided	Certified Microgrid Program
2196	HB2014	S	591	1546732	2025-04-12	32	1	screened	final-roll-not-divided	Certified Microgrid Program
2196	HB2024	H	3	1488643	2025-02-13	96	1	screened	final-roll-not-divided	Updating the meaning certain terms used in West Virginia Personal Income Tax Act
2196	HB2024	S	2	1491584	2025-02-17	32	0	screened	final-roll-not-divided	Updating the meaning certain terms used in West Virginia Personal Income Tax Act
2196	HB2025	H	6	1488646	2025-02-13	95	2	screened	final-roll-not-divided	Updating terms in the Corporation Net Income Tax Act
2196	HB2025	S	5	1491587	2025-02-17	32	0	screened	final-roll-not-divided	Updating terms in the Corporation Net Income Tax Act
2196	HB2026	H	495	1544825	2025-04-10	78	18	screened	final-roll-not-divided	Budget Bill
2196	HB2026	S	517	1546015	2025-04-11	31	1	screened	final-roll-not-divided	Budget Bill
2196	HB2042	H	367	1535607	2025-04-03	98	0	screened	final-roll-not-divided	Relating to allowing a guardian ad litem to request the appointment of a court appointed special advocate
2196	HB2042	S	325	1538141	2025-04-07	34	0	screened	final-roll-not-divided	Relating to allowing a guardian ad litem to request the appointment of a court appointed special advocate
2196	HB2043	H	181	1525954	2025-03-25	88	10	screened	final-roll-not-divided	Relating to use of dog and/or drones for tracking or locating mortally wounded deer, elk, turkey, wild boar or bear
2196	HB2043	S	274	1532486	2025-04-01	33	1	screened	final-roll-not-divided	Relating to use of dog and/or drones for tracking or locating mortally wounded deer, elk, turkey, wild boar or bear
2196	HB2053	H	8	1498769	2025-02-24	97	1	screened	final-roll-not-divided	Relating to including the United States Space Force in the definition armed forces
2196	HB2053	S	107	1517173	2025-03-13	33	1	screened	final-roll-not-divided	Relating to including the United States Space Force in the definition armed forces
2196	HB2054	H	634	1546776	2025-04-12	71	27	screened	printed-roll-number-shared;held-by-tally-audit	Relating to liability of vendors in private farmers markets
2196	HB2054	S	466	1546259	2025-04-11	22	12	not-selected	filter 5: a farmers market vendor requirement, too small	Relating to liability of vendors in private farmers markets
2196	HB2066	H	572	1546528	2025-04-12	97	0	screened	final-roll-not-divided	Creating a crime for the destruction of first responder equipment.
2196	HB2066	S	467	1545345	2025-04-11	33	1	screened	final-roll-not-divided	Creating a crime for the destruction of first responder equipment.
2196	HB2067	H	425	1542621	2025-04-09	88	9	screened	final-roll-not-divided	West Virginia Firearms Liability Clarification Act
2196	HB2067	S	360	1540846	2025-04-08	34	0	screened	final-roll-not-divided	West Virginia Firearms Liability Clarification Act
2196	HB2121	H	571	1546572	2025-04-12	97	0	screened	final-roll-not-divided	Deceased Disabled Veteran Real Property Exemption for Widowed Spouses
2196	HB2121	S	468	1546277	2025-04-11	34	0	screened	final-roll-not-divided	Deceased Disabled Veteran Real Property Exemption for Widowed Spouses
2196	HB2123	H	426	1541704	2025-04-09	97	0	screened	final-roll-not-divided	Modifying the criminal penalties imposed on a parent, guardian or custodian for child abuse
2196	HB2123	S	454	1545189	2025-04-10	33	0	screened	final-roll-not-divided	Modifying the criminal penalties imposed on a parent, guardian or custodian for child abuse
2196	HB2129	H	368	1535637	2025-04-03	89	9	screened	final-roll-not-divided	Creating the Parents Bill of Rights.
2196	HB2129	S	163	1524587	2025-03-24	32	1	screened	final-roll-not-divided	Creating the Parents Bill of Rights.
2196	HB2152	H	309	1531991	2025-04-01	97	0	screened	final-roll-not-divided	Prompt Payment Act of 2025
2196	HB2152	S	391	1541674	2025-04-09	34	0	screened	final-roll-not-divided	Prompt Payment Act of 2025
2196	HB2157	H	396	1538583	2025-04-07	95	0	screened	final-roll-not-divided	Provide one trip temporary vehicle permits to be purchased and printed online
2196	HB2157	S	308	1537291	2025-04-04	33	0	screened	final-roll-not-divided	Provide one trip temporary vehicle permits to be purchased and printed online
2196	HB2164	H	563	1546542	2025-04-12	96	0	screened	final-roll-not-divided	To allow for public and private schools in West Virginia to employ security personnel.
2196	HB2164	S	585	1546676	2025-04-12	33	0	screened	final-roll-not-divided	To allow for public and private schools in West Virginia to employ security personnel.
2196	HB2165	H	484	1545277	2025-04-10	92	0	screened	final-roll-not-divided	Allowing disabled purple heart recipients park free at municipal metered parking spaces
2196	HB2165	S	392	1542017	2025-04-09	34	0	screened	final-roll-not-divided	Allowing disabled purple heart recipients park free at municipal metered parking spaces
2196	HB2167	H	553	1546232	2025-04-11	91	7	screened	final-roll-not-divided	Relating to public charter schools code provisions
2196	HB2167	S	427	1543435	2025-04-10	32	2	screened	final-roll-not-divided	Relating to public charter schools code provisions
