session	bill	chamber	printed_roll	roll_call_id	date	yea	nay	bill_status	disposition	reason	note	title
2254	HB4081	H	12	1616514	2026-01-23	71	22	2	imported	batch-02	Grants for campus food and hygiene pantries. social_programs_and_welfare, yes for.	To create the Higher Education Health and Aid Grant.
2254	HB4198	H	71	1628052	2026-02-10	69	24	2	imported	batch-02	A statewide E-Verify mandate for employers. immigration, yes against.	E-Verify Safe Harbor Act
2254	HB4355	H	142	1640013	2026-02-20	64	32	2	not-selected	narrow-subject	A hunting stamp for upland game birds.	To create a new hunting license stamp for upland game birds
2254	HB4462	H	86	1633313	2026-02-13	64	25	2	not-selected	no-defensible-direction	Banning the sale of cell-cultured food products. Reads as consumer protection or as protecting one industry from a competitor.	Prohibition on cell-cultured products
2254	HB4481	S	480	1661673	2026-03-12	26	8	2	not-selected	reads-two-ways	An accountability bill whose committee version also creates a new open records exemption for large power customers. The two halves point opposite ways.	WV Load Forecast Accountability Act
2254	HB4602	S	541	1662336	2026-03-13	23	10	2	not-selected	reads-two-ways	Hiring private contractors to support child welfare caseworkers. Privatizing a public service has no settled direction, the same problem as school choice financing.	Relating to requiring the Department of Human Services to establish a pilot program to contract for supplemental caseworker aide services for the Bureau for Social Services
2254	HB5260	H	303	1653109	2026-03-04	66	26	2	not-selected	reads-two-ways	Allowing medical cannabis edibles. Expands patient access and also puts a product into circulation the bill itself treats as a child safety risk.	Relating generally to medical cannabis
2254	HB5319	H	266	1650500	2026-03-03	62	32	2	imported	batch-02	A statewide camping ban on public property. social_programs_and_welfare, yes against.	Camping ban on certain public property.
2254	HB5537	S	575	1662454	2026-03-13	24	7	2	not-selected	administrative-machinery	Repealing obsolete sections of the education code.	Repealing obsolete and outdated sections of the Education code.
2254	HB5652	H	337	1652595	2026-03-04	28	62	1	not-selected	narrow-subject	Extending the hotel occupancy tax to campground sites.	Relating to the hotel occupancy tax
2254	SB1065	S	307	1650328	2026-03-03	20	13	2	not-selected	administrative-licensing	Consolidating alcohol license categories and fees.	Reforming licenses related to sale of alcohol and nonintoxicating alcohol products
2254	SB182	H	516	1662521	2026-03-13	68	26	2	not-selected	administrative-machinery	Municipal annexation by minor boundary adjustment.	Relating to annexation by minor boundary adjustment
2254	SB420	S	323	1652674	2026-03-04	22	11	2	imported	batch-02	Minimum coal plant output and no cost recovery for new wind or solar. environment_and_public_health, yes against.	West Virginia First Energy Act
2254	SB426	S	114	1636497	2026-02-18	24	7	2	not-selected	narrow-subject	Preventing damage to underground utility lines.	Preventing damage to underground facilities
2254	SB65	S	178	1640375	2026-02-21	20	8	2	not-selected	administrative-licensing	Whether drywall work needs a contractor license.	Removing persons who perform drywall services from definition of “contractor” in Contractor Licensing Act
2254	SB671	S	96	1634083	2026-02-16	24	9	2	not-selected	administrative-machinery	Who appoints members of the Real Estate Commission.	Relating to WV Real Estate Commission
2254	SB672	S	671	1663129	2026-03-14	25	9	5	not-selected	administrative-machinery	Grounds on which the Real Estate Commission may discipline a license. Vetoed after the session ended and never overridden.	Relating to acts for which WV Real Estate Commission may refuse, suspend, or revoke licenses
2254	SB888	S	220	1643666	2026-02-24	21	10	2	not-selected	no-defensible-direction	Whether courts must defer to a state agency reading of a statute. A rule about judicial method, not a policy a voter can take a side on.	Creating Judicial Deference Reform Act
2254	SB908	S	230	1643959	2026-02-25	24	9	2	not-selected	administrative-machinery	Flexibility in setting the lottery director salary.	Relating to flexibility in setting lottery director's salary
2254	SB927	H	608	1662935	2026-03-14	66	28	2	not-selected	narrow-subject	The Commissioner of Agriculture authority over bees and apiaries.	Clarifying Commissioner of Agriculture's authority to regulate bees
2254	SB928	S	192	1640394	2026-02-21	15	13	2	not-selected	administrative-licensing	Sale of low-proof spirit products.	Relating to manufacture, sale, and distribution of low-proof spirit alcohol products
2254	SB963	S	346	1652310	2026-03-04	22	11	2	imported	batch-02	Limits on taking guns under a domestic violence protective order. gun_control, yes against.	Protecting due process in firearm confiscation
