session	bill	chamber	roll	date	yea	nay	chapter	is_final_vote_of_chamber	title	roll_desc	disposition
2157	HB0004	H	1492707	2025-02-18	38	22	38	True	Snowmobile registration and user fees.	Concur:Passed 38-22-2-0-0	Dropped on filter 3. The subject is snowmobile registration and user fees, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0004	S	1491771	2025-02-18	19	12	38	True	Snowmobile registration and user fees.	3rd Reading:Passed 19-12-0-0-0	Dropped on filter 3. The subject is snowmobile registration and user fees, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0005	H	1478710	2025-02-03	35	22	50	False	Fishing outfitters and guides-registration of fishing boats.	3rd Reading:Passed 35-22-5-0-0	Dropped on filter 3. The subject is registration of fishing outfitters' boats, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0005	H	1498255	2025-02-24	33	22	50	True	Fishing outfitters and guides-registration of fishing boats.	Concur:Passed 33-22-7-0-0	Dropped on filter 3. The subject is registration of fishing outfitters' boats, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0005	S	1497393	2025-02-24	19	11	50	True	Fishing outfitters and guides-registration of fishing boats.	3rd Reading:Passed 19-11-1-0-0	Dropped on filter 3. The subject is registration of fishing outfitters' boats, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0011	H	1499221	2025-02-25	43	17	95	True	Manufacturing sales and use tax exemption-amendments.	HB0011JC001 Adopted HB0011JC001: 43-17-2-0-0	Dropped on filter 5. A sales and use tax exemption for manufacturing equipment is a business tax break. No research area gives it a direction that is not contested.
2157	HB0020	H	1475147	2025-01-27	38	23	89	True	K-12 school facility leasing.	3rd Reading:Passed 38-23-1-0-0	Dropped on filter 3. The subject is how school districts lease facilities, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0028	S	1499168	2025-02-25	21	10	91	True	Commercial driver's licenses-revisions.	HB0028JC001 Adopted HB0028JC001: 21-10-0-0-0	Dropped on filter 3. The subject is technical revisions to commercial driver's licenses, which a voter would not recognise as a policy choice. Judged from the act's own title and the Legislative Service Office catch title; the reason to drop does not turn on the act's details.
2157	HB0033	H	1474728	2025-01-27	48	13	92	False	Vehicle sales and use tax distribution-highway fund.	3rd Reading:Passed 48-13-1-0-0	Superseded on filter 4. A later kept floor vote in the same chamber is this chamber's vote on the text that became law.
2157	HB0036	S	1506616	2025-03-05	23	8	125	True	Hathaway scholarship-amendments.	HB0036VT001 Veto Override 23-8-0-0-0	batch-02: imported. The chamber's vote on the text that became law.
2157	HB0042	S	1496298	2025-02-21	24	7	46	True	Regulation of surgical abortions.	3rd Reading:Passed 24-7-0-0-0	batch-01: imported. The chamber's vote on the text that became law.
