name	state	population_2025	lat	lon
New York	NY	8584629	40.6667	-73.9333
Los Angeles	CA	3869089	34.0167	-118.4167
Chicago	IL	2731585	41.8333	-87.6833
Houston	TX	2397315	29.7833	-95.3833
Phoenix	AZ	1665481	33.5667	-112.0833
Philadelphia	PA	1574281	40.0167	-75.1333
San Antonio	TX	1548422	29.4667	-98.5167
San Diego	CA	1406106	32.8167	-117.1333
Dallas	TX	1329491	32.7833	-96.7667
Fort Worth	TX	1028117	32.7833	-97.3500
Jacksonville	FL	1017689	30.3333	-81.6667
Austin	TX	1002632	30.3000	-97.7500
San Jose	CA	989814	37.3000	-121.8167
Charlotte	NC	964784	35.2167	-80.8333
Columbus	OH	938396	39.9833	-82.9833
Indianapolis	IN	901116	39.7833	-86.1500
San Francisco	CA	826079	37.7333	-123.0333
Seattle	WA	784777	47.6167	-122.3500
Denver	CO	740613	39.7667	-104.8833
Nashville	TN	721074	36.1667	-86.7833
Oklahoma City	OK	719849	35.4667	-97.5167
Washington	DC	693645	38.9000	-77.0167
El Paso	TX	683012	31.8500	-106.4333
Las Vegas	NV	679817	36.2333	-115.2667
Boston	MA	672973	42.3333	-71.0167
Detroit	MI	649095	42.3833	-83.1000
Louisville	KY	641962	38.1667	-85.6500
Portland	OR	635109	45.5333	-122.6500
Memphis	TN	609647	35.1167	-89.9667
Baltimore	MD	569997	39.3000	-76.6167
Milwaukee	WI	562407	43.0667	-87.9667
Albuquerque	NM	556588	35.1000	-106.6500
Fresno	CA	555549	36.7833	-119.7833
Tucson	AZ	548371	32.1500	-110.8667
Sacramento	CA	536449	38.5667	-121.4667
Atlanta	GA	529110	33.7667	-84.4167
Kansas City	MO	521220	39.1167	-94.5667
Mesa	AZ	513656	33.4000	-111.7167
Raleigh	NC	506306	35.8333	-78.6333
Colorado Springs	CO	494743	38.8667	-104.7667
Miami	FL	489812	25.7833	-80.2167
Omaha	NE	488797	41.2667	-96.0500
Virginia Beach	VA	453737	36.7833	-76.0333
Long Beach	CA	450469	33.7833	-118.1667
Oakland	CA	440838	37.7667	-122.2333
Minneapolis	MN	430324	44.9667	-93.2667
Bakersfield	CA	422165	35.3500	-119.0333
Tulsa	OK	416209	36.1333	-95.9000
Tampa	FL	413554	27.9667	-82.4667
Aurora	CO	410053	39.7000	-104.7167
Arlington	TX	402134	32.7000	-97.1167
Wichita	KS	400987	37.6833	-97.3500
Cleveland	OH	363608	41.4833	-81.6833
New Orleans	LA	362154	30.0500	-89.9333
Henderson	NV	353289	36.0167	-115.0333
Honolulu	HI	341868	21.3167	-157.8500
Anaheim	CA	341008	33.8667	-117.7667
Orlando	FL	333888	28.4167	-81.2500
Lexington	KY	329751	38.0333	-84.4667
Stockton	CA	324597	37.9833	-121.3167
Newark	NJ	323808	40.7167	-74.1667
Riverside	CA	323057	33.9333	-117.3833
Irvine	CA	318764	33.6833	-117.7667
Corpus Christi	TX	317247	27.7500	-97.1667
Santa Ana	CA	315586	33.7333	-117.8833
Cincinnati	OH	314367	39.1333	-84.5167
Greensboro	NC	308667	36.1000	-79.8333
Pittsburgh	PA	307632	40.4333	-79.9833
St. Paul	MN	306684	44.9500	-93.1000
Durham	NC	305561	35.9833	-78.9000
Jersey City	NJ	302013	40.7167	-74.0667
Lincoln	NE	301522	40.8167	-96.6833
North Las Vegas	NV	296653	36.2833	-115.0833
Plano	TX	293028	33.0500	-96.7500
Gilbert	AZ	287285	33.3167	-111.7333
Anchorage	AK	287155	61.1667	-149.2833
Madison	WI	286233	43.0833	-89.4333
Reno	NV	283621	39.5500	-119.8500
Chandler	AZ	278748	33.2833	-111.8500
St. Louis	MO	278144	38.6333	-90.2333
Chula Vista	CA	275533	32.6333	-117.0167
Fort Wayne	IN	275203	41.0833	-85.1333
Buffalo	NY	274613	42.8833	-78.8667
Lubbock	TX	273071	33.5667	-101.8833
Laredo	TX	269515	27.5667	-99.4833
Port St. Lucie	FL	268062	27.2833	-80.3833
St. Petersburg	FL	264033	27.7667	-82.6333
Toledo	OH	263423	41.6667	-83.5833
Glendale	AZ	260572	33.5333	-112.1833
Winston-Salem	NC	257271	36.1000	-80.2667
Irving	TX	257076	32.8667	-96.9667
Chesapeake	VA	255332	36.6833	-76.3000
Garland	TX	249625	32.9167	-96.6333
Scottsdale	AZ	243006	33.6833	-111.8667
Boise	ID	238429	43.6000	-116.2333
Richmond	VA	237257	37.5333	-77.4833
Frisco	TX	236955	33.1667	-96.8167
Cape Coral	FL	236264	26.6500	-81.9833
McKinney	TX	236001	33.2000	-96.6667
Huntsville	AL	233627	34.7833	-86.5333
Norfolk	VA	231013	36.9167	-76.2333
Hialeah	FL	230968	25.8667	-80.3000
Spokane	WA	230783	47.6667	-117.4333
Tacoma	WA	229816	47.2500	-122.4667
Santa Clarita	CA	228430	34.4167	-118.4833
Fremont	CA	226442	37.4833	-121.9333
Baton Rouge	LA	222795	30.4333	-91.1333
San Bernardino	CA	222044	34.1333	-117.2833
Fontana	CA	221223	34.1167	-117.4667
Modesto	CA	219652	37.6333	-121.0000
Salt Lake City	UT	218428	40.7833	-111.9333
Moreno Valley	CA	214263	33.9167	-117.2167
Worcester	MA	213862	42.2667	-71.8167
Sioux Falls	SD	213748	43.5333	-96.7333
Yonkers	NY	212603	40.9500	-73.8667
Des Moines	IA	212086	41.5667	-93.6167
Grand Prairie	TX	209434	32.6833	-97.0167
Fayetteville	NC	209120	35.0833	-78.9667
Little Rock	AR	206427	34.7167	-92.3667
Rochester	NY	206108	43.1667	-77.6167
Amarillo	TX	205130	35.2000	-101.8333
Tallahassee	FL	204902	30.4667	-84.2500
Overland Park	KS	203677	38.8833	-94.6833
Columbus	GA	202171	32.5167	-84.8667
Knoxville	TN	202021	35.9667	-83.9500
Augusta	GA	201999	33.3667	-82.0667
Grand Rapids	MI	201183	42.9667	-85.6667
Peoria	AZ	200881	33.7833	-112.3167
Mobile	AL	200824	30.6667	-88.1000
Vancouver	WA	199698	45.6333	-122.6000
Oxnard	CA	199651	34.2000	-119.2167
Birmingham	AL	195893	33.5333	-86.8000
Providence	RI	195310	41.8167	-71.4167
Montgomery	AL	195300	32.3500	-86.2667
Chattanooga	TN	194144	35.0667	-85.2500
Brownsville	TX	192957	26.0000	-97.4500
Huntington Beach	CA	191451	33.7000	-118.0000
Tempe	AZ	190571	33.3833	-111.9333
Akron	OH	189691	41.0833	-81.5167
Clarksville	TN	188829	36.5667	-87.3500
Fort Lauderdale	FL	188677	26.1333	-80.1500
Glendale	CA	187160	34.1833	-118.2500
Ontario	CA	187013	34.0333	-117.6000
Elk Grove	CA	185007	38.4167	-121.3833
Cary	NC	183582	35.7833	-78.8167
Newport News	VA	183230	37.0833	-76.5167
Salem	OR	181779	44.9167	-123.0167
Aurora	IL	181505	41.7667	-88.2833
Santa Rosa	CA	179437	38.4500	-122.7167
Eugene	OR	178618	44.0667	-123.1167
Rancho Cucamonga	CA	177856	34.1167	-117.5667
Pembroke Pines	FL	176714	26.0167	-80.3333
Shreveport	LA	175902	32.4667	-93.7833
Surprise	AZ	175304	33.6667	-112.4500
Fort Collins	CO	171500	40.5500	-105.0667
Murfreesboro	TN	171178	35.8500	-86.4167
Oceanside	CA	170483	33.2167	-117.3167
Garden Grove	CA	170455	33.7833	-117.9667
Lancaster	CA	170084	34.6833	-118.1833
Springfield	MO	169847	37.1833	-93.2833
Denton	TX	169431	33.2167	-97.1333
Roseville	CA	167302	38.7667	-121.3167
Killeen	TX	161883	31.0833	-97.7333
Palmdale	CA	161845	34.5833	-118.1167
Paterson	NJ	161793	40.9167	-74.1667
Corona	CA	161734	33.8667	-117.5667
Alexandria	VA	160662	38.8167	-77.0833
Charleston	SC	159423	32.8333	-79.9667
Salinas	CA	159134	36.6833	-121.6333
Kansas City	KS	157805	39.1167	-94.7333
Macon	GA	157556	32.8167	-83.6833
Hayward	CA	157113	37.6333	-122.1000
Hollywood	FL	157019	26.0333	-80.1667
Lakewood	CO	156927	39.7000	-105.1167
Sunnyvale	CA	156577	37.3833	-122.0333
Springfield	MA	154702	42.1167	-72.5333
Bellevue	WA	154193	47.6000	-122.1667
Naperville	IL	153114	41.7500	-88.1667
Bridgeport	CT	152273	41.1833	-73.2000
Joliet	IL	152241	41.5167	-88.1500
Mesquite	TX	150693	32.7667	-96.5833
McAllen	TX	150640	26.2167	-98.2500
Olathe	KS	150025	38.8833	-94.8167
Savannah	GA	149440	32.0000	-81.1500
Gainesville	FL	148671	29.6833	-82.3500
Pasadena	TX	148539	29.6500	-95.1500
Palm Bay	FL	148092	27.9667	-80.6667
Pomona	CA	147807	34.0667	-117.7667
Waco	TX	147788	31.5667	-97.1833
Thornton	CO	147766	39.9167	-104.9333
Midland	TX	147615	32.0167	-102.1167
Rockford	IL	147384	42.2667	-89.0667
Columbia	SC	147035	34.0333	-80.9167
Visalia	CA	146541	36.3333	-119.3333
Escondido	CA	146030	33.1333	-117.0667
Syracuse	NY	144896	43.0333	-76.1333
Lakewood	NJ	143765	40.0833	-74.2000
Meridian	ID	142988	43.6167	-116.4000
Miramar	FL	142570	25.9667	-80.3333
Elizabeth	NJ	141675	40.6667	-74.1833
Victorville	CA	141395	34.5333	-117.3500
Round Rock	TX	141282	30.5333	-97.6667
Jackson	MS	141196	32.3167	-90.2167
Stamford	CT	139535	41.0833	-73.5500
Lewisville	TX	139006	33.0500	-96.9833
Coral Springs	FL	138783	26.2667	-80.2667
New Haven	CT	138774	41.3167	-72.9167
Fullerton	CA	138675	33.8833	-117.9333
Torrance	CA	138391	33.8333	-118.3667
Orange	CA	138365	33.7833	-117.8667
Cedar Rapids	IA	137935	41.9667	-91.6833
